,index,labDelta,area,center_x,center_y,eucDist
0,132,0.332689757769,71.5,132,73,0.91517168
1,133,0.284937244272,69.5,132,74,0.79321136
2,134,0.163747723544,69.5,132,74,1.549312
3,135,0.290101681469,66.5,132,75,1.1056492
4,136,0.332109596511,67.0,132,74,0.82943928
5,137,0.3601618541,63.5,132,73,1.1103056
6,138,0.306667310174,67.5,132,73,1.25662512
7,139,0.159758600017,67.5,132,73,1.28681632
8,140,0.202057388075,67.5,132,73,1.26623536
9,141,0.299000056496,62.5,131,71,0.78423912
10,142,0.463346984465,66.0,134,73,0.96080816
11,143,0.405940237626,66.5,134,72,1.46432288
12,144,0.0965533032086,66.5,134,72,0.9117984
13,145,0.426210027856,68.5,134,73,1.30146312
14,146,0.3640431012,72.0,132,73,1.21108688
15,147,0.294604709173,71.0,131,72,0.75641272
16,148,0.065917670747,71.0,131,72,1.04629904
17,149,0.275335977911,69.0,132,72,0.72678888
18,150,0.292313335468,67.5,131,72,1.1847184
19,151,0.349552531523,62.5,131,76,1.03705568
20,152,0.530826645358,67.0,129,77,1.01154152
21,153,0.0644802266874,68.0,129,77,0.94063744
22,154,0.676483333808,71.5,128,72,1.12562984
23,155,0.473924290379,74.5,125,73,0.85018512
24,156,0.507079096592,71.5,128,73,0.94101664
25,157,0.159767369095,71.5,128,73,0.91346344
26,158,0.285181773145,69.5,130,73,1.48284864
27,159,0.292871899099,72.0,131,73,1.5048984
28,160,0.26730284559,61.0,132,73,1.34236864
29,161,0.360279356704,69.0,133,73,1.1333048
30,162,0.333944452099,63.0,136,73,1.55376608
31,163,0.461011437759,65.5,136,73,0.83921728
32,164,0.203251260208,67.5,136,73,1.31723976
33,165,0.521338823028,68.5,138,71,0.62456692
34,166,0.451958975702,62.5,138,70,1.0124452
35,167,0.480368445008,65.0,138,71,0.80506696
36,168,0.473681802784,69.0,138,70,0.93911608
37,169,0.213502140604,69.0,138,70,1.75593728
38,170,0.494739742036,63.5,138,71,1.80052768
39,171,0.550948597756,66.5,139,72,1.10483536
40,172,0.474352707546,61.5,137,73,1.74765664
41,173,0.451927512054,66.0,138,74,1.71405568
42,174,0.463367928909,57.0,139,73,1.387344
43,175,0.507386180519,63.0,141,74,1.08998624
44,176,0.427505793012,58.0,140,76,1.19101536
45,177,0.0267311237452,58.0,140,76,1.9072528
46,178,0.807862841707,61.5,142,78,2.0062368
47,179,0.966573691346,61.5,139,74,1.4361656
