,index,labDelta,area,center_x,center_y,eucDist
0,312,0.0584943978213,175.5,248,126,0.72547424
1,313,0.0546503433785,175.5,249,126,0.6946892
2,314,0.0652840534807,178.0,249,126,0.71488552
3,315,0.0475059109269,178.5,249,126,0.64827
4,316,0.0996642965808,179.0,249,126,0.65894072
5,317,0.00132356814458,179.0,249,126,0.64886112
6,318,0.106066576271,176.0,250,126,0.69692992
7,319,0.000716037858479,174.5,250,126,0.65179928
8,320,0.000363150809865,173.5,250,126,0.76979352
9,321,0.000725358507559,170.0,251,126,0.72988504
10,322,0.000351065932109,170.0,251,126,0.72409632
11,323,0.000764199687245,172.5,251,126,0.71583128
12,324,0.0805988764725,173.0,251,126,0.89294688
13,325,0.056572332687,173.0,251,126,0.90217384
14,326,0.101256856591,172.5,251,126,0.85821832
15,327,0.105323765566,172.0,251,126,0.83241696
16,328,0.107168969725,172.0,251,126,0.77102856
17,329,0.154933121185,171.5,252,126,0.84572664
18,330,0.00137397359118,171.5,252,126,0.71120112
19,331,0.0867370648749,176.5,252,126,0.78598736
20,332,0.189101012716,176.0,252,126,0.72497048
21,333,0.227413135183,176.0,252,126,0.78693272
22,334,0.219531441858,176.0,252,126,0.792204
23,335,0.254621887118,179.0,253,126,0.99809944
24,336,0.0901561948588,179.0,253,126,0.78019712
25,337,0.255767395367,182.0,254,126,0.94005696
26,338,0.231918613678,187.5,256,126,0.73339728
27,339,0.221863714333,188.0,257,127,0.92613504
28,340,0.0967736326582,188.0,257,127,0.79445528
29,341,0.275360733114,187.0,258,127,0.80985224
30,342,0.384500840091,189.0,260,127,0.76450704
31,343,0.339192316249,187.5,261,127,0.8489248
32,344,0.190173583799,187.5,263,127,0.90042224
33,345,0.0793895990225,187.5,263,127,0.78028112
34,346,0.356216351429,195.0,266,128,0.67027384
35,347,0.260041291284,199.0,266,128,0.6978576
36,348,0.356991595786,200.0,266,128,0.82780848
37,349,0.123559271585,200.0,266,128,0.82394576
38,350,0.297852379401,200.0,267,128,0.78425008
39,351,0.184547342518,200.5,267,129,0.71137528
40,352,0.212967378299,204.0,267,129,0.87038928
41,353,0.215886030982,205.0,268,129,0.71974112
42,354,0.0498610854636,203.0,268,129,0.91664032
43,355,0.225660233712,204.0,268,129,0.75152752
44,356,0.0845144696246,204.0,268,129,0.8535204
45,357,0.122028100286,206.5,269,129,0.71152
46,358,0.217559086012,206.0,269,129,0.91591152
47,359,0.173942547258,204.5,269,129,0.8933036
48,360,0.0119872620284,204.5,269,129,0.86213144
49,361,0.289272290911,203.5,269,128,0.80428792
50,362,0.203468524542,203.5,269,128,0.72047416
51,363,0.315345606848,203.0,269,128,0.8080296
52,364,0.281423084048,203.5,269,128,0.81542904
53,365,0.185171146495,204.5,269,128,0.7802804
54,366,0.312402812389,205.5,269,128,0.7316032
55,367,0.0832745001357,205.5,269,128,0.70837096
56,368,0.117132990864,204.5,269,128,0.80896312
57,369,0.261438436036,204.5,270,128,0.77316096
58,370,0.176755370126,207.5,270,128,0.93708992
59,371,0.201448203315,207.5,270,128,0.82017024
60,372,0.297523446985,204.0,270,128,0.783948
61,373,0.172814502035,205.5,270,128,0.86159512
62,374,0.184283515408,206.5,270,128,0.80661816
63,375,0.0255680341736,206.5,270,128,0.80007576
64,376,0.18329205703,204.5,270,128,0.79310256
65,377,0.229451137169,204.5,270,128,0.78255376
66,378,0.104287607008,205.5,270,128,0.7723096
67,379,0.155628944975,206.5,270,128,0.86747336
68,380,0.138399149725,205.5,270,128,0.88472224
69,381,0.000369134929757,205.5,270,128,0.92088048
70,382,0.238229489827,206.5,270,128,0.90699616
71,383,0.235498207997,206.5,270,128,0.89633552
72,384,0.00375726263496,206.5,270,128,0.83499696
73,385,0.21145174861,206.5,270,128,0.91994672
74,386,0.1468098498,206.0,270,128,0.91175992
75,387,0.209657728389,206.0,270,128,0.72786624
76,388,0.339939788532,204.0,270,128,0.82171752
77,389,0.212003842751,206.5,270,128,0.92598368
78,390,0.200604065205,209.0,270,128,0.77276272
79,391,0.127577712261,209.0,270,128,0.81172504
80,392,0.128811475016,208.0,270,128,0.87597896
81,393,0.364589486829,206.5,270,127,0.85981976
82,394,0.280575231305,208.0,270,127,0.78785848
83,395,0.270884495515,207.0,270,127,0.74934744
84,396,0.0152142622654,207.0,270,127,0.78613448
85,397,0.314391039485,206.0,270,127,0.91315248
86,398,0.202343612183,209.0,270,127,0.76880864
87,399,0.220911489938,207.5,270,127,0.8312464
88,400,0.241475569841,208.0,270,127,0.88110408
89,401,0.146507021861,208.0,270,127,0.7882772
90,402,0.171961877215,209.0,270,127,0.80382912
91,403,0.261608081529,208.0,270,127,1.0117492
92,404,0.289442855515,207.5,270,127,0.85898024
93,405,0.215733506062,208.5,270,127,0.87979072
94,406,0.149473070265,208.5,270,127,0.84386
95,407,0.304439186306,206.5,270,127,0.98372608
96,408,0.368263193074,206.0,270,127,0.82507
97,409,0.469460417897,205.5,269,126,0.94373536
98,410,0.517821939533,199.0,266,126,0.77920376
99,411,0.207748115138,199.0,266,126,0.88657296
100,412,0.482145209152,195.0,265,126,0.69330872
101,413,0.449652011665,187.5,264,126,0.97978312
102,414,0.248509183048,187.5,264,126,0.9214756
103,415,0.362848673595,187.5,262,126,0.8562176
104,416,0.0271453932275,187.5,262,126,0.81615864
105,417,0.561373199936,191.0,260,126,0.7151556
106,418,0.476683502852,188.5,258,126,1.00937736
107,419,0.525092866137,184.5,256,126,0.78930312
108,420,0.557710098183,181.0,254,126,0.81806664
109,421,0.226354341781,181.0,254,126,0.70490888
110,422,0.780031138558,172.0,247,125,0.984304
111,423,0.432256560683,171.5,245,125,0.7028756
112,424,0.213939764468,171.5,245,125,0.7803724
113,425,0.634754794451,166.0,241,125,0.71236168
114,426,0.111795587948,166.0,241,125,0.853942
115,427,0.524832897576,161.5,240,125,0.75116792
116,428,0.567429546345,162.5,239,125,0.78519056
117,429,0.554144398647,161.5,238,125,0.83093088
118,430,0.836238115584,155.0,237,125,0.96806688
119,431,0.069114703865,157.0,236,124,0.70951736
120,432,0.150328097027,155.5,235,124,0.8586364
121,433,2.33156046608e-06,155.5,235,124,0.96443808
122,434,0.102423654945,154.0,235,125,0.86645488
123,435,0.140450999935,153.5,235,124,0.9208428
124,766,0.0292487335015,143.0,182,103,1.04765856
125,767,0.0163678753091,143.0,182,103,0.82815248
126,768,0.0391651556148,143.0,182,103,1.42119488
127,769,0.00536542190846,143.0,182,103,1.20244984
128,770,0.000172140672065,143.0,182,103,1.14975624
129,771,0.00851526866506,143.0,182,103,1.01915752
130,772,0.0015350976225,143.0,182,103,0.88990464
131,773,0.0307561938491,143.0,182,103,1.39141792
132,774,0.0422261102013,143.0,182,103,0.79721928
133,775,0.0281686765569,143.0,182,103,0.89347936
134,776,0.00834872454365,143.0,182,103,0.99630776
135,777,0.0372330146459,143.0,182,103,0.97328248
