,index,labDelta,area,center_x,center_y,eucDist
0,321,2.78807030726e-06,16.5,228,111,1.11490864
1,322,5.18917111055e-05,18.5,229,111,1.12875552
2,323,3.0315990538e-05,17.0,229,111,1.21399872
3,324,1.5400180192e-05,17.0,229,111,0.92013368
4,325,1.81711797236e-05,17.0,229,111,1.38931616
5,326,4.19110455447e-05,18.0,228,111,1.00886488
6,327,4.95831165429e-07,18.0,228,111,1.11613944
7,328,4.42760998066e-05,17.0,229,111,0.86254664
8,329,2.71572292979e-05,18.0,228,111,1.29692392
9,330,1.52687082579e-05,18.0,228,111,0.83676272
10,331,0.00011740476881,37.0,228,113,1.1741376
11,332,1.25303448675e-06,37.0,228,113,0.90758336
12,333,7.37395988674e-05,38.0,229,113,1.10985376
13,334,7.09011283738e-06,38.0,229,113,0.96143048
14,335,3.58380628233e-06,38.0,229,113,1.111936
15,336,0.000118950912326,18.0,228,111,1.07272704
16,337,7.62077679275e-07,18.0,228,111,1.10271424
17,338,8.08868239613e-05,39.0,228,113,1.05296296
18,339,0.000110354183321,39.0,229,113,0.97945656
19,340,0.000181992353211,17.0,229,111,0.88383464
20,341,6.22550905671e-06,17.0,229,111,0.93090544
21,342,3.64193985243e-05,18.0,229,111,0.8704256
22,343,2.4327102586e-05,18.0,229,111,0.95882776
23,344,2.45034203915e-05,18.0,229,111,1.0697088
24,345,2.72204431877e-06,18.0,229,111,1.08798048
25,346,2.07031124407e-05,18.0,229,111,0.86039272
26,347,5.83634775522e-05,18.0,229,111,1.09551456
27,348,5.86118835021e-05,18.5,229,111,0.82673376
28,349,3.43557077136e-05,17.0,229,111,1.17336712
29,350,1.11998762362e-05,18.0,229,111,0.87443184
30,351,1.47261635404e-05,17.0,229,111,1.13120664
31,352,5.42125026853e-07,17.0,229,111,0.97122496
32,353,1.49745432836e-05,17.0,229,111,0.98273464
33,354,2.35480113667e-05,17.0,229,111,0.83774648
34,355,1.75291211631e-05,18.0,229,111,0.8867016
35,356,2.70018830346e-05,17.0,229,111,0.79762952
36,357,1.6619616128e-06,17.0,229,111,0.77104192
37,358,4.32473759497e-05,17.5,229,111,0.86460928
38,359,6.15112104703e-05,16.0,229,111,0.85493016
39,360,5.18379791085e-05,16.0,229,111,0.91847
40,361,3.33046861585e-05,15.5,229,111,0.81863392
41,362,5.43425093547e-05,16.0,230,111,0.85994752
42,363,2.66092393237e-06,16.0,230,111,0.84977872
43,364,4.10026004363e-05,17.5,230,110,0.81439464
44,365,2.15589072379e-05,17.5,230,110,0.8511904
45,366,3.72371781027e-05,18.5,230,111,0.81919216
