,index,labDelta,area,center_x,center_y,eucDist
0,375,2.1188237311e-05,0.0,205,223,1.61597312
1,376,0.0,0.0,205,223,1.5389568
2,377,0.000146898842598,0.0,205,223,2.07244336
3,378,0.000413764258677,22.0,216,222,1.94837808
4,379,0.0,22.0,216,222,1.94504944
5,380,0.000168859393373,16.0,213,222,1.8305248
6,381,0.000282314373311,30.0,218,222,1.79832256
7,382,0.000435032666583,54.5,221,222,1.90821312
8,383,0.0775754458034,78.0,221,221,1.88179008
9,384,0.141012115641,123.5,223,221,1.74542528
10,385,0.038204153304,141.5,223,221,1.87891168
11,386,0.000154391740678,141.5,223,221,1.63693424
12,387,0.0113594163787,142.5,224,221,2.20611072
13,388,0.0268310443567,165.5,224,220,1.84033056
14,389,0.0668303295214,198.5,225,220,1.43736256
15,390,0.0611341636556,229.0,225,220,1.56369776
16,391,0.188516237077,328.0,226,218,1.45641936
17,392,0.0246412820433,328.0,226,218,1.60157664
18,393,0.165937801188,349.5,227,218,1.50003856
19,394,0.205456725754,379.5,227,218,1.2791772
20,395,0.160715010347,391.5,227,217,1.45716288
21,396,0.176859393779,428.0,227,217,1.65865296
22,397,0.36348157472,489.0,228,216,1.92977648
23,398,0.26076944406,526.0,228,216,1.46975568
24,399,0.526838922405,613.5,228,215,1.543756
25,400,0.133682634501,635.5,229,214,1.05839696
26,401,0.096009811226,638.5,229,214,1.56158672
27,402,0.11795221075,627.5,229,214,0.93799952
28,403,1.46260042694e-05,627.5,229,214,1.86357344
29,404,0.140682772471,584.5,229,215,1.32254352
30,1995,1.12621944798,2747.0,122,178,3.79318208
31,1996,1.04786951566,2752.0,122,178,3.68371456
32,1997,0.984965447627,2747.5,122,179,3.74377888
33,1998,0.617704254206,2749.5,122,179,3.04975232
34,1999,0.851548469049,2755.0,121,179,2.70672736
35,2000,0.659303722257,2755.0,121,179,3.11343712
36,2001,1.03184673257,2756.5,122,178,3.26452864
37,2002,1.34026023938,2740.0,122,178,3.03173792
38,2003,1.27546438834,2730.5,123,178,3.4065872
39,2004,0.845336311609,2734.0,122,178,3.04346496
40,2005,1.07793009806,2733.0,123,178,3.73599264
41,2006,1.25423241712,2750.5,123,179,2.85594912
42,2007,0.174401290688,2750.5,123,179,3.55383488
43,2008,1.1933493111,2734.5,123,178,4.68429792
44,2009,0.982569312541,2735.5,123,178,3.41330976
45,2010,1.14067337239,2752.0,122,178,3.36506912
46,2011,0.72630620292,2750.0,122,178,2.63598144
47,2012,0.958564232039,2749.5,122,179,3.89409152
48,2013,0.0427608565242,2749.5,122,179,4.33541888
49,2014,0.318081812317,2748.5,122,179,3.94928032
50,2015,0.950314381072,2753.5,122,178,3.36666304
51,2016,0.592502919773,2749.0,122,178,3.40644896
52,2017,1.07938296694,2754.5,122,179,2.72171712
53,2018,0.284887099974,2754.5,122,179,3.67751392
54,2019,1.2742554787,2744.0,121,179,2.96539008
55,2020,0.809339857802,2750.0,121,179,3.58636352
56,2021,0.776270375072,2743.0,121,179,4.4671808
57,2022,0.706368289683,2742.0,121,179,3.63078656
58,2023,1.08505362293,2744.0,122,179,3.33425632
59,2024,0.751199297602,2744.5,122,179,3.26387072
60,2025,0.368142341662,2744.5,122,179,2.91301792
61,2026,1.03449437796,2745.0,122,179,3.05973888
62,2027,0.965560147624,2739.5,122,179,2.66581024
63,2028,0.711242183887,2739.0,122,179,3.05564608
64,2029,0.101470221602,2739.0,122,179,2.84160064
65,2030,0.598324196182,2741.0,122,179,2.83883552
66,2031,1.13051943113,2751.0,122,179,3.08091552
67,2032,0.859792384219,2747.0,123,178,2.56314704
68,2033,0.674068229667,2741.0,123,178,3.87624192
69,2034,0.823818531385,2737.0,122,178,2.87710016
70,2035,0.185854298395,2737.0,122,178,2.89404064
71,2036,1.10067187148,2750.0,123,178,2.67589184
72,2037,0.584298143739,2744.5,123,178,3.85229632
73,2038,0.779282510123,2748.0,123,179,2.56713984
74,2039,0.419238996372,2748.0,123,179,3.09478208
75,2040,0.7228184611,2752.5,122,179,2.89321728
76,2041,0.565498671601,2753.0,122,179,3.62264928
77,2042,0.851026915572,2752.5,122,178,2.97374144
78,2043,1.18002037095,2745.5,123,179,3.75568448
79,2044,0.0815655777762,2745.5,123,179,2.77857728
80,2045,1.04825253766,2735.5,123,178,3.0329648
