,index,labDelta,area,center_x,center_y
0,341,8.51851572981e-07,357.5,269,86
1,342,0.0370595587752,357.5,269,86
2,343,0.0341414623373,357.5,269,86
3,344,0.00806157501347,359.5,269,86
4,345,0.0345233519263,359.5,269,86
5,346,0.0549989003882,363.0,269,86
6,347,0.0303582646172,364.0,269,86
7,348,0.0626041184866,367.0,269,86
8,349,0.0896386668929,368.5,269,86
9,350,0.0504706911109,370.0,270,86
10,351,0.0633051345367,370.0,270,86
11,352,0.0659677243005,367.5,269,86
12,353,0.0615522755218,367.5,269,86
13,354,0.0656698494475,368.0,269,86
14,355,0.0707380368475,367.0,269,86
15,356,0.0453569533786,367.0,269,86
16,357,0.0757249945494,362.0,270,86
17,358,0.0637776062989,367.5,270,86
18,359,0.0795716052402,367.5,270,86
19,360,0.0565865233452,362.5,270,86
20,361,0.00788152778452,362.5,270,86
21,362,0.0712546373152,363.5,270,86
22,363,0.0564255288986,375.0,270,86
23,364,0.0516389927037,373.5,270,86
24,365,0.0620022037072,373.0,270,86
25,366,0.0738992344594,366.5,269,86
26,367,0.0670445195982,361.0,269,86
27,368,0.102103230907,365.0,269,86
28,369,0.111063322875,365.0,269,86
29,370,0.108168721619,358.0,268,85
30,371,0.0334371044604,349.0,268,85
31,372,0.004013174201,349.0,268,85
32,373,0.0313449792861,366.0,268,85
33,374,0.0440842765965,365.0,268,85
34,375,0.064522511875,361.0,267,85
35,376,0.0368900962402,348.0,267,85
36,377,0.0395800506146,345.0,267,85
37,378,0.0270651967193,344.0,267,85
38,379,0.00573104060502,344.0,267,85
39,380,0.0738068626649,349.0,267,85
40,381,0.0859956828067,344.5,267,85
41,382,0.0481241157235,342.5,267,85
42,383,0.0377720559113,344.0,267,85
43,384,0.0243134332972,343.0,267,85
44,385,0.0257187217283,341.5,267,85
45,386,0.0260225204013,341.0,267,85
46,387,0.0154411939987,342.5,267,85
47,388,0.00575634360653,342.5,267,85
48,389,0.0459139281054,342.5,267,85
49,390,0.0584279341663,351.0,266,85
50,391,0.0416024517416,344.0,264,88
51,392,0.106865635135,329.0,260,92
52,393,0.00327960454034,329.0,260,92
53,394,0.151028854967,300.5,250,98
54,395,0.0262465216792,300.5,250,98
55,396,0.0957198390903,298.5,246,99
56,397,0.0484531123488,293.0,243,99
57,398,0.0471902851831,266.0,237,100
58,399,0.0265774110233,285.0,235,100
59,400,0.0223802578049,285.0,235,100
60,401,0.036026437638,270.0,233,101
61,402,0.0283312029948,285.0,231,102
62,403,0.00148253639277,285.0,231,102
63,404,0.00665754212208,281.5,231,102
64,405,0.0219346641558,283.5,231,103
65,406,0.0150835034109,279.0,231,103
66,407,0.000555592055806,279.0,231,103
67,408,0.0171795983535,284.0,231,103
68,409,0.132803115103,265.5,232,102
69,410,0.0866386781191,244.5,233,102
70,411,0.0508865773964,253.0,233,101
71,593,0.119824322189,364.5,168,86
72,594,0.0650382062296,364.0,168,86
73,595,0.0416001385366,364.0,168,86
74,596,0.079644920516,365.0,168,86
75,597,0.00346249222858,367.0,168,86
76,598,0.035268427851,363.0,168,86
77,599,0.0440896861974,363.0,168,86
78,600,0.0772140214042,363.5,168,85
79,601,0.125820384287,365.0,168,85
80,602,0.0237714001739,366.0,168,85
81,603,0.0279928755413,365.0,168,85
82,604,0.031164374383,365.0,168,85
83,605,0.0621670697657,366.0,168,85
84,606,0.0834506726121,364.5,168,85
85,607,0.0811022254575,364.0,168,86
86,608,0.0666154448075,366.0,169,86
87,609,0.0569388217614,366.0,169,86
88,610,0.089845433047,366.0,169,85
89,611,0.0429014357166,364.0,169,85
90,612,0.0795731972134,366.5,169,85
91,613,0.0789585167357,365.5,169,85
92,614,0.0473403963638,365.5,169,85
93,615,0.104498145509,362.5,169,85
94,616,0.0781459642099,362.0,169,85
95,617,0.072776031626,363.0,169,86
96,618,0.0121536559327,363.0,169,86
97,619,0.00215079175938,363.0,169,86
98,620,0.118389762743,364.5,169,86
99,621,0.102537816323,364.5,168,86
100,622,0.0787211587078,366.0,169,85
101,623,0.0512285584646,366.0,169,85
102,624,0.0309419220046,366.0,169,85
103,625,0.0440945554025,362.0,168,85
104,626,0.043319090343,363.0,168,85
105,627,0.137196501107,364.5,168,86
106,628,0.0670350831212,364.5,168,86
107,629,0.0729737542597,367.5,168,86
108,630,0.0757065485676,369.5,168,85
109,631,0.05519098919,369.5,168,85
110,632,0.0691768535969,365.0,168,85
111,633,0.0412182542386,365.0,168,85
112,634,0.0808389851747,363.5,168,85
113,635,0.0464967740482,367.0,168,85
114,636,0.0380876213059,366.0,168,85
115,637,0.0338669774826,365.0,168,85
116,638,0.00351391299679,365.0,168,85
117,639,0.0718128289579,365.5,168,86
118,640,0.0214513448359,365.0,168,86
119,641,0.0812183295768,365.5,167,85
120,642,0.0583696562097,366.0,167,85
121,643,0.0470170688431,366.0,167,85
122,644,0.084449721608,369.5,167,86
123,645,0.0466930414865,370.0,167,86
124,646,0.0629865061053,370.5,166,85
125,647,0.0268253939838,370.5,166,85
126,648,0.0655681690404,369.0,166,86
127,649,0.0417130046947,371.0,166,86
128,650,0.111544782311,370.0,166,86
129,651,0.0442650175424,370.0,166,86
130,652,0.0814233650123,369.0,166,86
131,653,0.0374340799573,369.0,166,86
132,654,0.119122944885,371.0,166,86
133,655,0.0362669341958,372.0,165,86
134,656,0.0573198036698,372.0,165,86
135,657,0.027342007279,372.0,165,86
136,658,0.050266933331,370.0,165,86
137,659,0.0943057823518,370.0,166,86
138,660,0.0477454822269,369.5,166,86
139,661,0.0381912011213,369.5,166,86
140,662,0.0857950604318,371.0,166,86
141,663,0.0437739046631,370.0,166,86
142,664,0.0558377550613,370.0,165,86
143,665,0.0235094918437,368.5,165,86
144,666,0.0120675802841,368.5,165,86
145,667,0.0597714915879,370.0,166,86
146,668,0.0623998524578,368.5,166,86
147,669,0.0339684984467,372.0,166,86
148,670,0.0362975831607,371.0,166,86
149,671,0.011836295429,371.0,166,86
150,672,0.0590787480745,369.5,166,86
151,673,0.0669628389809,369.5,166,86
152,674,0.00209854357885,369.5,166,86
153,675,0.0784539920064,369.5,166,86
154,676,0.0879653507591,369.5,166,86
155,677,0.0795781070696,369.0,166,86
156,678,0.0441095456247,368.0,166,86
157,679,0.100499854769,368.0,166,85
158,680,0.0495145817718,368.0,166,85
159,681,0.120389223701,368.0,166,85
160,682,0.0394565695101,368.0,166,85
161,683,0.140463219472,366.0,166,85
162,684,0.143590423049,369.0,166,85
163,685,0.0358897133685,370.0,166,85
