,index,labDelta,area,center_x,center_y,eucDist
0,311,0.0808989611305,36.5,173,150,0.79724632
1,312,0.162346292473,34.5,173,150,0.78692744
2,313,0.309799855949,35.0,173,151,0.89816928
3,314,0.0270970755572,34.5,173,151,1.00598584
4,315,0.219605085708,32.0,173,150,0.76950768
5,316,0.174712519946,31.0,173,150,1.0565668
6,317,0.160784344931,34.0,173,150,0.6377604
7,318,0.0,34.0,173,150,1.05957952
8,319,0.187629063441,35.5,173,150,0.60890104
9,320,0.0710804025563,35.0,173,151,1.00323008
10,321,0.0692932290783,35.0,173,151,0.56483912
11,322,0.119768513579,36.0,173,151,0.76033616
12,323,0.194207202464,37.5,173,151,0.60615832
13,324,0.275705325486,38.0,173,151,0.71435416
14,325,0.157049867562,37.0,173,151,0.76933024
15,326,0.0426462195985,37.0,173,151,0.648337
16,327,0.107652242948,37.0,173,151,0.78062912
17,328,0.254277275306,37.0,173,151,0.63496076
18,329,0.245068892395,34.0,173,151,0.63351292
19,330,0.166127236189,33.5,173,151,0.68209688
20,331,0.287016149688,37.5,173,151,0.8231124
21,332,9.83074681168e-05,37.5,173,151,0.75032784
22,333,0.124505013583,37.5,173,151,0.6271158
23,334,0.330079766635,35.0,173,151,0.58465608
24,335,0.29694765586,33.5,173,150,0.70821512
25,336,0.0781757245743,33.5,173,150,0.66710752
26,337,0.124040379576,37.0,173,150,0.7589476
27,338,0.243813782235,36.5,173,151,0.66024664
28,339,0.167497542077,37.0,173,151,0.66878828
29,340,0.00481885718654,37.0,173,151,0.56749988
30,341,0.153555397532,36.0,173,150,0.6772328
31,342,0.289197347069,33.0,173,150,0.83893416
32,343,0.130961588559,35.0,173,150,0.83103328
33,344,0.25786064846,34.5,173,150,0.57566616
34,345,0.000821675896208,34.5,173,150,0.70521312
35,346,0.0732619324794,35.5,173,150,0.61686948
36,347,0.0599508354958,34.5,173,150,0.65898288
37,348,0.102819518204,34.0,173,150,0.67224904
38,349,0.0662360759895,35.0,173,150,0.61257184
39,350,0.154185148315,33.5,173,150,0.61356916
40,351,0.00602016272909,35.0,173,150,0.66223992
41,352,0.27248974589,36.5,173,150,0.69069784
42,353,0.123530519201,36.5,173,150,0.62895184
43,354,0.176762907941,36.0,173,150,0.74098064
44,355,0.110713079732,34.5,173,150,0.62456464
45,356,0.213872645669,37.0,173,150,0.59679452
46,357,0.24430194818,37.0,173,150,0.5435856
47,358,0.151592615263,37.0,173,150,0.66313084
48,359,0.147136992779,36.5,173,150,0.63603184
49,360,0.0364296124228,36.5,173,150,0.63468248
50,361,0.096657063419,34.0,173,150,0.7164992
51,362,0.111807604493,34.5,173,150,0.71316224
52,363,0.111872585835,36.5,173,150,0.67219968
53,364,0.0576074479286,36.5,173,150,0.75378416
54,365,0.0927280755838,34.0,173,150,0.73702944
55,366,0.138503214024,33.5,173,150,0.77046256
56,367,0.159904353486,34.0,173,150,0.68452544
57,368,0.134720797971,35.5,173,150,0.6089596
58,369,0.237158454036,33.0,173,150,0.63644832
59,370,0.267193729274,31.0,173,150,0.6686122
60,371,0.00262999127569,31.0,173,150,0.700538
61,372,0.0,31.0,173,150,0.76000368
62,373,0.02014205769,31.0,173,150,0.76340456
63,374,0.201619428789,36.0,173,150,0.85120792
64,375,0.202061579384,38.0,173,151,0.61129496
65,376,0.00924536389666,38.0,173,151,0.75431216
66,377,0.144648036293,34.0,173,150,0.65399444
67,378,0.135384610514,33.0,174,150,0.75485488
68,379,0.155970434839,32.0,173,150,0.68622744
69,380,0.112774591687,32.0,173,150,0.76723496
70,381,0.00397462460948,32.0,173,150,0.91195008
71,382,0.217864053679,36.0,173,150,0.83699056
72,383,0.117299484595,36.5,173,150,0.84724928
73,384,0.233353680017,35.5,174,150,0.81188376
74,385,0.0951734401094,34.5,174,150,0.8581932
75,386,0.193520772647,35.0,174,150,0.80228424
76,387,0.00246549359894,35.0,174,150,0.71857392
77,388,0.254744762744,32.0,174,150,0.64874064
78,389,0.234867566032,37.0,174,150,0.67194456
79,390,0.241942289922,34.5,175,150,0.70016464
80,391,0.190433553295,34.5,175,150,0.72775296
81,392,0.138296199862,34.5,175,150,0.64917384
82,393,0.227366756524,33.0,175,150,0.80463656
83,394,0.0765098358434,34.0,175,150,0.67728816
84,395,0.196328764318,31.5,175,150,0.8329716
85,396,0.108714440296,32.0,175,150,0.63974336
86,397,0.00081685076248,32.0,175,150,0.6016186
87,398,0.234378731434,32.0,175,150,0.6600304
88,399,0.199505675307,34.0,175,150,0.53905772
89,400,0.177506361494,33.5,175,150,0.54849164
90,401,0.0,33.5,175,150,0.55984584
91,402,0.0,33.5,175,150,0.58623992
92,403,0.219559081861,30.5,175,150,0.69887624
93,404,0.0869661808891,34.0,175,150,0.65875924
94,405,0.246927904475,35.5,175,150,0.71986784
95,406,0.284006263187,36.0,175,150,0.57956064
96,407,0.00400969881893,36.0,175,150,0.60589644
97,408,0.294638635465,33.5,175,150,0.51969096
98,409,0.234587686446,33.5,175,150,0.57173348
99,410,0.229558919876,33.0,175,150,0.683752
100,411,0.000507065451384,33.0,175,150,0.62519852
101,412,0.27864690128,35.0,176,150,0.51607652
102,413,0.17681409542,35.0,176,150,0.65460448
103,414,0.0395640814709,35.0,176,150,0.57207952
104,415,0.165839889909,33.0,176,150,0.65822116
105,416,0.00476732249971,33.0,176,150,0.87617504
106,417,0.158145701908,34.5,175,150,0.73955264
107,418,0.143180326796,34.5,175,150,0.60580744
108,419,0.0749430612617,34.0,175,150,0.57948576
