,index,labDelta,area,center_x,center_y,eucDist
0,98,5.04119481456e-05,18.0,186,164,0.95686776
1,99,5.68529730343e-05,15.5,186,164,0.67976032
2,100,2.21555058779e-05,16.0,186,164,0.68808944
3,101,2.33525628138e-05,16.0,186,164,0.63495892
4,102,3.38621774673e-05,14.5,186,164,0.55651312
5,103,1.22212464861e-05,14.5,186,164,0.73426016
6,104,1.28743119194e-05,14.5,186,164,0.59057664
7,105,4.34808884151e-05,16.0,187,164,0.75328184
8,106,2.02563403483e-06,16.0,187,164,0.53413992
9,107,2.10843719797e-05,14.5,187,164,1.08581608
10,108,7.66649023374e-06,14.5,187,164,0.60217496
11,109,3.5232931448e-05,17.0,187,164,0.8350092
12,110,5.07291664568e-05,17.5,187,164,0.51956956
13,111,3.55380084424e-05,19.0,187,164,0.86686984
14,112,5.49324787168e-05,15.0,187,165,0.64394644
15,113,1.70386119146e-06,15.0,187,165,0.74416872
16,114,4.89032012926e-05,18.0,187,165,0.57238692
17,115,1.20722799439e-05,17.0,186,165,0.8377688
18,116,2.17888690268e-05,18.0,187,165,0.72710232
19,117,4.19449024597e-05,18.0,187,165,0.73174576
20,118,3.61545683402e-05,17.0,187,165,0.63440624
21,119,2.80343952786e-05,17.0,187,165,0.80995968
22,120,3.83068602647e-05,16.0,187,164,0.79188496
23,121,1.44576874277e-05,16.0,188,164,1.01558232
24,122,2.38102837444e-05,15.0,187,165,0.73299696
25,123,8.05916588007e-07,15.0,187,165,1.04012544
26,124,2.99321685105e-05,17.0,187,165,0.77042376
27,125,3.06147344849e-06,17.0,187,165,1.11033648
28,126,2.13548712731e-05,16.0,187,165,0.8439368
29,127,1.42882219305e-05,17.0,187,164,0.90524304
30,128,1.34418999607e-05,16.0,187,164,0.80536712
31,129,1.80028215305e-05,15.0,187,165,0.93563448
32,130,1.94641318787e-05,14.5,187,165,0.98384384
33,131,1.32757260824e-05,14.5,187,165,1.06809176
34,132,3.5131520773e-05,17.0,187,165,1.09652856
35,133,0.0,17.0,187,165,0.8530996
36,134,5.37652385749e-05,16.0,188,165,0.70000568
37,135,1.38874609777e-05,14.5,187,165,0.8258364
38,136,2.48646197286e-05,14.5,188,164,0.76644048
39,137,2.55070307749e-05,15.5,188,165,1.07314952
40,138,0.0,15.5,188,165,0.6608318
41,139,4.04385834312e-05,18.0,188,165,0.97767456
42,140,2.86906574439e-05,18.0,188,165,0.6601228
43,141,1.33716490253e-05,18.0,188,165,0.80283416
44,142,2.28566525821e-05,17.0,188,165,0.6320326
45,143,1.84055287415e-06,17.0,188,165,0.76038744
46,144,3.98741027338e-05,18.0,188,165,0.59952836
