,index,labDelta,area,center_x,center_y,eucDist
0,386,9.17229688411e-05,311.5,253,119,1.06513712
1,387,0.000137431497048,301.5,253,119,1.2057052
2,388,0.000221482243401,315.5,253,119,1.11741864
3,389,0.0827288430003,325.0,253,119,1.44094032
4,390,3.59667973297e-05,325.0,253,119,0.99625536
5,391,0.0827651302671,311.5,253,119,1.11058592
6,392,0.0402558352138,302.5,253,119,1.25120416
7,393,0.0404366620921,322.5,253,119,1.30126904
8,394,5.76276165897e-05,325.0,253,119,1.27876544
9,395,6.46113526227e-06,325.0,253,119,1.13662464
10,396,0.0826686053229,312.0,253,119,1.28842896
11,397,0.0134018200692,312.0,253,119,1.20193568
12,398,0.0015704716137,312.0,253,119,1.29271784
13,399,0.000259193421478,325.0,253,119,1.21557672
14,400,7.47332594011e-05,325.0,253,119,1.22603504
15,401,0.073462900369,324.5,253,119,1.14491864
16,402,0.000100124392698,321.0,253,119,1.0287584
17,403,0.000102511066713,320.5,253,119,1.24548728
18,404,0.000138207084589,323.0,253,119,1.14395416
19,405,1.06641274009e-05,323.0,253,119,1.13189104
20,406,0.000188564021057,325.0,253,119,0.8365756
21,407,7.01913822304e-05,324.5,253,119,1.39457408
22,408,7.7266428096e-05,325.0,253,119,1.00896728
23,409,3.72915450244e-05,325.0,253,119,1.11695736
24,410,7.92434324137e-07,325.0,253,119,1.12423576
25,411,0.0839895165924,325.0,253,119,1.32001048
26,412,0.0211149413856,325.0,253,119,0.97045624
27,413,0.00264038141922,325.0,253,119,1.16397408
28,414,0.023754499223,325.0,253,119,1.49937584
29,415,0.0840127767628,318.5,253,119,1.42683776
30,416,8.41690053249e-05,315.5,253,119,1.342094
31,417,4.63838154503e-06,315.5,253,119,1.34048288
32,418,0.065649974153,325.0,253,119,1.99499056
33,419,0.00272343855579,312.0,253,119,1.31553872
34,420,0.0675381365137,312.0,253,119,1.4366448
35,421,0.10359946863,324.5,252,119,1.68415536
36,422,0.0735045009436,324.5,252,119,1.3738424
37,423,0.0108466523692,325.0,252,119,1.44220464
38,424,0.0109023611885,312.0,253,119,1.42968016
39,425,4.58159543752e-05,312.0,253,119,1.5000568
40,426,0.0423951932795,304.5,253,119,1.29823736
41,427,0.0776112532129,311.5,253,119,1.60999008
42,428,0.00400820695297,312.0,253,119,1.27117784
43,429,0.0870009169505,302.5,252,119,1.6136784
44,430,6.5195488442e-06,302.5,252,119,1.227008
45,431,0.0317591821535,314.5,252,119,1.49206384
46,432,0.0526726807301,305.5,252,119,1.3357088
47,433,0.0525658560058,312.0,252,119,1.40961824
48,434,0.0524627216447,312.0,252,119,1.52079008
49,435,0.0839792860866,310.0,252,119,1.50994928
50,436,0.000252336089014,297.5,252,119,1.34339584
51,437,0.0392240814005,298.5,252,119,1.30148368
52,438,0.03950505637,312.5,252,118,1.34290912
53,439,5.5523079967e-05,312.0,252,118,1.36036672
54,440,0.000370152190121,325.0,252,118,1.27872328
55,441,3.67309828889e-06,325.0,252,118,1.20124384
56,442,0.000284249260538,311.0,253,118,1.13758464
57,443,0.000206026475943,318.5,253,118,1.15770256
58,444,9.99567837038e-05,321.5,253,118,1.05436736
59,445,0.000446698617076,329.5,253,118,1.18479072
60,446,0.000479001585164,318.5,253,118,0.96172216
61,447,1.41310475619e-06,318.5,253,118,1.31051648
62,448,0.000164611619172,306.0,253,118,1.033674
63,449,0.000183378726893,312.0,253,118,1.25531688
64,450,0.000245457302728,325.0,252,118,1.09720128
65,451,0.000181744519825,315.5,252,118,1.10115872
66,452,6.59657603965e-05,318.5,252,118,1.04851144
67,453,8.49594335738e-05,322.5,252,118,1.1078968
68,454,0.000122935740022,313.5,252,118,1.03612376
