,index,labDelta,area,center_x,center_y
0,407,4.97140485776e-06,12.0,230,102
1,408,0.0,12.0,230,102
2,409,1.28136335569e-05,12.0,230,102
3,410,6.64720152242e-05,12.0,230,102
4,411,1.12887364695e-06,12.0,230,102
5,412,3.62758245849e-05,12.5,229,107
6,413,1.81243398372e-06,12.5,229,107
7,414,2.56914315563e-05,12.5,229,107
8,415,4.97387477677e-06,12.5,229,107
9,416,6.66338321877e-05,14.0,229,107
10,417,4.1338866606e-05,12.0,230,102
11,418,2.44838722729e-06,12.0,230,102
12,419,4.49495494021e-07,12.0,230,102
13,420,4.02067573744e-05,29.5,229,104
14,421,1.40083199188e-06,29.5,229,104
15,422,3.24702870189e-05,13.0,229,107
16,423,1.45635469817e-05,13.0,229,107
17,424,0.000102604264787,14.5,230,102
18,425,2.79758938362e-06,14.5,230,102
19,426,4.66809308459e-05,14.5,230,102
20,427,4.82635789625e-05,15.0,230,102
21,428,4.25366872257e-05,16.0,230,102
22,429,2.33842350445e-05,15.0,230,101
23,430,1.21611933276e-06,15.0,230,101
24,431,2.06539847578e-05,16.0,230,102
25,432,3.54039956183e-05,16.0,230,102
26,433,3.928179026e-06,16.0,230,102
27,434,1.87819919752e-05,16.0,230,102
28,435,0.000104059705081,15.5,230,106
29,436,4.02509348181e-06,15.5,230,106
30,437,0.000308174763994,35.5,231,105
31,438,2.57395970036e-06,35.5,231,105
32,439,0.000282442474697,27.0,233,106
33,440,2.07591139757e-06,27.0,233,106
34,441,0.0,27.0,233,106
35,442,0.000261529609848,25.0,234,107
36,443,1.65504016351e-06,25.0,234,107
37,444,0.00018375592029,33.0,234,108
38,445,3.51815650149e-06,33.0,234,108
39,446,0.000105360213236,32.5,234,108
40,447,4.05178929109e-06,31.5,234,108
41,448,0.0,31.5,234,108
42,449,0.000231051394999,14.5,234,108
43,450,2.6192024016e-06,14.5,234,108
44,451,5.87190317908e-07,14.5,234,108
45,452,0.000116551511533,17.0,234,108
46,453,3.29587137539e-06,17.0,234,108
47,454,0.000340795740667,34.5,232,111
48,455,2.66683758537e-06,34.5,232,111
49,456,0.00024054036824,16.0,234,110
50,457,3.88364075351e-06,16.0,234,110
51,458,2.16383920856e-06,16.0,234,110
52,459,0.000264465340601,33.5,234,113
53,460,0.000185119302318,28.5,234,114
54,461,3.91435714682e-06,28.5,234,114
55,462,0.000313424316376,35.0,235,117
56,463,0.000119456115529,16.0,234,115
57,464,3.74792212235e-06,16.0,234,115
58,465,8.262701252e-05,17.0,234,115
59,466,0.000129128972121,14.5,233,114
60,467,0.000193215889639,37.0,233,116
61,468,1.99017571655e-06,37.0,233,116
62,469,0.000140623238791,38.0,232,116
63,470,7.06040829489e-06,38.0,232,116
64,471,0.000350491488917,33.0,230,117
65,472,0.00019188640599,15.0,229,116
66,473,1.44845236055e-06,15.0,229,116
67,474,0.000433305950114,18.5,226,117
68,475,0.000446364270879,16.0,223,124
69,476,1.98585694575e-06,16.0,223,124
70,477,0.000250491460488,33.5,221,121
71,478,0.000246503106526,30.5,219,121
72,479,2.21305551134e-06,30.5,219,121
73,480,0.0,30.5,219,121
74,481,0.000193790306103,15.5,220,119
75,482,0.000188506894467,17.0,221,119
76,483,2.5701869806e-06,17.0,221,119
77,484,0.000133308425709,14.5,221,119
78,485,4.49496332049e-07,14.5,221,119
79,486,0.000113133299205,16.0,222,119
80,487,9.53740387443e-07,16.0,222,119
81,488,0.000118929234093,37.0,223,120
82,489,0.000450210002509,37.0,225,117
83,490,2.97383440366e-06,37.0,225,117
84,491,0.000658189471672,19.0,233,110
85,492,3.47016828924e-06,19.0,233,110
86,493,0.0,19.0,233,110
87,494,0.000616189417127,17.0,240,109
88,495,0.0,17.0,240,109
89,496,0.0,17.0,240,109
90,497,0.000241305759794,19.5,240,109
91,498,0.000239154335914,34.0,239,112
92,499,3.88842103123e-06,34.0,239,112
93,500,0.000231500992286,35.5,237,112
94,501,0.0,35.5,237,112
95,502,0.000179885512451,41.0,237,111
96,503,0.000289215731982,18.5,237,107
97,504,7.99994852867e-06,19.0,237,107
98,505,0.000124278732834,38.0,237,109
99,506,0.000262342875396,41.0,238,108
100,507,0.000129617360814,18.5,238,106
101,508,3.46540318908e-06,18.5,238,106
102,509,4.96696673574e-05,18.5,238,106
103,510,5.51167459202e-06,18.5,238,106
104,511,0.00018399996031,35.5,237,108
105,512,8.63640282717e-05,18.5,237,107
106,513,0.000107218296274,18.5,237,106
107,514,1.80980116278e-06,18.5,237,106
108,515,4.6980510012e-05,39.0,237,109
109,516,6.35047782398e-06,39.0,237,109
110,517,9.72967422761e-05,18.0,238,107
111,518,3.11451188909e-06,18.0,238,107
112,519,6.58871308359e-05,19.0,238,107
113,520,5.40353800599e-05,19.0,238,107
114,521,3.37732293849e-06,19.0,238,107
115,522,0.000179147387789,41.5,237,109
116,523,2.61167028917e-06,42.5,237,109
117,524,5.80851380509e-05,39.5,237,109
118,525,0.000138358234369,18.5,238,107
119,526,3.18511668993e-07,18.5,238,107
120,527,6.4019441414e-05,18.5,238,107
121,528,4.52243839369e-06,18.5,238,107
122,529,0.000115305950129,39.5,238,109
123,530,4.47593220362e-06,39.5,238,109
124,531,0.000102804418858,41.0,238,109
125,532,4.15439538498e-06,41.0,238,109
126,533,3.74236463996e-06,41.0,238,109
127,534,1.35303317627e-05,41.0,238,109
128,535,2.62169018871e-06,41.0,238,109
129,536,0.0,41.0,238,109
130,537,9.58583675829e-05,40.5,238,109
131,538,6.57865781344e-05,18.5,238,107
132,539,3.43652189951e-06,18.5,238,107
133,540,0.0,18.5,238,107
134,541,0.000135238864721,41.0,238,109
135,542,3.75220129621e-06,41.0,238,109
136,543,5.3795907034e-05,43.0,238,109
137,544,2.1522452346e-05,43.0,238,109
138,545,5.85839971877e-05,42.5,238,109
139,546,4.53235454313e-07,42.5,238,109
140,547,7.20074088499e-05,39.5,238,109
141,548,0.000107207338208,18.5,238,107
142,549,6.05037455786e-06,18.5,238,107
143,550,0.000118157130167,39.0,238,110
144,551,6.12748921555e-05,45.5,237,110
145,552,5.72838093446e-05,43.5,237,110
146,553,4.23841531716e-06,43.5,237,110
147,554,5.58731528512e-05,41.0,238,110
148,555,5.17767349554e-06,41.0,238,110
149,556,7.00997299092e-05,45.0,237,110
150,557,4.07091309592e-06,45.0,237,110
151,558,3.07710958487e-06,45.0,237,110
152,559,3.62993175713e-05,41.5,238,110
153,560,2.07030826502e-06,41.5,238,110
154,561,4.37552211158e-05,43.0,238,110
155,562,2.4713513636e-05,46.0,238,110
156,563,7.00748755733e-06,45.0,238,110
157,564,4.49613632828e-05,41.5,238,110
158,565,7.36100131214e-06,41.0,238,110
159,566,3.82245551158e-05,45.0,237,110
160,567,5.74188843107e-05,41.0,238,110
161,568,0.000132965471014,22.0,238,107
162,569,3.79207177107e-06,22.0,238,107
163,570,5.45106024279e-05,22.0,238,107
164,571,4.36968324113e-06,22.0,238,107
165,572,0.0,22.0,238,107
166,573,2.96577663006e-05,23.0,238,107
167,574,2.97987993313e-06,23.0,238,107
168,575,0.000104361346498,21.0,238,107
169,576,4.68362794093e-06,21.0,238,107
170,577,7.08158271312e-05,22.0,238,107
171,578,3.52334717693e-06,22.0,238,107
172,579,4.07180205867e-05,22.0,238,107
173,580,2.17690369129e-06,22.0,238,107
174,581,4.2381762072e-06,22.0,238,107
175,582,0.00013290737414,42.5,238,109
176,583,2.93735621998e-06,42.5,238,109
177,584,0.000314768626744,18.0,238,107
178,585,5.50730233892e-06,19.0,238,107
179,586,3.63975818993e-07,19.0,238,107
180,587,1.06916039935e-05,12.5,238,107
181,588,1.86526501543e-06,15.0,238,107
182,922,0.219293791948,345.0,245,122
183,923,0.129799645609,345.0,245,122
184,924,0.0045039147054,345.0,245,122
185,925,0.288893113107,340.5,245,121
186,926,0.230405982739,346.5,245,122
187,927,0.00243625038016,346.5,245,122
188,928,2.04668154757e-05,346.5,245,122
189,929,0.0,346.5,245,122
190,930,0.343776757972,342.5,245,122
191,931,0.0264765583236,342.5,245,122
192,932,2.47725860256e-05,342.5,245,122
193,933,0.369190538968,355.0,246,123
194,934,0.0395726572587,355.5,246,123
195,935,0.00426176093716,355.5,246,123
196,936,0.385424890048,344.5,245,123
197,937,0.0194900815687,344.5,245,123
198,938,0.00319466937913,344.5,245,123
199,939,0.44704449473,338.0,244,123
200,940,0.192374820123,340.0,244,123
201,941,0.427904082158,341.5,245,123
202,942,0.163910597839,340.5,245,123
203,943,0.00131126949366,340.5,245,123
204,944,0.0,340.5,245,123
205,945,0.493976618108,343.5,246,122
206,946,0.151764800544,343.5,246,122
207,947,0.388643132465,341.0,246,121
208,948,0.148764593578,341.0,246,121
209,949,0.398320131196,343.0,247,121
210,950,0.126071028674,343.0,247,121
211,951,0.507424257445,347.5,248,121
212,952,0.327234308937,351.0,249,121
213,953,0.0972688257161,351.0,249,121
214,954,0.33273613183,351.5,249,121
215,955,0.19013775835,355.0,249,121
216,956,0.19977701761,355.0,249,121
217,957,0.405893338932,364.0,249,120
218,958,0.34636114359,362.5,249,120
219,959,0.142453872992,362.5,249,120
220,960,0.0798530602716,362.5,249,120
221,961,0.236179102727,358.0,248,120
222,962,0.213214339389,364.0,248,119
223,963,0.184885523087,358.0,249,119
224,964,0.247593249855,358.0,249,119
225,965,0.102199435557,361.0,249,119
226,966,0.0958338299069,365.0,249,118
227,967,0.1156928117,366.5,249,118
228,968,0.0864294080124,370.0,249,118
229,969,0.0734932906166,370.0,249,118
230,970,5.79609316946e-05,370.0,249,118
231,971,0.177456831321,376.0,248,118
232,972,0.175674390446,374.0,248,118
233,973,0.0797723470838,374.0,248,118
234,974,0.0834163883913,373.5,248,118
235,975,0.143322110781,373.5,248,118
236,976,0.220758350875,358.0,249,118
237,977,0.246511728798,365.0,249,118
238,978,0.0777324239173,366.0,249,118
239,979,0.253588590525,367.0,249,118
240,980,0.168990673577,366.5,249,118
241,981,0.0985428766803,366.5,249,118
242,982,0.0210102602023,366.5,249,118
243,983,0.0,366.5,249,118
244,984,0.292246367945,380.5,249,118
245,985,0.0462169547948,377.0,249,118
246,986,0.240686078345,374.5,249,118
247,987,0.0664447937209,374.5,249,118
248,988,0.278404377687,373.0,249,118
249,989,0.040979421461,373.5,249,118
250,990,6.05397460946e-06,373.5,249,118
251,991,0.0,373.5,249,118
252,992,0.301360746194,360.0,249,118
253,993,0.153347031532,360.0,249,118
254,994,0.188491277221,363.5,248,118
255,995,0.231655947072,375.0,248,118
256,996,0.019726726627,375.0,248,118
257,997,0.13566128384,377.5,248,118
258,998,0.057561694063,375.5,248,118
259,999,0.0335067572347,374.5,248,118
260,1000,0.189653652701,374.5,248,118
261,1001,0.0697747290251,363.0,248,118
262,1002,0.325793450021,367.0,248,118
263,1003,0.0167114554898,367.0,248,118
264,1004,0.0502890812505,372.5,248,117
265,1005,0.224981427289,377.5,248,117
266,1006,0.0417352220123,376.5,248,117
267,1007,0.23815993672,371.0,248,118
268,1008,0.182012569166,372.0,248,117
269,1009,0.255936742781,369.0,248,118
270,1010,0.136658434214,372.0,248,118
271,1011,0.0638389334254,372.0,248,118
272,1012,0.246688138781,380.0,248,117
273,1013,0.0226590983548,380.0,248,117
274,1014,0.223104002385,382.5,248,117
275,1015,0.049509488769,382.5,248,117
276,1016,0.287173014971,385.0,248,117
277,1017,0.161934217227,386.0,248,117
278,1018,0.102552726361,386.0,248,117
279,1019,0.0567903247789,385.0,248,117
280,1020,0.213191870262,385.5,248,117
281,1021,0.242796526171,383.0,248,117
282,1022,0.118108922827,383.0,248,117
283,1023,0.091855990337,383.0,248,117
284,1024,0.229310916625,390.5,248,117
285,1025,0.236319681171,390.5,248,117
286,1026,0.30744222607,388.5,249,117
287,1027,0.0894151655634,388.5,249,117
288,1028,0.351559508964,384.0,248,117
289,1029,0.0528379686399,384.0,248,117
290,1030,0.000123481730018,384.0,248,117
291,1031,0.340454050771,396.5,249,116
292,1032,0.176571021668,396.5,249,116
293,1033,0.270983508633,395.5,248,116
294,1034,0.0326183170515,395.5,248,116
295,1035,0.217107554063,387.0,248,116
296,1036,0.211486325661,387.0,248,116
297,1037,0.227619143596,390.0,248,116
298,1038,0.221117316206,393.5,249,116
299,1039,0.0201106673018,393.5,249,116
300,1040,0.235743151714,400.5,249,116
301,1041,0.313058827139,396.0,248,116
302,1042,0.27157549308,393.0,248,116
303,1043,0.0259223599527,393.0,248,116
304,1044,0.249189509202,396.0,248,116
305,1045,0.111189294385,396.0,248,116
306,1046,0.372337338258,405.5,249,116
307,1047,0.237314856679,404.5,249,116
308,1048,0.314888475238,404.5,249,116
309,1049,0.125496114268,404.5,249,116
310,1050,0.300247976959,399.0,248,116
311,1051,0.3708755254,403.0,249,116
312,1052,0.120637334588,403.0,249,116
313,1053,0.1963528769,404.0,248,116
314,1054,0.0222281626572,404.0,248,116
315,1055,0.302257397511,407.0,249,116
316,1056,0.334364468306,400.5,249,116
317,1057,0.180976390646,400.5,249,116
318,1058,0.299272779337,399.0,249,115
319,1059,0.317337382014,406.0,249,115
320,1060,0.176701257616,406.0,249,115
321,1061,0.183437006328,406.0,249,115
322,1062,0.177855322939,407.0,249,115
323,1063,0.0257964985128,407.0,249,115
324,1064,0.332069395429,414.0,249,115
325,1065,0.401806883717,414.0,249,115
326,1066,0.435480073952,409.5,249,115
327,1067,0.0946824326065,409.5,249,115
328,1068,0.00348779397506,409.5,249,115
329,1069,0.41549484262,405.5,249,114
330,1070,0.0852469805569,405.5,249,114
331,1071,0.176326870156,411.5,249,114
332,1072,0.0835355645785,411.5,249,114
333,1073,0.28974810264,412.5,249,114
334,1074,0.142015820991,412.5,249,114
335,1075,0.0,412.5,249,114
336,1076,0.318404050995,405.5,249,114
337,1077,0.101777465821,405.5,249,114
338,1078,0.20543253467,413.0,249,114
339,1079,0.0414384853434,413.0,249,114
340,1080,0.321698399499,415.0,249,114
341,1081,0.243019582021,415.0,249,114
342,1082,0.237426045557,412.0,249,114
343,1083,0.256387785944,413.0,249,114
344,1084,0.115360228536,415.0,249,114
345,1085,0.323034452586,413.0,249,114
346,1086,0.0911328055768,413.0,249,114
347,1087,0.137580244164,414.0,249,114
348,1088,0.0697127771302,414.0,249,114
349,1089,0.332806249268,413.5,249,114
350,1090,0.00888840427326,413.5,249,114
351,1091,0.0555872601325,412.5,249,114
352,1092,0.451624923053,417.0,249,114
353,1093,0.182817813869,418.0,249,114
354,1094,0.11499325074,419.0,249,114
355,1095,0.197694289335,421.5,249,114
356,1096,0.268214051491,424.5,249,114
357,1097,0.0548684952295,425.5,249,114
358,1098,0.121163547685,422.0,250,114
359,1099,0.285239977143,424.0,250,114
