,index,labDelta,area,center_x,center_y
0,320,0.176050011282,720.0,265,118
1,321,0.210357176332,723.0,265,118
2,322,0.162719328336,722.0,265,118
3,323,0.157893744792,723.5,264,118
4,324,0.137457782558,722.0,264,118
5,325,0.0999572642284,727.5,264,118
6,326,0.126043854449,727.5,264,118
7,327,0.131868920264,728.5,264,118
8,328,0.139778214694,730.5,264,118
9,329,0.128976774093,734.5,265,118
10,330,0.163776307706,735.5,265,118
11,331,0.142899680855,739.0,265,118
12,332,0.0691436269285,742.0,265,118
13,333,0.0117382577032,742.0,265,118
14,334,0.134638354389,739.5,264,118
15,335,0.10241428906,739.5,264,118
16,336,0.116722885806,745.0,265,118
17,337,0.112047445948,743.5,265,118
18,338,0.12402572292,743.0,264,118
19,339,0.139071288188,747.5,264,118
20,340,0.138170630299,748.5,264,118
21,341,0.0657103518237,748.5,264,118
22,342,0.181666645975,754.0,265,118
23,343,0.0911013213835,757.0,265,118
24,344,0.164838041912,757.5,265,118
25,345,0.238088501078,756.5,264,118
26,346,0.118522813807,756.5,264,118
27,347,0.207840050973,756.5,264,118
28,348,0.14606725425,761.5,264,118
29,349,0.152114741713,762.5,264,118
30,350,0.121577487268,768.0,264,118
31,351,0.0811126479565,766.0,264,118
32,352,0.0854188350084,765.0,265,118
33,353,0.137336966336,769.0,264,118
34,354,0.253235521653,771.5,264,118
35,355,0.201668838486,770.0,264,118
36,356,0.23973314702,770.0,264,118
37,357,0.235512509413,768.5,263,118
38,358,0.35343100601,755.5,261,119
39,359,0.387169041055,758.5,260,119
40,360,0.354082665855,745.5,256,119
41,361,0.144287276638,746.5,256,119
42,362,0.429073357704,705.5,251,119
43,363,0.214351215522,691.0,249,119
44,364,0.273517227474,674.0,245,119
45,365,0.230487377569,669.0,242,119
46,366,0.24263816637,657.5,240,118
47,550,0.166380176512,628.0,153,133
48,551,0.148088053002,629.0,153,133
49,552,0.128986552696,625.0,153,133
50,553,0.193523903552,637.5,152,133
51,554,0.12254891103,637.5,152,133
52,555,0.1975058602,626.0,153,133
53,556,0.177806016923,630.0,153,133
54,557,0.0783406935264,630.0,153,133
55,558,0.0266332608407,630.0,153,133
56,559,0.00990185977131,630.0,153,133
57,560,0.276631511658,646.5,152,133
58,561,0.117864719622,647.5,152,133
59,562,0.0527893011568,649.5,152,133
60,563,0.18926382822,649.5,152,133
61,564,0.124296672463,650.5,152,133
62,565,0.137758544552,650.0,152,133
63,566,0.0639266186902,650.0,152,133
64,567,0.126716472821,652.0,152,133
65,568,0.133071005862,652.0,152,133
66,569,0.178045513072,653.0,152,133
67,570,0.0577104719486,654.0,152,133
68,571,0.0865113130103,655.0,152,133
69,572,0.111331508286,656.0,152,133
70,573,0.201112330574,649.5,152,133
71,574,0.215867695337,657.0,152,133
72,575,0.180887036129,659.0,152,133
73,576,0.102926136737,660.0,152,133
74,577,0.19793242713,664.0,152,133
75,578,0.0523421416584,664.0,152,133
76,579,0.205105308085,649.5,153,133
77,580,0.178994342369,653.5,153,133
78,581,0.142093279277,654.5,153,133
79,582,0.201020343977,665.0,152,133
80,583,0.0796210131944,665.0,152,133
81,584,0.0579142911884,665.0,152,133
82,585,0.141939303384,669.0,152,133
83,586,0.164402222266,668.0,152,133
84,587,0.143463596409,673.0,152,133
85,588,0.0888194252317,673.0,152,132
86,589,0.108245940154,674.0,152,132
87,590,0.167018058791,675.0,152,132
88,591,0.114927864873,677.5,152,132
89,592,0.155143324112,681.0,152,132
90,593,0.118270092185,682.0,152,132
91,594,0.00839939665143,682.0,152,132
92,595,0.140292253499,674.0,152,132
93,596,0.182480832112,673.0,152,132
94,597,0.179383169787,679.0,152,132
95,598,0.207438810878,680.0,153,132
96,599,0.178798902407,684.5,153,132
97,600,0.0831576311639,683.0,153,132
98,601,0.0630658314821,685.0,152,132
99,602,0.0758393172471,685.0,152,132
100,603,0.069338142947,686.0,153,132
101,604,0.120579736339,685.0,152,132
102,605,0.15142646915,687.0,152,132
103,606,0.127231827372,688.5,153,132
104,607,0.00803329574789,689.0,153,132
105,608,0.146821568599,687.0,152,132
106,609,0.254830614558,686.5,152,132
107,610,0.0998146752768,690.5,152,132
108,611,0.0524750853399,691.5,153,132
109,612,0.234230398926,696.5,153,132
110,613,0.0897982838324,697.0,153,132
111,614,0.167148905018,699.5,153,132
112,615,0.246893876313,695.5,152,133
113,616,0.160697589808,706.0,152,133
114,617,0.117855960781,710.0,152,133
115,618,0.117751529806,710.0,152,133
116,619,0.158525186805,704.5,152,133
117,620,0.267313391882,700.5,152,133
118,621,0.193035276926,712.0,152,133
119,622,0.148676886856,713.5,152,133
120,623,0.073976912823,713.5,152,133
121,624,0.161788406045,714.5,152,133
122,625,0.0822433071621,713.5,152,133
123,626,0.135528743663,716.5,152,133
124,627,0.0941006140602,718.5,152,133
125,628,0.190648303564,720.0,152,133
126,629,0.175523985686,722.0,152,133
127,630,0.141209025353,724.5,152,132
128,631,0.0941327128116,723.0,152,132
129,632,0.10661334678,728.5,152,133
130,633,0.0218921907648,727.5,152,133
131,634,0.131490839342,714.5,153,133
132,635,0.101370691166,725.5,152,133
133,636,0.128895814366,727.5,152,133
134,637,0.208745454059,722.0,152,133
135,638,0.105808531248,725.5,152,133
136,639,0.168482957122,732.0,152,133
137,640,0.178342123729,715.5,153,133
138,641,0.128133746336,713.0,153,133
139,642,0.104108784021,713.0,153,133
140,643,0.19185764838,715.0,153,133
141,644,0.255711908918,715.0,153,133
142,645,0.206701195709,716.0,153,133
143,646,0.1874502042,738.5,152,133
144,647,0.129911271062,739.5,152,133
145,648,0.0571878834362,739.5,152,133
146,649,0.096580512077,739.5,152,133
147,650,0.148386110472,737.5,152,133
148,651,0.147492568643,737.0,152,133
149,652,0.144192055382,738.0,152,133
150,653,0.110763742943,740.0,152,133
151,654,0.128495861781,738.5,152,133
152,655,0.0938586875919,721.5,153,133
153,656,0.11461436018,743.5,152,133
154,657,0.186306054801,743.5,152,133
155,658,0.200308081365,739.5,152,132
156,659,0.0984513651968,739.5,152,132
157,660,0.191955770853,741.5,152,133
158,661,0.142406753064,744.5,152,133
159,662,0.114002730329,744.5,152,133
160,663,0.124146622296,745.5,152,133
161,664,0.0324845781687,745.5,152,133
162,665,0.147248111371,745.5,152,133
163,666,0.0737653422135,746.5,152,133
164,667,0.140351511769,749.5,152,133
165,668,0.194608347055,747.5,152,133
166,669,0.190506656231,750.5,152,133
167,670,0.187066785486,747.5,152,133
168,671,0.179970669536,748.5,152,133
169,672,0.0981728889685,748.5,152,133
170,673,0.0458154096554,748.5,152,133
171,674,0.222300097751,748.5,152,132
172,675,0.151833136344,761.0,152,132
173,676,0.117292973455,763.5,152,132
174,677,0.0891017204146,755.5,152,132
175,678,0.188999596869,769.0,151,133
176,679,0.0909623329924,764.0,151,133
177,680,0.129711950892,767.0,151,133
178,681,0.162637300847,771.5,151,133
179,682,0.0724912137306,771.0,152,132
180,683,0.00630697578677,771.0,152,132
181,684,0.12069162362,773.0,152,132
182,685,0.0957767015337,772.0,152,132
183,686,0.186797391548,775.5,152,133
184,687,0.0763475410519,772.5,151,133
185,688,0.137864124864,773.0,151,132
186,689,0.253288927558,777.5,152,132
187,690,0.084002061234,776.5,152,132
188,691,0.0419969566628,777.5,152,132
189,692,0.112103084358,777.5,152,132
190,693,0.134592963898,777.0,152,132
191,694,0.10858014467,777.0,152,132
192,695,0.0871283582564,776.0,152,132
193,696,0.0269398771445,776.0,152,132
194,697,0.18095100814,781.0,152,132
195,698,0.0548467943051,782.5,152,132
196,699,0.276504130253,782.5,152,132
197,700,0.266429551289,780.5,152,132
198,701,0.0351887990338,782.5,152,132
199,702,0.123691440838,782.0,152,132
200,703,0.0276861362839,782.0,152,132
201,704,0.191778243567,784.0,152,132
202,705,0.15806198065,786.0,152,132
203,706,0.201166309823,789.0,152,132
204,707,0.0828596252464,790.0,152,132
205,708,0.117167193856,791.0,152,133
206,709,0.235924464855,790.0,152,132
207,710,0.146456405503,788.0,152,132
208,711,0.121483891675,791.0,152,132
209,712,0.168966609199,788.0,152,132
210,713,0.192525466834,790.0,152,132
211,714,0.124464085903,792.5,152,132
212,715,0.135436474155,794.5,152,132
213,716,0.130263694004,799.0,152,132
214,717,0.142828113856,799.5,152,132
215,718,0.101824171925,799.5,152,132
216,719,0.235015187708,799.0,152,132
217,720,0.207707823868,799.5,152,132
218,721,0.0819014437258,808.5,151,132
219,722,0.198591963891,799.0,152,132
220,723,0.105516208296,798.0,152,132
221,724,0.115720040245,803.0,152,132
222,725,0.113172998153,803.0,152,132
223,726,0.174706404742,805.0,152,132
224,727,0.11378312444,808.0,152,132
225,728,0.119022761758,807.0,152,132
226,729,0.0920137912913,804.5,152,132
227,730,0.0236876317154,804.5,152,132
228,731,0.0883331618374,806.5,152,132
229,732,0.163847804006,808.5,152,132
230,733,0.136685493374,812.5,152,132
231,734,0.0830608506016,815.5,152,132
232,735,0.136607742583,816.0,152,132
233,736,0.0178252997949,816.0,152,132
234,737,0.0735394140808,817.5,152,132
235,738,0.103434796045,820.0,152,132
236,739,0.0110813653677,820.0,152,132
237,740,0.196854053374,825.5,152,132
238,741,0.211384887049,835.5,152,132
239,742,0.142828367196,838.0,151,132
240,743,0.274242214487,836.5,152,132
241,744,0.165191484506,821.5,152,132
242,745,0.239150883219,828.0,152,132
243,746,0.095230418696,830.0,152,132
244,747,0.0948685538894,828.0,152,132
245,748,0.0877062762726,827.0,152,132
246,749,0.0333711815546,827.0,152,132
247,750,0.140838912442,829.0,152,132
248,751,0.08113730702,832.0,152,132
249,752,0.063567516628,832.0,152,132
250,753,0.13614716715,839.5,152,132
251,754,0.156696393221,838.5,152,132
252,755,0.0507510389279,838.5,152,132
253,756,0.212281012109,847.5,153,132
254,757,0.163972356521,848.5,153,132
255,758,0.0425244322585,849.5,153,132
256,759,0.0399122916818,852.5,153,132
257,760,0.154700755775,858.5,153,132
258,761,0.0976333565515,854.5,153,132
259,762,0.154283114635,846.5,152,132
260,763,0.173544743605,867.5,152,132
261,764,0.0630765549761,867.5,152,132
262,765,0.138945934292,856.5,153,132
263,766,0.13207829064,862.5,153,132
264,767,0.174618306603,862.0,153,132
265,768,0.0603569698601,863.0,153,132
266,769,0.135773505021,862.0,153,132
267,770,0.0968592353446,864.0,153,132
268,771,0.092777154713,864.0,153,132
269,772,0.0457306587539,865.0,153,132
270,773,0.094362778299,866.0,153,132
271,774,0.0158733777159,866.0,153,132
272,775,0.125060864847,866.5,153,132
273,776,0.0806985604741,868.0,153,132
274,777,0.0959043899982,869.5,153,132
275,778,0.13905098948,871.0,153,132
276,779,0.145691032133,873.0,153,132
277,780,0.0154002345416,875.0,153,132
278,781,0.0714551753416,872.5,153,132
279,782,0.103928695045,873.5,153,132
280,783,0.0683343994003,873.5,153,132
281,784,0.138003175573,872.5,153,132
282,785,0.190273874216,886.5,152,132
283,786,0.195018801613,886.0,152,132
284,787,0.168398727302,891.0,152,132
285,788,0.11298086118,891.0,152,132
286,789,0.208368373563,879.5,153,132
287,790,0.14741009519,881.0,153,132
288,791,0.154578557672,893.5,152,132
289,792,0.12137211487,893.5,152,132
290,793,0.289134988755,902.0,152,132
291,794,0.246377261665,901.5,152,132
292,795,0.209086795136,900.0,152,132
293,796,0.155799648547,900.0,152,132
294,797,0.210035892895,901.5,152,132
295,798,0.202343128794,902.5,152,132
296,799,0.153470620298,902.5,152,132
297,800,0.119930525829,904.0,152,132
298,801,0.10434435139,910.0,152,132
299,802,0.120527589784,910.0,152,132
300,803,0.0654908726759,910.0,152,132
301,804,0.233195031924,912.0,152,132
302,805,0.0881641174862,914.0,152,132
303,806,0.145168931155,909.5,153,132
304,807,0.134312220202,913.0,152,132
305,808,0.131890061932,910.0,152,132
306,809,0.164815044573,912.0,152,132
307,810,0.0729142997935,912.0,152,132
308,811,0.202146939002,920.0,152,132
309,812,0.119655771693,923.0,152,132
310,813,0.202756484086,921.0,152,132
311,814,0.151424961252,917.0,152,132
312,815,0.229058438722,919.0,152,132
313,816,0.181274506487,923.0,152,132
