,index,labDelta,area,center_x,center_y
0,377,0.106943815696,435.0,266,151
1,378,0.161037684675,430.0,265,151
2,379,0.124560123596,432.0,265,150
3,380,0.00367089062962,432.0,265,150
4,381,0.112256022157,431.5,265,150
5,382,0.0519067447176,430.5,265,150
6,383,0.0995792735052,430.5,264,150
7,384,0.0647986523225,430.5,264,150
8,385,0.0596276342154,430.5,264,150
9,386,0.0931888239108,427.5,264,150
10,387,0.12660637765,424.5,264,150
11,388,0.130353765264,423.0,263,150
12,389,0.13709730346,424.0,262,150
13,390,0.0753860386906,424.0,262,150
14,391,0.192017853495,422.5,262,150
15,392,0.15633877811,420.0,261,150
16,393,0.159859066899,417.5,261,150
17,394,0.0627553237276,417.5,261,150
18,395,0.173741268979,415.5,260,150
19,396,0.216195384088,413.5,260,150
20,397,0.209291716189,414.5,259,150
21,398,0.215424244741,414.5,259,150
22,399,0.0302072323015,414.5,259,150
23,400,0.210044657208,415.0,259,150
24,401,0.179101963362,416.5,258,150
25,402,0.204392421791,415.0,258,150
26,403,0.0396054955993,415.0,258,150
27,404,0.294025601205,417.5,257,150
28,405,0.0739493233878,417.5,257,150
29,406,0.15780547037,416.0,257,149
30,407,0.0929323426584,417.0,257,149
31,408,0.358733762789,419.0,258,149
32,409,0.19765638223,419.5,258,149
33,410,0.0604452413578,419.5,258,149
34,411,0.251759142191,419.5,258,149
35,412,0.240612652211,419.0,258,149
36,413,0.341061641662,418.0,257,149
37,414,0.30754697879,420.0,257,149
38,415,0.120992769164,420.0,257,149
39,416,0.293099622219,418.0,257,149
40,417,0.273167805478,418.5,257,149
41,418,0.208081542216,419.5,258,149
42,419,0.165832880609,418.5,258,149
43,420,0.138753815392,418.5,258,149
44,421,0.372288479096,416.5,258,149
45,422,0.444571991197,419.5,258,148
46,423,0.247532102211,419.5,258,148
47,424,0.496056456315,413.0,257,147
48,425,0.14853214325,414.0,257,147
49,426,0.414175205308,414.5,257,147
50,427,0.404750622378,415.0,258,147
51,428,0.212083745218,413.0,258,147
52,429,0.238394647548,413.0,258,147
53,430,0.349734254469,412.0,258,147
54,431,0.269418282355,414.0,258,147
55,432,0.0715874176298,414.0,258,147
56,433,0.245286007224,411.5,259,146
57,434,0.313600757837,410.5,259,146
58,435,0.456785351026,410.0,259,146
59,436,0.174464315778,410.0,259,146
60,437,0.266672010569,410.0,258,146
61,438,0.320158603464,411.5,258,146
62,439,0.211093884857,412.5,258,146
63,440,0.372722323568,413.0,259,146
64,441,0.262585005024,410.0,259,146
65,442,0.1896150138,408.0,259,146
66,443,0.172266011994,408.0,259,146
67,444,0.374461764012,413.5,259,147
68,445,0.376103059782,413.5,260,147
69,446,0.340674939045,416.5,260,147
70,447,0.129613056743,415.5,260,147
71,448,0.458613885358,420.0,262,147
72,449,0.402976804551,421.5,263,147
73,450,0.274738449299,426.5,263,147
74,451,0.281805064188,426.0,264,148
75,452,0.0208446844459,426.0,264,148
76,453,0.342884351204,431.5,265,148
77,454,0.311695699089,431.0,265,149
78,455,0.196645464503,432.0,265,149
