,index,labDelta,area,center_x,center_y
0,130,0.295697248157,36.0,168,94
1,131,0.208874283288,37.0,169,95
2,132,0.237380514114,36.5,169,95
3,133,0.208010537015,37.0,169,95
4,134,0.179683376914,37.0,169,95
5,135,0.197775426634,37.0,168,95
6,136,0.246993641636,37.5,168,94
7,137,0.310795705175,40.5,168,94
8,138,0.247076342822,41.5,168,94
9,139,0.335303122151,38.0,167,94
10,140,0.0860355381962,38.0,167,94
11,141,0.309106987558,35.5,166,94
12,142,0.347037090937,37.5,164,95
13,143,0.018263117368,37.5,164,95
14,144,0.316478870954,39.5,163,95
15,145,0.315359615575,39.0,164,94
16,146,0.320322186468,35.5,163,94
17,147,0.102348467786,35.5,163,94
18,148,0.30002720698,38.0,163,94
19,149,0.364864129373,39.0,163,93
20,150,0.247087260513,40.5,163,92
21,151,0.177777537588,38.5,163,91
22,152,0.137341556774,41.0,164,91
23,153,0.00177756912539,41.0,164,91
24,154,0.0692357613054,38.5,163,91
25,155,0.17347612159,40.5,162,91
26,156,0.236386689333,40.5,162,92
27,157,0.00620757610472,40.5,162,92
28,158,0.332517974615,41.0,161,92
29,159,0.485812461046,40.0,161,94
30,160,0.475629194695,39.0,161,93
31,161,0.312752157901,43.5,163,90
32,162,0.0412296581777,43.5,163,90
33,163,0.18835190841,40.5,164,87
34,164,0.181416783114,42.5,165,85
35,165,0.132893222238,44.0,164,84
36,166,0.141564249453,42.0,164,84
37,167,0.10180722208,43.0,163,84
38,168,0.158666763857,41.5,163,86
39,169,0.0407960291582,41.5,163,86
40,170,0.240111932826,40.5,162,86
41,171,0.149009465056,43.0,162,87
42,172,0.144403417419,42.0,162,88
43,173,0.153425959963,41.0,162,88
44,174,0.242027897866,44.0,161,88
45,175,0.33551362633,43.5,160,88
46,176,0.00446468179695,43.5,160,88
47,177,0.32354964688,39.5,160,88
48,178,0.289873486717,38.0,160,88
49,179,0.352621999092,43.0,160,89
50,180,0.397970988817,40.0,161,89
51,181,0.0356295548816,40.0,161,89
52,182,0.213783701134,38.5,161,89
53,183,0.0524241923357,37.5,161,89
54,184,0.0238725376877,37.5,161,89
55,185,0.142106993392,41.0,161,89
56,186,0.126254718764,37.5,161,89
57,187,0.317138204281,42.5,161,90
58,188,0.0288324655041,42.5,161,90
59,189,0.229945578516,41.5,162,91
60,190,0.306210725287,41.0,162,91
61,191,0.279147851068,39.0,162,92
62,192,0.297805921775,40.0,162,92
63,193,0.152049418408,40.0,162,92
64,194,0.317897411535,39.0,162,92
65,195,0.33902170547,43.0,162,92
66,196,0.283299766864,43.0,161,92
67,197,0.316420082743,38.5,161,92
68,198,0.405217753358,41.0,161,92
69,199,0.257034025779,40.5,161,92
70,200,0.239369626275,42.0,162,92
71,201,0.205190224921,42.0,162,92
72,202,0.372029790257,42.5,163,92
73,203,0.36158306058,41.0,163,92
74,204,0.213408598583,40.0,164,93
75,205,0.227115854223,36.5,164,92
76,206,0.292385728088,40.5,164,92
77,207,0.278344199084,39.5,165,92
78,208,0.284227514953,41.0,165,92
79,209,0.195107434454,41.0,165,92
80,210,0.0561825060842,41.0,165,92
81,211,0.221118050528,40.5,165,92
82,212,0.260006446436,44.5,164,92
83,213,0.336300233206,40.0,164,93
84,214,0.153468585312,39.5,164,93
85,215,0.293320509,39.0,164,94
86,216,0.327777839255,37.0,164,94
87,217,0.0186285310081,37.5,164,93
88,218,0.256912102243,39.0,164,94
89,219,0.258449101,36.0,164,93
90,220,0.309276653897,40.5,164,93
91,221,0.241803086009,40.0,164,94
92,222,0.263782232744,41.5,163,93
93,223,0.00179669873285,41.5,163,93
94,224,0.310835134856,40.0,164,94
95,225,0.185183132475,37.5,164,94
96,226,0.169172344419,37.0,164,94
97,227,0.31066461718,40.0,164,93
98,228,0.000868187290865,40.0,164,93
99,229,0.103282788992,40.0,164,93
100,230,0.278725592384,41.0,164,93
101,231,0.201004349464,41.5,164,93
102,232,0.221406812161,42.5,164,93
103,233,0.257511757666,40.5,163,93
104,234,0.197932811807,40.0,163,93
105,235,0.358711162773,41.5,163,93
106,236,0.466358627196,43.0,162,93
107,237,0.146321535607,43.0,162,93
108,238,0.38822108336,40.0,162,93
109,239,0.269093531366,40.0,162,93
110,240,0.001558362458,40.5,162,93
111,241,0.318010477084,40.0,162,93
112,242,0.141784881247,40.5,162,93
113,243,0.341099151787,40.0,162,93
114,244,0.251632370581,40.0,162,93
115,245,0.142559224819,40.0,162,93
116,246,0.403209570494,41.5,162,93
117,247,0.464944244612,41.5,163,93
118,248,0.399832524411,40.5,163,93
119,249,0.00143346619734,40.0,163,93
120,250,0.137200391722,40.5,163,93
121,251,0.226008818159,40.0,163,93
122,252,0.196057962392,40.0,163,93
123,253,0.124457319821,40.0,163,93
124,254,0.225643727248,41.5,163,93
125,255,0.234248683649,42.0,163,93
126,256,0.298509579021,37.5,165,96
127,257,0.299546882779,39.5,167,97
128,258,0.000730324806671,39.5,167,97
129,259,0.382588600401,38.5,169,99
130,260,0.217867069024,37.0,172,101
131,261,0.377526246457,35.5,178,104
132,262,0.401777298532,34.5,180,106
133,263,0.0290938470733,34.5,180,106
134,264,0.134018797098,33.5,183,107
135,265,0.149803103044,34.0,185,108
136,266,0.263245220932,26.5,188,108
137,267,0.00093032975055,30.0,189,108
138,268,6.09930360433e-05,33.0,189,108
139,269,0.000975007851015,27.5,189,106
140,270,0.00746242985798,34.5,188,106
141,661,0.0,37.5,240,104
142,662,0.202936922422,38.5,240,104
143,663,0.206268827712,38.0,240,104
144,664,0.18743597833,38.0,240,104
145,665,0.154394722746,38.0,240,104
146,666,0.10457597868,38.0,240,104
147,667,0.196419302749,37.0,240,104
148,668,0.0850577213495,37.5,240,104
149,669,0.253726292471,37.0,240,104
150,670,0.0489471766862,37.0,240,104
151,671,0.190015325986,35.5,240,103
152,672,0.134017370711,36.0,240,103
153,673,0.148978641841,37.5,240,103
154,674,0.073523584929,37.5,240,103
155,675,0.00318230760369,37.5,240,103
156,676,0.144809469445,37.5,240,103
157,677,0.207197648221,38.5,240,103
158,678,0.220650255249,38.5,240,103
159,679,0.219610316081,37.0,240,103
160,680,0.0969521697315,37.0,240,103
161,681,0.104060923539,37.0,240,103
162,682,0.0798133057139,38.5,240,103
163,683,0.0979348565828,37.0,240,103
164,684,0.103825811351,37.0,240,103
165,685,0.0119601709104,37.0,240,103
166,686,0.124466805043,37.0,240,103
167,687,0.197758293391,37.0,240,103
168,688,0.197005970373,37.0,240,103
169,689,0.131947000095,37.0,240,103
170,690,0.235345965464,38.0,241,103
171,691,0.070013312518,38.0,241,103
172,692,0.164265170863,38.0,241,103
173,693,0.117578516119,38.0,241,103
174,694,0.270975193783,39.5,241,102
175,695,0.00143102549595,38.5,241,102
176,696,0.113565192476,38.5,241,102
177,697,0.177929348692,37.5,241,102
178,698,0.113469000726,38.5,241,102
179,699,0.193118567722,37.0,241,102
180,700,0.18588913734,38.0,241,102
181,701,0.245679619512,37.5,241,102
182,702,0.174565879302,38.0,241,103
183,703,0.144182353324,37.0,241,103
184,704,0.00214930688745,37.0,241,103
185,705,0.19280944895,37.5,241,102
186,706,0.193534165085,37.5,241,102
187,707,0.13585785662,37.5,241,102
188,708,0.193659284165,36.5,241,102
189,709,0.142093575784,37.5,241,102
190,710,0.0356244989128,37.5,241,102
191,711,0.102817617861,37.0,241,103
192,712,0.0894458961774,37.5,241,102
193,713,0.284446650659,37.0,241,103
194,714,0.240774166717,37.5,241,102
195,715,0.115536611027,37.5,241,102
196,716,0.198496216727,38.5,241,102
197,717,0.222855948321,38.0,241,102
198,718,0.196178054511,38.0,241,102
199,719,0.0062783553633,38.0,241,102
200,720,0.0965763712991,39.0,241,102
201,721,0.195421045498,37.0,241,102
202,722,0.248323790424,39.0,241,102
203,723,0.169742765589,39.0,241,102
204,724,0.206630774577,39.0,241,102
205,725,0.246346805341,39.0,241,102
206,726,0.00357310275249,39.0,241,102
207,727,0.163297793295,40.0,241,102
208,728,0.197721466698,38.0,241,102
209,729,0.137398348374,39.0,241,102
210,730,0.121511887889,39.0,241,102
211,731,0.0707241170666,39.0,241,102
212,732,0.208771561575,40.0,241,102
213,733,0.236378632713,39.0,241,102
214,734,0.0551825943331,39.0,241,102
215,735,0.0895487328072,39.0,241,102
216,736,0.184444292302,39.0,241,102
217,737,0.148337716207,40.0,241,102
218,738,0.212504167939,39.0,241,102
219,739,0.280737513057,37.5,241,102
220,740,0.147830894531,37.0,241,102
221,741,0.000603719445231,37.0,241,102
222,742,0.238498198378,40.0,241,102
223,743,0.254015162921,39.5,241,102
224,744,0.252643823599,38.0,241,102
225,745,0.0887932927623,38.0,241,102
226,746,0.238776080914,39.5,241,102
227,747,0.219652658102,39.0,241,102
228,748,0.094703896426,39.0,241,102
229,749,0.186272571877,37.0,241,102
230,750,0.228910387923,37.0,241,102
231,751,0.1562151366,37.0,241,102
232,752,0.0605576794141,37.0,241,102
233,753,0.156961660417,37.0,241,102
234,754,0.105797338197,37.0,241,102
235,755,0.0327189149377,37.0,241,102
236,756,0.142827428766,37.0,241,102
237,757,0.109616476901,37.0,241,102
238,758,0.208184716387,37.0,241,102
239,759,0.237547363834,37.0,241,102
240,760,0.223028706195,37.0,241,102
241,761,0.165991257289,37.5,241,102
242,762,0.193734465618,37.0,241,102
243,763,0.208605974483,37.0,241,102
244,764,0.266535982531,37.0,241,102
245,765,0.00210777187974,37.0,241,102
246,766,0.216520608565,37.0,241,102
247,767,0.214728009283,37.0,241,102
248,768,0.230404514194,37.0,241,102
249,769,0.185290470024,37.0,241,101
250,770,0.171903098724,38.0,241,101
251,771,0.00350287952423,38.0,241,101
252,772,0.189497181245,39.5,241,101
253,773,0.178813832959,40.0,241,101
254,774,0.0336855658158,40.0,241,101
255,775,0.140304683751,39.5,242,101
256,776,0.182406269392,39.5,242,101
257,777,0.290685817484,39.0,242,101
258,778,0.0472314718116,39.0,242,101
259,779,0.207103541609,40.0,242,101
260,780,0.20826725654,39.0,242,101
261,781,0.279900874373,37.0,242,101
262,782,0.288549019569,36.5,242,101
263,783,0.162630736636,37.5,242,101
264,784,0.0217457264678,37.5,242,101
265,785,0.168613267576,39.0,242,101
266,786,0.181364884093,37.5,242,101
267,787,0.19703860463,37.5,242,101
268,788,0.299927874354,37.0,242,101
269,789,0.12662754143,39.0,242,101
270,790,0.0577813290237,39.0,242,101
271,791,0.125110468827,41.0,242,101
272,792,0.0790269256966,39.0,242,101
273,793,0.10543132723,37.0,242,101
274,794,0.10668342283,37.0,242,101
275,795,0.0492323545777,37.0,242,101
276,796,0.105454886173,37.0,242,101
277,797,0.103637817749,37.0,242,101
278,798,0.0416776970441,37.0,242,101
279,799,0.119488762688,37.0,242,101
280,800,0.0530417765203,37.0,242,101
281,801,0.172165608152,38.5,242,101
282,802,0.00867919755073,38.5,242,101
283,803,0.222444316716,38.5,242,101
284,804,0.229851830891,40.0,242,100
285,805,0.0566216636242,41.0,242,100
286,806,0.0881270195506,39.0,242,100
287,807,0.0768684058664,40.0,242,100
288,808,0.0792625959551,40.0,242,100
289,809,0.00897509049824,40.0,242,100
290,810,0.225646029127,40.0,242,100
291,811,0.251844943312,40.5,242,100
292,812,0.2812887542,40.0,242,100
293,813,0.0820346844198,39.0,242,100
294,814,0.00654184493731,38.0,242,100
295,815,0.0992487120566,39.5,242,100
296,816,0.0860328331719,38.0,242,100
297,817,0.132360619458,40.0,242,100
298,818,0.191243859887,40.0,242,100
299,819,0.142358787166,40.0,242,100
300,820,0.180349548246,41.5,242,100
301,821,0.122859188609,40.0,242,100
302,822,0.113291709785,39.5,242,100
303,823,0.0430993655591,39.5,242,100
304,824,0.118427664518,40.0,242,100
305,825,0.0868326392385,40.5,242,100
306,826,0.00336334711058,40.5,242,100
307,827,0.0569883839423,40.5,242,100
308,828,0.087569042024,41.0,242,100
309,829,0.146536249008,41.5,243,100
310,830,0.0994760792733,41.5,243,100
311,831,0.0683037048667,41.5,243,100
312,832,0.0409132511568,41.5,243,100
313,833,0.0236337051855,41.5,243,100
314,834,0.0945789579586,40.0,243,100
315,835,0.0923819360256,40.5,243,100
316,836,0.0861502315427,41.0,243,100
