,index,labDelta,area,center_x,center_y
0,259,0.00122416223914,556.0,150,166
1,260,0.311968272478,550.5,149,166
2,261,0.472869488269,551.0,149,167
3,262,0.494834561506,556.5,150,167
4,263,0.394588022637,548.5,150,167
5,264,0.188439521926,548.5,150,167
6,265,0.257952975029,549.5,150,167
7,266,0.471866765218,553.5,150,167
8,267,0.33576974461,555.5,150,167
9,268,0.237500410342,554.5,150,166
10,269,0.199702521985,552.5,150,166
11,270,0.373046123995,549.0,150,166
12,271,0.467217609157,552.0,151,167
13,272,0.127525402574,552.0,151,167
14,273,0.163568272101,554.0,151,167
15,274,0.238947461555,556.0,151,167
16,275,0.272533635276,553.0,151,167
17,276,0.234139813148,552.0,151,167
18,277,0.280888720846,548.5,150,167
19,278,0.275354148961,548.5,150,167
20,279,0.482984730396,550.0,151,167
21,280,0.179478179002,550.0,151,167
22,281,0.332798161584,550.0,151,167
23,282,0.446681432755,551.0,151,167
24,283,0.402461244782,552.5,151,167
25,284,0.14057074068,552.5,151,167
26,285,0.39864893012,558.0,151,167
27,286,0.261389474403,555.0,151,167
28,287,0.239240448346,555.0,151,167
29,288,0.353241863779,553.0,151,167
30,289,0.324236998145,553.0,151,167
31,290,0.301770618286,555.0,151,167
32,291,0.429127341578,554.0,151,166
33,292,0.237424279321,552.0,151,166
34,293,0.612446279278,556.5,151,166
35,294,0.234973699846,556.5,151,166
36,295,0.239948123744,551.5,151,166
37,296,0.597679171199,547.5,151,167
38,297,0.324816985792,548.5,151,167
39,298,0.177824541515,549.0,151,167
40,299,0.153227713027,549.0,151,167
41,300,0.312796593779,553.5,151,166
42,301,0.45139687005,549.5,151,166
43,302,0.327054807858,546.5,151,166
44,303,0.495538937235,548.5,151,167
45,304,0.435795213729,552.0,151,167
46,305,0.362054106847,549.5,151,166
47,306,0.124639271319,549.5,151,166
48,307,0.443159225438,551.5,151,166
49,308,0.376291151344,555.5,151,166
50,309,0.232009193362,556.0,151,166
51,310,0.387646460135,553.5,151,166
52,311,0.51280884114,550.5,151,166
53,312,0.420830978673,548.5,151,166
54,313,0.00934104285457,548.5,151,166
55,314,0.287916396577,546.5,151,166
56,315,0.345190846655,549.5,151,166
57,316,0.307777779645,551.0,151,166
58,317,0.554115713686,546.5,151,166
59,318,0.642821957313,551.5,151,167
60,319,0.225521613471,551.5,151,167
61,320,0.546412070573,556.0,151,166
62,321,0.341690015617,554.5,151,166
63,322,0.468967261945,550.5,151,166
64,323,0.467077029916,547.5,151,166
65,324,0.185480781924,546.5,151,166
66,325,0.354401920978,552.0,151,167
67,326,0.310323175544,547.5,151,167
68,327,0.34981390415,547.5,151,166
69,328,0.363068680401,545.0,152,166
70,329,0.198594628019,544.0,151,166
71,330,0.258697169609,544.0,151,166
72,331,0.23045967937,545.5,151,166
73,332,0.411998152756,548.5,151,166
74,333,0.365611885559,544.5,151,166
75,334,0.328734601514,542.5,152,166
76,335,0.196356220175,542.5,152,166
77,336,0.272310635796,545.5,152,166
78,337,0.297034216477,547.0,152,166
79,338,0.125303141672,552.0,152,167
80,339,0.345853821797,550.5,152,166
81,340,0.385314477517,545.0,152,166
82,341,0.234271920656,544.0,152,166
83,342,0.674181140602,552.5,152,166
84,343,0.264266290262,552.5,152,166
85,344,0.370241810089,549.0,152,166
86,345,0.388788167842,547.5,152,166
87,346,0.353190428042,548.5,152,166
88,347,0.199482534354,548.0,152,166
89,348,0.236386767442,548.0,152,166
90,349,0.128478870967,547.5,152,166
91,350,0.336760137669,546.0,152,166
92,351,0.0921065803924,548.0,152,166
93,352,0.226738657127,548.0,152,166
94,353,0.0437037294843,548.0,152,166
95,354,0.131794560518,548.5,152,166
96,355,0.270253264304,542.0,152,166
97,356,0.141426786486,545.0,152,166
98,357,0.0343086839139,545.0,152,166
99,358,0.242742272128,545.5,152,166
100,359,0.219993820104,543.0,152,166
101,360,0.131512144802,543.5,152,166
102,361,0.00190734600977,543.5,152,166
103,362,0.0841797850233,541.5,152,166
104,363,0.113794309514,542.0,152,166
105,364,0.00513078826569,542.0,152,166
106,365,0.224279653536,541.5,152,166
107,366,0.0808671273152,542.5,152,166
108,367,0.100572872139,542.5,152,166
109,368,0.350652597473,542.5,152,166
110,369,0.0905193008358,542.0,152,166
111,370,0.247007759038,544.0,152,166
112,371,0.188699343551,547.5,152,166
113,372,0.418897839922,548.0,152,166
114,373,0.163530248649,549.0,152,166
115,374,0.441311241198,546.0,152,166
116,375,0.349881231693,546.0,152,166
117,376,0.445081865357,544.0,152,166
118,377,0.194035876769,543.0,152,166
119,378,0.514122396966,540.5,152,166
120,379,0.457433472133,542.5,152,166
121,380,0.0223607195209,542.5,152,166
122,381,0.18557935838,543.0,152,166
123,382,0.443446659802,545.5,152,166
124,383,0.497282980546,550.0,152,166
125,384,0.54213623331,545.0,152,166
126,385,0.0139607957546,545.0,152,166
127,386,0.21619697338,543.5,152,166
128,387,0.35845245212,542.0,152,166
129,388,0.288333101339,543.0,152,166
130,389,0.358824409473,543.0,152,166
131,390,0.112857272374,544.0,152,166
132,391,0.26704416873,544.0,152,166
133,392,0.166416056,544.0,152,166
134,393,0.347660349454,545.5,152,166
135,394,0.296937377168,543.0,152,166
136,395,0.0335257089703,543.0,152,166
137,396,0.268032157256,544.0,153,166
138,397,0.0944193864525,543.0,153,166
