,index,labDelta,area,center_x,center_y
0,365,0.193537910896,34.5,191,103
1,366,0.170411515767,32.0,191,103
2,367,0.231467032652,30.5,191,103
3,368,0.0100036274761,32.0,191,103
4,369,0.138906851286,31.5,190,103
5,370,0.183610590598,33.0,190,103
6,371,0.0416269927676,32.0,191,103
7,372,0.222727525076,33.5,191,103
8,373,0.134098900118,34.5,191,103
9,374,0.225535476191,38.5,191,103
10,375,0.212282245429,35.5,191,103
11,376,0.181516544268,34.0,190,103
12,377,0.203512608949,37.5,190,103
13,378,0.206953956773,36.0,190,103
14,379,0.0398801777193,36.0,190,103
15,380,0.205778220414,35.0,190,103
16,381,0.19714377164,32.0,191,103
17,382,0.199876340169,36.0,191,103
18,383,0.170128184504,35.0,191,103
19,384,0.167449950962,37.0,190,103
20,385,0.0461621454482,38.0,191,103
21,386,0.164038383583,38.0,190,103
22,387,0.157267467141,33.5,191,103
23,388,0.191235877735,38.0,190,103
24,389,0.182019025517,36.5,191,103
25,390,0.0574084872633,36.5,191,103
26,391,0.226637079067,40.0,190,103
27,392,0.151397752259,38.5,190,103
28,393,0.170845209589,40.5,191,103
29,394,0.202121442878,40.0,191,103
30,395,0.0743813991688,39.0,191,103
31,396,0.18513131447,42.0,191,103
32,397,0.196533385787,43.0,191,103
33,398,0.207041779239,44.0,191,103
34,399,0.0744436065401,43.5,191,103
35,400,0.185816394763,43.5,191,103
36,401,0.179878598455,38.5,191,103
37,402,0.0406284975278,38.5,191,103
38,403,0.177408954384,41.0,191,103
39,404,0.113256819586,43.5,191,103
40,405,0.157027940234,43.0,191,103
41,406,0.00329365456668,43.0,191,103
42,407,0.146627616906,45.5,191,103
43,408,0.127886417974,41.5,191,103
44,409,0.12758935427,43.5,191,103
45,410,0.149067317545,46.5,191,103
46,411,0.161608703904,48.0,190,103
47,412,0.156387151891,47.5,191,103
48,413,0.179577312809,49.0,190,103
49,414,0.0237083668721,47.5,190,103
50,415,0.184866883147,43.0,191,103
51,416,0.120423221783,44.5,191,103
52,417,0.206711220751,46.5,191,103
53,418,0.197862302874,45.0,191,103
54,419,0.0252823632986,45.0,191,103
55,420,0.157765119329,50.5,190,103
56,421,0.114647897822,49.5,190,103
57,422,0.179307922639,50.0,190,103
58,423,0.18556899789,47.0,191,103
59,424,0.202068405762,54.0,190,103
60,425,0.00767848926636,54.0,190,103
61,426,0.126032146402,53.0,190,103
62,427,0.125589131979,52.0,191,103
63,428,0.120370140281,52.0,191,103
64,429,0.127386395938,54.0,190,103
65,430,0.0600626263809,54.0,190,103
66,431,0.133606184481,52.0,190,103
67,432,0.155436187715,49.5,191,103
68,433,0.191961760242,51.5,191,103
69,434,0.0300367184645,51.5,191,103
70,435,0.135699000101,48.5,191,103
71,436,0.168090432584,52.0,190,103
72,437,0.205752316814,49.0,190,103
73,438,0.138806648923,50.0,191,103
74,439,0.186747176606,52.0,190,103
75,440,0.0299153663413,53.0,190,103
76,441,0.186920244641,51.0,191,103
77,442,0.170821000469,52.5,190,103
