,index,labDelta,area,center_x,center_y
0,305,0.0675450035775,296.0,169,123
1,306,0.216647763039,298.5,168,123
2,307,0.176403134428,303.0,168,123
3,308,0.184691913516,305.0,168,123
4,309,0.215323327031,303.5,168,123
5,310,0.24918766287,302.0,168,123
6,311,0.13457932358,303.5,169,123
7,312,0.161894972942,303.0,168,123
8,313,0.190852993031,303.5,168,123
9,314,0.212535116471,308.0,168,123
10,315,0.0344609589843,308.0,168,123
11,316,0.199198707192,307.0,168,123
12,317,0.257983986709,307.5,168,123
13,318,0.295595516645,304.5,169,124
14,319,0.143821196552,303.5,169,123
15,320,0.00646296132769,303.5,169,123
16,321,0.240753662289,308.5,169,123
17,322,0.209289962144,307.0,168,123
18,323,0.0893360071406,311.5,168,123
19,324,0.135942942842,313.0,168,123
20,325,0.155306298433,313.0,168,123
21,326,0.125179886372,310.5,168,123
22,327,0.137760582053,313.5,168,123
23,328,0.112629348168,310.5,168,123
24,329,0.108827141599,313.0,169,123
25,330,0.220468368751,315.0,169,123
26,331,0.265111767763,311.0,169,123
27,332,0.0286031786962,311.0,169,123
28,333,0.230431953022,313.0,169,123
29,334,0.176481274158,314.0,168,123
30,335,0.20392417269,317.0,168,123
31,336,0.232870659571,318.0,168,123
32,337,0.168248953542,316.0,169,124
33,338,0.355727262701,313.0,169,124
34,339,0.265111943642,314.0,169,123
35,340,0.314728303966,315.5,169,123
36,341,0.140352270609,316.5,168,123
37,342,0.0984266514936,318.0,168,123
38,343,0.0103137119073,318.0,168,123
39,344,0.0909802675989,321.5,168,123
40,345,0.190185538022,320.0,168,123
41,346,0.259419176731,322.5,168,123
42,347,0.246560721847,323.0,168,123
43,348,0.219029121622,326.0,168,122
44,349,0.213332736432,320.5,168,123
45,350,0.29182748927,325.0,168,123
46,351,0.161496288219,324.5,168,123
47,352,0.240689572039,323.5,168,123
48,353,0.146715883415,321.5,168,123
49,354,0.253552725479,324.5,168,123
50,355,0.282705928121,327.0,168,123
51,356,0.0844309216881,326.0,168,123
52,357,0.219432902942,324.5,169,123
53,358,0.194091074851,323.0,169,123
54,359,0.21003341503,326.0,169,123
55,360,0.00796675032789,326.0,169,123
56,361,0.140408219424,324.5,169,123
57,362,0.286693756097,328.0,168,123
58,363,0.194238490446,333.5,168,123
59,364,0.156384295981,330.5,168,123
60,365,0.134251065302,330.5,168,123
61,366,0.00399793249216,330.5,168,123
62,367,0.0755284333713,333.5,168,123
63,368,0.218541727265,334.0,168,123
64,369,0.209236694662,332.5,168,123
65,370,0.210401548694,331.5,168,123
66,371,0.198853921212,331.5,168,123
67,372,0.331578010415,330.0,168,123
68,373,0.0579713838765,331.0,168,123
69,374,0.0433688148911,328.5,168,123
70,375,0.0365694943072,329.0,168,123
71,376,0.114178023357,328.5,168,123
72,560,0.112457209212,29.5,194,171
73,561,0.0139074156125,29.5,194,171
74,562,0.136674420865,31.0,194,171
75,563,0.152856303674,31.5,194,170
76,564,0.126408750034,34.0,194,170
77,565,0.0591057104482,34.0,194,170
78,566,0.136231767377,30.0,194,170
79,567,0.0505255038734,30.0,194,170
80,568,0.149922752352,34.5,194,170
81,569,0.128907311387,32.0,195,170
82,570,0.138456858014,33.0,194,169
83,571,0.128898828356,34.0,195,169
84,572,0.180147373007,33.0,193,170
85,573,0.0705645450871,34.0,194,170
86,574,0.0898888391347,34.5,194,170
87,575,0.17696164568,34.0,195,170
88,576,0.027888223018,34.0,195,170
89,577,0.0935797689797,35.0,195,170
90,578,0.121901124645,33.0,195,170
91,579,0.0115893483342,35.0,195,169
92,580,0.195542531424,33.5,194,171
93,581,0.148411830675,36.5,194,171
94,582,0.100417957335,36.5,194,171
95,583,0.110422796931,36.0,194,171
96,584,0.171296212448,36.0,194,170
97,585,0.139966372535,38.0,194,170
98,586,0.00197602191787,38.0,194,170
99,587,0.109693356851,37.0,194,170
100,588,0.162852787281,36.0,194,171
101,589,0.137862477309,36.0,195,170
102,590,0.151025286024,37.0,194,169
103,591,0.121777248858,38.5,194,169
104,592,0.0972482021142,37.5,194,169
105,593,0.15235963946,36.0,194,169
106,594,0.175622075318,40.0,194,170
107,595,0.148615546849,39.5,194,170
108,596,0.114690659459,38.5,194,170
109,597,0.0584137082742,38.5,194,170
110,598,0.135823831871,37.5,195,170
111,599,0.116069745369,38.5,195,170
112,600,0.112511135067,36.0,194,170
113,601,0.112597110988,40.0,194,170
114,602,0.15545510917,39.0,194,171
115,603,0.118036256752,39.0,194,171
116,604,0.0999403121591,40.5,194,171
117,605,0.144205755052,40.5,194,170
118,606,0.147466050499,41.0,194,170
119,607,0.0217169974532,41.0,194,170
120,608,0.150158131151,39.5,194,170
121,609,0.114134263322,41.5,195,170
122,610,0.105175238274,40.0,195,170
123,611,7.92837994963e-05,40.0,195,170
124,612,0.146960862056,41.5,194,170
125,613,0.159779138277,42.0,193,170
126,614,0.226359970645,42.5,193,170
127,615,0.207495461986,43.0,193,170
128,616,0.233134208606,42.5,194,170
129,617,0.000696232128756,42.5,194,170
130,618,0.1903685415,41.5,194,170
131,619,0.13000236249,43.0,194,170
132,620,0.0781404976765,43.0,194,170
133,621,0.177422047613,43.5,194,170
134,622,0.141553232644,45.0,194,171
135,623,0.0759106433382,45.0,194,171
136,624,0.16453978037,46.0,194,171
137,625,0.156662556463,45.0,194,171
138,626,0.147649018622,46.5,194,170
139,627,0.188818989948,46.0,193,170
140,628,0.167892719678,46.0,194,170
141,629,0.200014634449,44.5,194,170
142,630,0.154446593124,46.0,194,170
143,631,0.134979615926,48.5,195,169
144,632,0.190447124569,48.5,194,170
145,633,0.204495396814,47.0,193,170
146,634,0.336894734964,45.5,193,170
147,635,0.183571905444,46.0,193,170
148,636,0.284620261976,48.5,193,170
149,637,0.220888364274,48.0,194,170
150,638,0.001462907136,48.0,194,170
151,639,0.172072185098,46.5,194,170
152,640,0.220118958224,48.0,194,170
153,641,0.106401461636,46.5,194,170
154,642,0.201751909386,49.5,194,170
155,643,0.154459625555,49.5,194,171
156,644,0.140889785338,50.5,194,171
157,645,0.131112956394,51.0,194,170
158,646,0.131277518705,51.0,194,170
159,647,0.17804352758,50.0,194,170
160,648,0.0109132506896,50.0,194,170
161,649,0.240988764184,48.5,194,170
162,650,0.199244990071,49.5,194,170
163,651,0.158786981695,53.0,194,169
164,652,0.216640891594,53.5,194,170
165,653,0.312885706178,51.0,193,170
166,654,0.146737595366,51.0,193,170
167,655,0.28595590667,52.0,193,170
168,656,0.288531110355,54.0,194,170
169,657,0.202341540697,54.0,194,170
170,658,0.185877870126,51.5,194,170
171,659,0.185976092857,51.5,194,170
172,660,0.108022096098,53.5,194,170
173,661,0.173017610537,54.0,194,171
174,662,0.158019264627,56.0,194,171
175,663,0.202390588727,53.5,194,171
176,664,0.207055180569,58.0,194,171
177,665,0.217931250381,54.5,194,171
178,666,0.304166275359,55.5,194,171
179,667,0.13458176134,55.5,194,171
180,668,0.123527407629,58.5,194,170
181,669,0.238222806306,57.0,194,170
182,670,0.152049788263,57.5,194,170
183,671,0.258676224803,53.5,194,170
184,672,0.0241090985855,54.0,194,170
185,673,0.2311089801,55.0,194,170
186,674,0.183943032104,55.0,194,170
187,675,0.22752548308,58.5,194,170
188,676,0.178560331204,59.5,194,170
189,677,0.105032985348,57.5,194,170
190,678,0.0894195782404,58.5,194,170
191,679,0.0654708917654,58.5,194,170
192,680,0.178967356757,61.5,194,170
193,681,0.192605937315,60.0,194,171
194,682,0.0277250734253,60.0,194,171
195,683,0.212311836579,57.0,194,170
196,684,0.0926593420056,57.5,195,170
197,685,0.0622796699249,58.5,195,170
198,686,0.0637996128925,59.5,195,170
199,687,0.00031324903323,59.5,195,170
200,688,0.133033523918,57.5,194,171
201,689,0.126912733919,62.5,194,171
202,690,0.141433277233,63.0,194,170
203,691,0.121778324746,63.5,194,170
204,692,0.204438427589,62.5,194,170
205,693,0.151835954639,62.5,194,170
206,694,0.13903987876,61.0,194,170
207,695,0.105269173438,62.0,194,170
208,696,0.111760589559,65.0,194,170
209,697,0.124795102533,64.0,194,170
210,698,0.0788775582492,63.0,194,170
211,699,0.11185076397,64.0,194,170
212,700,0.0780594339145,66.0,194,170
213,701,0.222019080844,64.0,194,170
214,702,0.208740534455,64.0,194,170
215,703,0.153664336098,65.5,194,170
216,704,0.138859861499,67.5,194,170
217,705,0.0700470943337,65.5,194,170
218,706,0.149941846783,66.0,194,170
219,707,0.0203516034079,66.5,194,170
220,708,0.186687935393,65.0,194,170
221,709,0.230880415312,65.5,194,170
222,710,0.114725263005,67.5,194,170
223,711,0.237920128675,49.0,195,170
224,712,0.00134426474668,43.0,195,169
225,713,0.000435214032387,44.5,195,170
226,714,0.0560959804699,48.0,194,170
227,715,0.000142646438694,54.0,194,170
228,1048,0.277863624325,17.0,198,111
229,1049,0.00419214965069,18.0,198,112
230,1050,0.0108497377765,17.0,198,111
231,1051,0.00589396149636,18.0,198,112
232,1052,0.223512331788,19.5,198,112
233,1053,0.107546151824,18.0,199,112
234,1054,0.00576108705811,19.0,199,112
235,1055,0.037008979213,19.5,199,112
236,1056,0.0371328598261,19.5,198,112
237,1057,0.120609344211,20.0,198,112
238,1058,0.120961997677,20.5,198,112
239,1059,0.0,20.5,198,112
240,1060,0.119279451064,18.5,198,112
241,1061,0.295364058645,19.5,198,111
242,1062,0.202237306672,17.5,198,111
243,1063,0.0908778687283,20.0,198,111
244,1064,0.0244606815192,18.0,198,112
