,index,labDelta,area,center_x,center_y
0,319,4.66204518043e-06,903.5,215,200
1,320,0.211332989006,929.5,215,199
2,321,0.199745052771,929.5,215,199
3,322,0.356571211662,928.5,215,198
4,323,0.00541801679407,928.5,215,198
5,324,0.259114424362,915.5,215,197
6,325,0.142223322793,915.5,215,197
7,326,0.232530652636,925.0,215,197
8,327,0.224554996417,925.0,215,197
9,328,0.295487350066,917.0,214,196
10,329,0.146506865241,917.0,214,196
11,330,0.000310470881819,917.0,214,196
12,331,0.418119413424,888.0,214,194
13,332,0.336519149434,868.5,215,193
14,333,0.195033783774,868.5,215,193
15,334,0.524298476484,835.5,216,189
16,335,0.139811461905,835.5,216,189
17,336,0.497970522599,845.5,218,186
18,337,0.28690335139,822.5,219,186
19,338,0.111044980172,822.5,219,186
20,339,0.199696721197,818.5,221,185
21,340,0.232923167989,830.5,221,186
22,341,0.0471902934412,830.5,221,186
23,342,0.27039934644,833.5,221,186
24,343,0.10538385382,837.5,221,186
25,344,0.0585031249157,837.5,221,186
26,345,0.126488729632,836.0,220,186
27,346,0.0490321382672,836.0,220,186
28,347,0.00154497508666,836.0,220,186
29,348,0.157634387453,831.0,220,186
30,349,0.584397579826,839.0,219,186
31,350,0.14574554446,839.0,219,186
32,351,0.401325364855,822.0,218,186
33,352,0.280935388709,822.0,218,186
34,353,0.488419693006,811.5,217,185
35,354,0.276551452879,811.5,217,185
36,355,0.361856418808,810.0,217,185
37,356,0.151226342124,810.0,217,185
38,357,0.263612091897,808.5,217,185
39,358,0.317727755461,807.0,217,185
40,359,0.165642224795,807.0,217,185
41,360,0.397074699604,812.0,216,186
42,361,0.537543984469,809.5,216,186
43,362,0.0441997502432,809.5,216,186
44,363,0.416682640396,809.5,215,186
45,364,0.530344747123,802.5,215,185
46,365,0.0752788059467,802.5,215,185
47,366,0.00482421433953,802.5,215,185
48,367,0.439213545892,790.5,214,184
49,368,0.140056847981,790.5,214,184
50,369,0.396112441295,796.5,214,184
51,370,0.451098304759,797.5,214,184
52,371,0.198324699307,797.5,214,184
53,372,0.422290886498,795.5,214,184
54,373,0.353064981251,795.5,214,184
55,374,0.666171632771,800.0,214,184
56,375,0.511316957873,797.5,214,184
57,376,0.199542172655,797.5,214,184
58,377,0.393846884828,796.5,214,184
59,378,0.176833027686,795.5,214,184
60,379,0.567969074309,799.5,214,183
61,380,0.613764503016,797.0,214,183
62,381,0.13272594474,796.0,214,183
63,382,0.402414395465,795.5,214,184
64,383,0.48084934383,795.5,214,184
65,384,0.27096052783,795.5,214,184
66,385,0.417725744266,796.5,214,184
67,386,0.507337170596,798.5,214,184
