,index,labDelta,area,center_x,center_y
0,284,5.97338178186e-07,419.0,252,133
1,285,0.00128439536885,419.0,252,133
2,286,0.218215332776,429.5,250,135
3,287,3.76584975035e-05,429.5,250,135
4,288,4.00434015556e-05,429.5,250,135
5,289,0.151129722564,422.0,249,135
6,290,0.00169742567005,422.0,249,135
7,291,0.122351536668,422.5,249,135
8,292,0.235086142378,417.5,250,134
9,293,0.0321493859418,417.5,250,134
10,294,0.302490558725,415.5,249,134
11,295,0.192821166023,415.5,249,134
12,296,0.306529402506,409.5,248,134
13,297,0.24873443719,413.0,247,135
14,298,0.137360657193,412.0,247,135
15,299,0.38435170254,396.5,247,129
16,300,0.0326515252571,396.5,247,129
17,301,0.296614031372,396.5,248,127
18,302,0.0982082429558,397.5,247,127
19,303,0.284220493639,395.0,248,127
20,304,0.318993767921,404.5,247,126
21,305,0.174050635331,403.5,247,126
22,306,0.0379556005573,403.5,247,126
23,307,0.225025023619,398.0,247,126
24,308,0.223620414017,387.5,245,124
25,309,0.414916143976,391.5,243,122
26,310,0.163471932291,391.5,243,122
27,311,0.397213009685,392.5,241,122
28,312,0.10179897142,392.5,241,122
29,313,0.0419197469194,392.5,241,122
30,314,0.338938670315,378.5,238,121
31,315,0.0578629098468,378.5,238,121
32,316,0.253594581198,376.5,236,120
33,317,0.172333241155,377.5,236,120
34,318,0.209815781683,376.0,236,118
35,319,0.035144243142,376.0,236,118
36,320,0.0286836080743,376.0,236,118
37,321,0.407236266013,374.5,233,117
38,322,0.0509000617405,374.5,233,117
39,323,0.000273851348084,374.5,233,117
40,324,1.80425363143e-05,374.5,233,117
41,325,0.470348027549,369.0,234,116
42,326,0.0470588377352,369.0,234,116
43,327,0.0,369.0,234,116
44,328,0.71084582224,389.0,240,113
45,329,0.166557143465,389.0,240,113
46,330,0.00156941035252,389.0,240,113
47,331,0.629604092475,386.0,243,113
48,332,0.228362026604,386.0,243,113
49,333,0.84012977268,388.5,246,114
50,334,0.0531038582559,388.5,246,114
51,335,0.48971591153,386.0,246,115
52,336,0.164743908964,386.0,246,115
53,337,0.579452347507,395.5,247,117
54,338,0.027384539993,395.5,247,117
55,339,0.407145356683,388.5,247,120
56,340,0.0587554687187,388.5,247,120
57,341,0.421969025237,395.0,248,121
58,342,0.430664568685,398.0,248,122
59,343,0.137678117184,398.0,248,122
60,344,0.650526884494,402.0,249,123
61,345,0.182453848623,402.0,249,123
62,346,0.503218146015,400.0,249,124
63,347,0.394441026915,397.0,249,124
64,348,0.226608611102,397.0,249,124
65,349,0.514301466252,390.0,248,123
66,350,0.00465566745688,390.0,248,123
67,351,0.563617407857,385.0,246,122
68,352,0.505609184206,386.0,245,121
69,353,0.264631671171,386.0,245,121
70,354,0.556556820866,384.0,245,119
71,355,0.167128618172,384.0,245,119
72,356,0.0536912856064,384.0,245,119
73,357,0.348923639539,393.0,245,118
74,358,0.405399832192,392.5,245,117
75,359,0.147664099982,392.5,245,117
76,360,0.0470981794016,392.5,245,117
77,361,0.359699402218,396.5,247,118
78,362,0.140897050179,396.5,247,118
79,363,0.0042553968845,396.5,247,118
80,364,0.40657461902,386.5,245,120
81,365,0.0188454096829,386.5,245,120
82,366,0.00186489279363,386.5,245,120
83,367,0.395029334153,381.0,243,118
84,368,0.228093325782,381.0,243,118
85,369,0.000582859218028,381.0,243,118
86,370,0.0,381.0,243,118
87,371,0.729460786697,389.5,244,117
88,372,0.0878164058437,389.5,244,117
89,373,0.708088691775,383.0,245,115
90,374,0.214299697932,383.0,245,115
91,375,0.0696951523193,383.0,245,115
92,376,0.673848223851,390.5,243,118
93,377,0.384207713216,385.5,242,119
94,378,0.081795443438,385.5,242,119
95,379,0.213714724543,383.5,240,118
96,380,0.0838688770223,383.5,240,118
97,381,0.130259796404,391.5,240,118
98,382,0.148597804883,391.0,240,118
99,383,0.0822022529257,391.0,240,118
100,384,0.172489668747,390.0,239,118
101,385,0.0216051090621,390.0,239,118
102,386,0.188819419406,389.0,239,118
103,387,0.100143100226,389.5,239,118
104,388,0.00162562107561,389.5,239,118
105,389,0.174957806516,380.0,239,119
106,390,0.0405236656866,380.0,239,119
107,391,0.534775549951,378.5,238,123
108,392,0.347118731446,378.5,238,123
109,393,0.512385603155,385.5,238,126
110,394,0.479303071538,381.0,238,127
111,395,0.0997308121411,381.0,238,127
112,396,0.00186818133449,381.0,238,127
113,397,0.431400121404,386.5,238,127
114,398,0.195126994331,386.5,238,127
115,399,0.45503802765,391.0,237,126
116,400,0.0577118757456,391.0,237,126
117,401,9.6593469819e-05,391.0,237,126
118,402,0.376475685597,377.5,237,125
119,403,0.0596559297916,377.5,237,125
120,404,0.45108842654,373.0,237,126
121,405,0.272938693878,373.0,237,126
122,406,0.631234636471,374.5,237,127
123,407,9.69001425841e-06,374.5,237,127
124,408,2.78040237622e-07,374.5,237,127
125,409,0.163569795038,382.0,238,127
126,410,9.77183851014e-05,382.0,238,127
127,411,0.0,382.0,238,127
128,741,0.000605988492373,533.0,147,210
129,742,0.482118527341,500.5,143,214
130,743,0.0857352417409,500.5,143,214
131,744,0.439755174505,427.5,141,215
132,745,0.179847687135,427.5,141,215
133,746,0.000577221185905,427.5,141,215
134,747,0.285163244143,377.5,141,216
135,748,0.11857087027,377.5,141,216
136,749,0.308454804537,321.5,142,217
137,750,0.235635878352,252.0,142,218
138,751,0.0,252.0,142,218
139,752,0.162005400897,234.5,142,219
140,753,0.0594163230593,234.5,142,219
141,754,0.194396307872,209.5,141,219
142,755,0.177961000159,214.0,139,219
143,756,0.152036218713,214.0,139,219
144,757,0.00036003720432,214.0,139,219
145,758,0.130491356549,178.0,138,219
146,759,0.0876092567558,169.5,138,220
147,760,0.0176114438689,169.5,138,220
148,761,0.138841997612,129.0,138,220
149,762,0.0030540867423,129.0,138,220
150,763,0.0391844097016,117.0,139,220
151,764,0.00546035620515,118.0,139,220
152,765,0.0125422934948,119.0,139,220
153,766,0.00528890496663,119.0,139,220
154,767,0.0176833069185,91.0,139,221
155,768,2.73514757919e-07,91.0,139,221
156,769,0.0,91.0,139,221
157,770,0.047133308978,61.0,141,221
158,771,0.0282192684601,71.5,140,221
159,772,0.00987985531974,71.5,140,221
160,773,0.0210901519128,79.0,139,221
161,774,0.0379692214495,79.0,139,221
162,775,2.29900184478e-05,79.0,139,221
163,776,0.0380270935352,80.0,139,221
164,777,0.000123224751674,80.0,139,221
165,778,0.0735184370584,111.0,137,220
166,779,0.0128956420968,111.0,137,220
167,780,0.0015057631711,111.0,137,220
168,781,0.0211333720484,146.0,136,220
169,782,0.0116709791453,147.0,136,220
170,783,0.088210404407,197.5,137,219
171,784,0.0462047394007,197.5,137,219
172,785,0.0313688015248,197.5,137,219
173,786,0.159832672949,221.0,137,219
174,787,0.00583715853468,220.0,137,219
175,788,0.142930053091,284.0,138,218
176,789,0.0727499665998,284.0,138,218
177,790,0.205177682858,357.0,138,217
178,791,0.0294881771058,357.0,138,217
179,792,0.0776824655848,366.5,138,216
180,793,0.0474937950868,367.5,139,216
181,794,0.2595864774,395.5,139,216
182,795,0.411430530517,408.5,140,216
183,796,0.0712896425481,408.5,140,216
184,797,0.225068372122,424.5,141,215
185,798,0.0429449288027,424.5,141,215
186,799,0.32581364034,482.0,143,214
187,800,0.0492290581402,482.0,143,214
188,801,0.289269230412,508.5,143,214
189,802,0.0863339674033,507.5,143,214
190,803,0.295487438618,519.5,144,213
191,804,0.137083292656,519.5,144,213
192,805,0.593609943023,503.0,149,209
193,806,0.0889542273245,503.0,149,209
194,807,0.0129044067427,503.0,149,209
195,808,0.582164258654,481.5,154,206
196,809,0.0225873878669,481.5,154,206
197,810,0.858417885709,440.0,159,201
198,811,0.192657556197,440.0,159,201
199,812,0.000757842643799,440.0,159,201
200,813,0.695522253496,419.5,162,197
201,814,0.336458087228,400.0,164,195
202,815,0.216509625731,400.0,164,195
203,816,0.023735793633,401.0,164,195
204,817,0.388374879952,396.0,166,192
205,818,0.0409880639608,396.0,166,192
206,819,0.0,396.0,166,192
207,820,0.364219557252,384.0,168,190
208,821,0.13257702281,385.0,168,190
209,822,0.00142430137202,385.0,168,190
210,823,0.354417168415,374.5,169,189
211,824,0.0514972155662,374.5,169,189
212,825,0.447824716621,361.0,170,187
213,826,0.0073972864834,362.0,170,187
214,827,0.327074081281,350.0,170,187
215,828,0.0868086072164,349.0,170,187
216,829,0.316418653493,362.0,170,186
217,830,0.378555821496,362.0,170,185
218,831,0.0825985863133,361.0,170,185
219,832,0.437473384492,359.0,170,185
220,833,0.00573708655921,359.0,170,185
221,834,0.195185975207,364.0,170,185
222,835,0.2871779443,366.0,168,186
223,836,0.0513118760561,366.0,168,186
224,837,0.117068749752,366.5,167,186
225,838,0.0500931993004,366.5,167,186
226,839,0.347852083158,364.5,165,186
227,840,0.343166316205,371.5,164,186
228,841,0.195614316571,372.5,164,186
229,842,1.47050001589e-05,372.5,164,186
230,843,0.0,372.5,164,186
231,844,0.264883550022,365.5,163,185
232,845,0.0931106898249,365.5,163,185
233,846,0.20732943436,362.5,163,183
234,847,0.0836955995125,362.5,163,183
235,848,0.095179576135,360.0,163,183
236,849,0.00407368268838,360.0,163,183
237,850,0.112166857328,360.0,163,183
238,851,0.104820887812,360.0,163,183
239,852,0.206647294246,359.5,163,182
240,853,0.03282291027,359.5,163,182
241,854,0.210772234024,366.5,163,183
242,855,0.0619989321852,366.5,163,183
243,856,5.00098084245e-05,366.5,163,183
244,857,0.462348408664,351.5,162,180
245,858,0.0702792936226,351.5,162,180
246,859,1.26300971024e-05,351.5,162,180
247,860,0.0,351.5,162,180
248,861,0.437136938221,343.5,161,176
249,862,0.00633004521587,343.5,161,176
250,863,0.308937912723,341.0,162,177
251,864,0.0406421436971,340.0,162,177
252,865,0.00167706545779,340.0,162,177
253,866,0.146060952013,348.5,162,177
254,867,0.121426628276,348.5,162,177
255,868,0.17132239654,346.5,162,177
256,869,0.0485596888202,346.5,162,177
257,870,0.246057865688,342.0,161,177
258,871,0.000284144917563,342.0,161,177
259,872,0.210822207256,343.0,161,177
260,873,0.135127655501,343.0,161,177
261,874,0.0278705154958,343.0,161,177
262,875,0.17656632694,346.0,161,177
263,876,0.0349053045725,346.0,161,177
264,877,0.270339972044,346.0,161,176
265,878,0.0157602041534,346.0,161,176
266,879,0.309189983917,352.5,159,177
267,880,0.0696998555534,352.5,159,177
268,881,0.212777267515,348.5,158,177
269,882,0.0509411637166,348.5,158,177
270,883,0.344035874437,371.0,156,178
271,884,0.0835676329632,370.0,156,178
272,885,0.0520847263698,370.0,156,178
273,886,0.369875928255,370.0,156,179
274,887,0.103646522588,370.0,156,179
275,888,0.434671599518,385.0,154,179
276,889,0.329958433287,373.5,153,179
277,890,0.0170462145235,373.5,153,179
278,891,0.245325873568,379.5,152,180
279,892,0.118554060588,379.5,152,180
280,893,0.228767288675,381.0,152,180
281,894,0.0374863792229,381.0,152,180
282,895,0.339553927453,371.5,152,179
283,896,0.0755630075907,371.5,152,179
284,897,0.00415947072308,371.5,152,179
285,898,0.214478752176,368.0,153,178
286,899,0.0518987819546,368.0,153,178
287,900,0.246310123547,365.5,153,178
288,901,0.0715580628233,365.5,153,178
289,902,0.0101060193833,365.5,153,178
290,903,0.0,365.5,153,178
291,904,0.257554007239,367.0,152,177
292,905,0.00181851034432,367.0,152,177
293,906,0.251130792019,374.5,153,177
294,907,0.116809277699,374.5,153,177
295,908,0.00635194484757,374.5,153,177
296,909,0.296975610432,371.0,152,178
297,910,0.0199084332419,371.0,152,178
298,911,0.285304763614,380.5,152,179
299,912,0.281636200105,375.5,151,180
300,913,0.0297471945223,375.5,151,180
301,914,0.293202876346,369.0,152,179
302,915,0.112463668335,369.0,152,179
303,916,0.204473046823,381.0,152,179
304,917,0.0605415439814,381.0,152,179
305,918,0.344143218812,380.0,153,179
306,919,0.0169148656694,380.0,153,179
307,920,0.00138298099364,380.0,153,179
308,921,0.27498984517,377.0,153,179
309,922,0.258343755102,377.0,153,179
310,923,0.361850732712,374.5,153,178
311,924,0.057853191436,374.5,153,178
312,925,0.000139418550233,374.5,153,178
313,926,0.360265615178,369.0,153,178
314,927,0.168142606475,370.0,153,178
315,928,0.0127415166505,370.0,153,178
316,929,0.327397747874,377.0,153,179
317,930,0.037934370425,378.0,153,179
318,931,0.247059370322,382.0,153,180
319,932,0.299703056878,385.0,153,180
320,933,0.101531546433,386.0,153,180
321,934,0.367859330251,374.0,154,179
322,935,0.0653108315774,374.0,154,179
323,936,7.23540268681e-07,374.0,154,179
324,937,0.29033417371,380.5,154,179
325,938,0.440513886619,371.0,154,180
326,939,0.00887701593282,371.0,154,180
327,940,1.50075805894e-05,371.0,154,180
328,941,0.0,371.0,154,180
329,942,0.401230684229,373.0,154,180
330,943,0.164790696313,373.0,154,180
331,944,0.351559940617,379.0,155,180
332,945,0.19564160284,379.0,155,180
333,946,0.000138902511847,379.0,155,180
334,947,0.197954621803,380.0,155,180
335,948,0.090349560086,380.0,155,180
336,949,0.253595280293,372.0,154,180
337,950,0.173911151058,372.0,154,180
338,951,0.268467830581,375.0,154,181
339,952,0.155935290487,375.0,154,181
340,953,0.277214209823,374.0,155,181
341,954,0.211885913837,372.0,155,181
342,955,0.0913326201512,372.0,155,181
343,956,1.23841438355e-05,372.0,155,181
344,957,0.288662830213,386.0,155,181
345,958,0.0625193419556,386.0,155,181
346,959,0.373369530714,383.5,156,182
347,960,0.000438937459545,383.5,156,182
348,961,3.11477151402e-05,383.5,156,182
349,962,0.329051184989,379.5,156,182
350,963,0.041365136608,379.5,156,182
351,964,0.18514668789,382.0,157,183
352,965,0.112052117614,384.0,157,183
353,966,0.264724657123,381.0,158,184
354,967,0.0159686084441,381.0,158,184
355,968,0.269128509384,379.0,159,185
356,969,0.284674048375,366.5,159,185
357,970,0.0130549121004,366.5,159,185
358,971,0.0229029595203,366.5,159,185
359,972,0.159447467789,370.0,159,185
360,973,0.336165278201,368.5,158,185
361,974,0.0486370121337,368.5,158,185
362,975,0.282680574403,378.5,158,186
363,976,0.0383330154706,378.5,158,186
364,977,0.0346509326416,378.5,158,186
365,978,0.0,378.5,158,186
366,979,0.257186294158,383.5,157,186
367,980,0.0878972418086,383.5,157,186
368,981,0.230427759686,376.5,158,186
369,982,0.0616825083728,376.5,158,186
370,983,0.000147824226564,377.5,158,186
371,984,0.0,377.5,158,186
372,985,0.242502823395,384.0,157,186
373,986,0.0680282000472,384.0,157,186
374,987,0.00323331515284,384.0,157,186
375,988,0.192688146816,387.0,157,186
376,989,0.00202838126591,383.0,157,186
377,990,0.143183458981,383.0,157,186
378,991,0.210982955049,382.5,157,186
379,992,0.0443238381465,382.5,157,186
380,993,0.0996661685927,384.5,157,186
381,994,0.0230891957233,384.5,157,186
382,995,0.0027973310399,384.5,157,186
383,996,0.347619108024,388.0,157,187
384,997,0.116447821489,389.0,157,187
385,998,0.291528436416,389.5,157,187
386,999,0.0538747108654,389.5,157,187
387,1000,0.132799883401,388.5,157,187
388,1001,0.17004677391,387.5,157,187
389,1002,0.0934459450719,387.5,157,187
390,1003,0.289343215616,385.5,157,187
391,1004,0.0774787453798,385.5,157,187
392,1005,0.320843148911,392.0,157,188
393,1006,0.11823874151,392.0,157,188
394,1007,0.129027416506,390.5,157,188
395,1008,0.159559706039,392.0,157,188
396,1009,0.0601412388581,392.0,157,188
397,1010,0.0405723225675,392.0,157,188
398,1011,0.250359156056,384.0,157,187
399,1012,0.174309615188,386.0,157,187
400,1013,0.0582992678827,386.0,157,187
401,1014,0.0393267972728,385.0,157,187
402,1015,0.193007123319,384.5,157,187
403,1016,0.190488878639,388.0,157,187
404,1017,0.00938884607497,388.0,157,187
405,1018,0.239781838394,387.5,157,187
406,1019,0.19733346245,386.5,157,187
407,1020,0.021943334248,387.5,157,187
408,1021,0.0,387.5,157,187
409,1022,0.341769416384,385.5,157,187
410,1023,0.182406121877,385.5,157,187
411,1024,0.257994567205,389.5,157,187
412,1025,0.117592651053,389.5,157,187
413,1026,0.0383505317739,389.5,157,187
414,1027,0.0,389.5,157,187
415,1028,0.216712731514,388.5,157,187
416,1029,0.0391811635895,388.5,157,187
417,1030,0.27718316671,384.5,157,187
418,1031,0.0565508947852,383.5,157,187
419,1032,0.0,383.5,157,187
420,1033,0.0,383.5,157,187
421,1034,0.19044078095,391.5,157,187
422,1035,0.137322207673,390.0,157,187
423,1036,0.231571973834,394.0,157,187
424,1037,0.217586768438,394.0,157,187
425,1038,0.000298986861573,394.0,157,187
426,1039,0.212376875072,388.5,157,186
427,1040,0.045656990535,387.5,157,186
428,1041,0.197894383113,386.0,157,187
429,1042,0.0544553528557,386.0,157,187
430,1043,0.179873705211,390.5,157,187
431,1044,0.316875708024,392.0,157,187
432,1045,0.00207442913407,392.0,157,187
433,1046,0.304384841281,390.5,157,186
434,1047,0.0644676879769,388.5,157,186
435,1048,0.205848485546,388.0,157,186
436,1049,0.172408849795,384.5,157,186
437,1050,0.0103803103779,384.5,157,186
438,1051,0.227915817496,385.5,157,186
439,1052,0.0136281006231,385.5,157,186
440,1053,0.182181796912,390.5,157,186
441,1054,0.044644475955,391.5,157,186
442,1055,0.234325723503,389.0,157,186
443,1056,0.237035980217,383.5,157,186
444,1057,0.17873084259,384.5,157,186
445,1058,0.211178001467,387.0,157,186
446,1059,0.125420991708,386.0,157,186
447,1060,0.112954737419,388.0,157,186
448,1061,0.0596392279156,390.0,157,186
449,1062,0.21006110652,389.5,157,186
450,1063,0.0506100302145,387.5,157,187
451,1064,0.0210647800528,387.5,157,187
452,1065,0.291054725809,387.0,156,186
453,1066,0.21153234949,386.0,156,186
454,1067,0.0023296060626,386.0,156,186
455,1068,0.261383111888,387.5,157,186
456,1069,0.0321914222708,387.5,157,186
457,1070,0.000544433093293,387.5,157,186
458,1071,0.0,387.5,157,186
459,1072,0.107473644379,388.5,157,185
460,1073,0.0744106337426,387.5,157,185
461,1074,0.203410248922,387.0,157,186
462,1075,0.0592864490609,387.0,157,186
463,1076,0.318970663538,380.5,156,185
464,1077,0.0320521784109,380.5,156,185
465,1078,0.0302100487722,380.5,156,185
466,1079,0.181871505787,381.0,157,185
467,1080,0.0181899670176,380.0,157,185
468,1081,0.151257883393,380.0,157,184
469,1082,0.11391185752,379.0,157,184
470,1083,0.0850925592557,380.5,157,185
471,1084,0.201556347056,382.0,156,184
472,1085,0.0519204179678,382.0,156,184
473,1086,0.14028267335,381.0,156,183
474,1087,0.0190350126003,381.0,156,183
475,1088,0.238198823241,378.0,156,183
476,1089,0.0620155045091,378.0,156,183
477,1090,0.268316298435,376.5,157,183
478,1091,0.0229789650316,377.5,157,183
479,1092,0.182174634092,376.5,157,183
480,1093,0.300155187118,383.0,156,183
481,1094,0.0499738669295,383.0,156,183
482,1095,0.171863533519,386.0,156,184
483,1096,0.0729988280521,386.0,156,184
484,1097,0.544798873177,384.0,155,184
485,1098,0.292356906305,386.5,155,184
486,1099,0.015798822314,386.5,155,184
487,1100,0.583183777421,385.5,154,184
488,1101,0.00779214624224,385.5,154,184
489,1102,0.0109364205471,385.5,154,184
490,1103,0.580611092086,388.0,154,184
491,1104,0.0126155956439,388.0,154,184
492,1105,0.480647208066,382.0,155,183
493,1106,0.0277501555471,382.0,155,183
494,1107,3.5037502956e-05,382.0,155,183
495,1108,0.321195769671,381.5,155,183
496,1109,0.0536082970739,381.5,155,183
497,1110,5.85649018084e-05,381.5,155,183
498,1111,0.197476579518,380.5,155,183
499,1112,0.144262047428,380.5,155,183
500,1113,1.6437699602e-05,380.5,155,183
501,1114,0.0,380.5,155,183
502,1115,0.505565708043,375.0,156,182
503,1116,0.156622974875,375.0,156,182
504,1117,0.437163959236,378.5,156,181
505,1118,0.0093436043086,378.5,156,181
506,1119,0.00977137069573,378.5,156,181
507,1120,0.177611096263,378.5,156,181
508,1121,0.179583289404,373.5,156,181
509,1122,0.197481723022,373.5,156,181
510,1123,0.294607993756,367.0,157,180
511,1124,0.0242785135069,367.0,157,180
512,1125,0.337098551498,368.0,157,180
513,1126,0.176747066649,368.0,157,180
514,1127,0.350464460362,365.0,158,179
515,1128,0.131777344917,357.5,158,179
516,1129,0.0225217282078,357.5,158,179
517,1130,0.164893407096,353.0,158,178
518,1131,0.221496956148,356.5,159,178
519,1132,0.00968193249712,356.5,159,178
