,index,labDelta,area,center_x,center_y
0,264,0.0,17.5,226,116
1,265,0.0,17.5,226,116
2,266,0.330450121789,18.0,226,117
3,267,0.0578471790632,18.0,226,117
4,268,0.00163411750958,18.0,226,117
5,269,0.300323741908,16.5,226,117
6,270,0.105854253877,16.5,226,117
7,271,0.000699194661562,16.5,226,117
8,272,0.0,16.5,226,117
9,273,0.284532154609,17.0,226,117
10,274,0.0026174347164,17.0,226,117
11,275,0.0,17.0,226,117
12,276,0.0,17.0,226,117
13,277,0.271718496204,20.5,226,117
14,278,0.00412425016722,20.5,226,117
15,279,0.000301303207512,20.5,226,117
16,280,0.0,20.5,226,117
17,281,0.315306765712,16.5,226,117
18,282,4.77005036122e-05,16.5,226,117
19,283,0.294654360213,16.0,227,117
20,284,0.0916847291612,16.0,227,117
21,285,0.0,16.0,227,117
22,286,0.300284238192,15.0,226,118
23,287,0.0761042207057,15.0,226,118
24,288,0.323819730015,16.5,226,118
25,289,0.116029050863,16.5,226,118
26,290,0.265923068251,19.0,226,118
27,291,0.0787941758291,19.0,226,118
28,292,0.281942870252,15.5,227,118
29,293,0.0366736615441,15.5,227,118
30,294,0.286735215887,19.0,227,118
31,295,0.0733800464392,19.0,227,118
32,296,0.0,19.0,227,118
33,297,0.313088643789,18.5,227,118
34,298,0.324786068143,15.0,227,118
35,299,0.00354120053311,15.0,227,118
36,300,0.29993118769,18.0,226,118
37,301,0.0240686125161,18.0,226,118
38,302,0.0,18.0,226,118
39,303,0.360707031019,16.5,227,119
40,304,0.06265316046,16.5,227,119
41,305,0.0,16.5,227,119
42,306,0.23434398054,17.0,227,119
43,307,0.0884790297529,17.0,227,119
44,308,8.65595467995e-05,17.0,227,119
45,309,0.323822071174,16.0,227,119
46,310,0.00242057827135,16.0,227,119
47,311,0.0,16.0,227,119
48,312,0.279035061156,17.0,227,119
49,313,0.0019883115886,17.0,227,119
50,314,0.0,17.0,227,119
51,315,0.294712561048,19.0,226,118
52,316,0.0333695941965,19.0,226,118
53,317,0.0,19.0,226,118
54,318,0.0,19.0,226,118
55,319,0.0,19.0,226,118
56,320,0.364413785682,17.0,226,119
57,321,0.068385638096,17.0,226,119
58,322,0.0,17.0,226,119
59,323,0.288152263148,15.0,226,118
60,324,0.0885916166252,15.0,226,118
61,325,0.0395144360712,15.0,226,118
62,326,0.332814647959,17.5,226,118
63,327,0.0930539122681,17.5,226,118
64,328,0.310784622277,16.5,226,118
65,329,0.121377216281,16.5,226,118
66,330,0.338707422957,18.0,226,119
67,331,0.118586612845,17.0,226,119
68,332,0.316521198036,18.0,226,119
69,333,0.0,18.0,226,119
