,index,labDelta,area,center_x,center_y
0,285,0.00289598148046,424.0,260,127
1,286,0.207584441408,422.5,260,127
2,287,0.11588224014,423.5,260,127
3,288,0.113668598679,424.5,260,127
4,289,0.196930749058,423.0,260,127
5,290,0.146330147898,423.0,260,127
6,291,0.172648557417,419.5,260,127
7,292,0.0322552264348,420.5,260,127
8,293,0.172018172297,422.5,260,127
9,294,0.244382845551,420.5,260,127
10,295,0.128473896708,420.5,260,127
11,296,0.0943318494114,425.5,260,127
12,297,0.026786596345,424.5,260,127
13,298,0.169328537809,425.5,260,127
14,299,0.145986621185,423.5,260,127
15,300,0.0624354540836,422.5,260,127
16,301,0.236044618232,422.5,260,126
17,302,0.0972239815015,423.5,260,126
18,303,0.280230960849,422.5,259,126
19,304,0.181916965229,421.0,259,126
20,305,0.0459549848136,422.0,259,126
21,306,0.251814752736,422.5,259,126
22,307,0.235506644771,421.5,259,127
23,308,0.170299578841,421.5,259,127
24,309,0.000442718693588,421.5,259,127
25,310,0.159072211198,422.5,260,127
26,311,0.14091084203,421.5,260,127
27,312,0.108590694812,422.5,260,126
28,313,0.0734144475549,422.5,260,126
29,314,0.151623389294,423.5,260,127
30,315,0.00560103192637,423.5,260,127
31,316,0.0956254120418,423.5,260,126
32,317,0.0607925537486,423.5,260,126
33,318,0.222738528486,424.5,260,127
34,319,0.192586798041,424.5,260,127
35,320,0.118857838423,424.0,260,127
36,321,0.176670924381,421.5,260,127
37,322,0.00611147903403,421.5,260,127
38,323,0.20192400057,424.5,260,127
39,324,0.0490676111409,424.5,260,127
40,325,0.18346495303,422.5,260,126
41,326,0.146657279406,423.5,260,126
42,327,0.0764991241578,423.5,260,126
43,328,0.186596665053,423.5,260,127
44,329,0.131680749104,423.5,260,127
45,330,0.155980111972,424.5,260,127
46,331,0.0824101816554,422.5,260,127
47,332,0.00619348942412,422.5,260,127
48,333,0.165790793838,421.5,260,127
49,334,0.17842516209,421.5,260,127
50,335,0.192416240752,423.0,260,127
51,336,0.19356106317,425.5,260,126
52,337,0.11874482141,425.5,260,126
53,338,0.192966004977,426.5,260,126
54,339,0.0781529561438,426.5,260,126
55,340,0.171794550551,424.5,260,126
56,341,0.0707689470722,424.5,260,126
57,342,0.140098705486,421.5,260,126
58,343,0.127761584534,421.5,260,126
59,344,0.173848402634,421.5,260,126
60,345,0.24918906467,423.5,260,126
61,346,0.0836809421456,424.5,260,126
62,347,0.297370106527,421.5,260,126
63,348,0.220032342276,424.0,260,126
64,349,0.156418315969,425.0,260,126
65,350,0.165386280858,425.5,260,126
66,351,0.0974828128214,425.5,260,126
67,352,0.00929611861682,425.5,260,126
68,353,0.309624575875,420.5,260,126
69,354,0.0658672085621,420.5,260,126
70,355,0.173764869176,422.5,260,126
71,356,0.152877361065,423.5,260,126
72,357,0.0859492933668,423.5,260,126
73,358,0.151370591726,424.5,260,126
74,359,0.137637732669,425.5,260,126
75,360,0.0196646910713,425.5,260,126
76,361,0.300854628672,420.5,260,126
77,362,0.146513940196,420.5,260,126
78,363,0.291474365011,423.5,260,126
79,364,0.0628845122414,423.5,260,126
80,365,0.25089461904,423.5,260,126
81,366,0.241892029273,421.0,260,126
82,367,0.0260066110366,421.0,260,126
83,368,0.192273168752,423.5,260,125
84,369,0.0429393777261,423.5,260,125
85,370,0.198222112071,422.5,260,126
86,371,0.119624131593,423.5,260,126
87,372,0.00952632203768,423.5,260,126
88,373,0.212055103472,423.0,260,126
89,374,0.073687002219,423.0,260,126
90,375,0.0561529527555,423.0,260,126
91,376,0.110434662733,422.0,260,126
92,377,0.0103937074498,422.0,260,126
93,378,0.170542077798,423.5,260,126
94,379,0.0678369176082,424.0,260,126
95,380,0.0184639399222,424.0,260,126
96,381,0.0063109982098,424.0,260,126
97,382,0.158700555652,424.0,260,126
98,383,0.0817148438504,422.5,260,126
99,384,0.07691932995,422.5,260,126
100,385,0.184312147516,420.5,260,126
101,386,0.183625933082,424.0,260,126
102,387,0.116705723232,424.0,260,126
103,388,0.287779998608,423.5,260,125
104,389,0.0627804623281,423.5,260,125
105,390,0.257308825056,419.5,259,125
106,391,0.163054053551,419.5,259,125
107,392,0.132633477745,419.5,259,125
108,393,0.133076936655,421.5,259,125
109,394,0.0274942304422,421.5,259,125
110,395,0.203379119105,419.5,260,125
111,396,0.0323791993054,420.5,260,125
112,397,0.16326725748,420.5,260,125
113,398,0.390734457694,420.5,260,125
114,399,0.00426350880235,420.5,260,125
115,400,0.169350616128,420.5,259,125
116,401,0.0876205458963,420.5,259,125
117,402,0.18055319131,420.0,259,125
118,403,0.0652906392558,420.0,259,125
119,404,0.223220418099,421.5,259,125
120,405,0.265246936918,422.5,260,125
121,406,0.133908575436,421.5,260,125
122,407,0.337257313036,420.5,259,125
123,408,0.148133278711,420.5,259,125
124,409,0.213783689995,421.5,260,125
125,410,0.3283938077,421.0,259,125
126,411,0.268364481617,421.0,259,125
127,412,0.219056362393,421.0,259,125
128,413,0.267993089457,416.0,259,125
129,414,0.0282471168119,417.0,259,125
130,415,0.13778048834,416.0,259,125
131,416,0.402417277069,419.5,259,125
132,417,0.0871116894615,419.5,259,125
133,418,0.163330529515,420.5,259,125
134,419,0.00171417623922,420.5,259,125
135,420,0.0745302517468,418.5,259,125
136,421,0.165993169921,420.5,260,125
137,422,0.0868839571708,420.5,260,125
138,423,0.00910375141959,420.5,260,125
139,424,0.0232209075756,419.5,260,125
140,425,0.0148875540206,419.5,260,125
141,426,0.16496879275,422.5,260,125
142,427,0.0327504321546,422.5,260,125
143,428,0.059363501528,422.5,260,125
144,429,0.040277034868,421.5,260,125
145,430,0.0780818535764,421.5,260,125
146,431,0.127123995786,422.5,260,125
147,432,0.0455260147891,422.5,260,125
148,433,4.5166260159e-05,422.5,260,125
149,434,0.130082258632,419.5,260,125
150,435,0.149649913075,421.5,260,125
151,436,0.0367519372614,421.5,260,125
152,437,0.198682666243,421.5,260,125
153,438,0.0120683402353,421.5,260,125
154,439,0.294824943558,420.5,260,126
155,440,0.268580650618,420.5,260,126
156,441,0.161291734964,422.0,260,126
157,442,0.234644560975,420.0,260,126
158,443,0.0210358921431,420.0,260,126
159,444,0.352589536324,423.5,260,125
160,445,0.328588816339,422.5,260,125
161,446,0.00641510372254,422.5,260,125
162,447,0.218907272748,421.0,260,125
163,448,0.189213235092,422.0,260,125
164,449,0.0058645536423,422.0,260,125
165,450,0.214119838096,421.5,260,125
166,451,0.0221199095446,421.5,260,125
167,452,0.13642558226,422.0,260,125
168,453,0.150711359377,422.0,260,125
169,454,0.0198814511506,422.0,260,125
170,455,0.176010666311,423.5,260,125
171,456,0.0777930176057,423.5,260,125
172,457,0.282001329701,425.5,260,125
173,458,0.152290107799,425.5,260,125
174,459,0.224693273835,424.5,260,125
175,460,0.20305494681,426.5,260,125
176,461,0.099272972763,420.5,260,125
177,462,0.11752048133,421.5,260,125
178,463,0.0235166648162,421.5,260,125
179,464,0.146326995521,419.5,260,125
180,465,0.0901541001108,419.5,260,125
181,466,0.273399799415,425.0,260,125
182,467,0.365488645292,423.5,260,125
183,468,0.0648770680747,423.5,260,125
184,469,0.157712833489,421.5,260,125
185,470,0.0104508477441,421.5,260,125
186,471,0.115394882622,420.5,260,125
187,472,0.183100675299,421.0,260,125
188,473,0.120517694565,421.0,260,125
189,474,0.0714740533952,419.5,261,125
190,475,0.0295447476953,419.5,261,125
191,476,0.257840621104,423.0,260,125
192,477,0.295139016014,426.5,261,125
193,478,0.0715799342625,426.5,261,125
194,479,0.445893836102,422.0,260,125
195,480,0.144552675352,422.0,260,125
196,481,0.23441714106,424.0,260,125
197,482,0.0313677637727,424.0,260,125
198,483,0.344907734927,424.5,261,125
199,484,0.222128692738,424.5,261,125
200,485,0.0281789545588,424.5,261,125
201,486,0.250914584792,426.5,261,125
202,487,0.290440035629,424.0,261,125
203,488,0.00209513474308,424.0,261,125
204,489,0.345654576258,423.5,260,125
205,490,0.230773158536,422.5,260,125
206,491,0.00176509683759,422.5,260,125
207,492,0.253320341685,423.5,260,125
208,493,0.103669138954,423.5,260,125
209,494,0.0557815104949,423.5,260,125
210,495,0.163554723093,424.0,261,125
211,496,0.0404900473738,424.0,261,125
212,497,0.160371061128,425.0,261,125
213,498,0.399171462121,420.5,260,124
214,499,0.298162701859,420.5,260,124
215,500,0.189842611286,422.5,260,124
216,501,0.0,422.5,260,124
217,502,0.167645808241,422.5,260,125
218,503,0.170574491505,423.5,260,125
219,504,0.0778312411583,423.5,260,125
220,505,0.1152652829,421.0,260,125
221,506,0.0747745339867,421.0,260,125
222,507,0.190754940652,423.0,260,125
223,508,0.285099532201,423.5,260,125
224,509,0.0604832543231,423.5,260,125
225,510,0.344021848202,424.0,260,124
226,511,0.0641068725305,424.0,260,124
227,512,0.138877483778,422.0,260,124
228,513,0.166541585631,423.5,260,124
229,514,0.044026301504,423.5,260,124
230,515,0.0250300547388,423.5,260,124
231,516,0.250039263913,422.5,260,124
232,517,0.352662124161,423.5,260,124
233,518,0.140194160428,423.0,260,124
234,519,0.0158739253271,423.0,260,124
235,520,0.345384116892,426.5,260,124
236,521,0.18773853905,424.0,260,124
237,522,0.0824262035363,424.0,260,124
238,523,0.176808385981,423.5,260,124
239,524,0.125424372366,424.0,260,124
240,525,0.112163446149,423.0,260,124
241,526,0.0382372507297,423.0,260,124
242,527,0.308009761136,423.5,260,124
243,528,0.219178501262,420.5,260,124
244,529,0.146183472896,420.5,260,124
245,530,0.27715763846,422.5,260,124
246,531,0.0847972761389,423.5,260,124
247,532,0.293375506188,423.5,260,124
248,533,0.216847460724,427.0,260,124
249,534,0.0252962886204,427.0,260,123
250,535,0.184803470843,425.5,260,124
251,536,0.0382491249523,425.5,260,124
252,537,0.283472424635,425.0,261,124
253,538,0.00549921924079,425.0,261,124
254,539,0.212988525012,426.0,261,124
255,540,0.292619815589,425.0,261,124
256,541,0.0977004763561,426.0,261,124
257,542,0.00383444661403,425.0,261,124
258,543,0.283832205202,429.0,261,124
259,544,0.149075229108,427.0,261,124
260,545,0.132820771407,425.5,261,124
261,546,0.0457248294767,424.5,261,124
262,547,0.0266345274253,424.5,261,124
263,548,0.162685459051,425.5,261,124
264,549,0.233236431923,426.5,261,124
265,550,0.158397687846,430.5,261,124
266,551,0.0162428107136,429.5,261,124
267,552,2.77955302188e-06,429.5,261,124
268,553,0.210877349779,426.0,261,124
269,554,0.0580059592062,424.0,261,124
270,555,0.0788779802561,424.0,261,124
271,556,0.271106971684,423.5,261,124
272,557,0.0231660596116,423.5,261,124
273,558,0.176725294715,423.0,261,124
274,559,0.281519779358,426.0,261,124
275,560,0.177086569727,428.0,261,124
276,561,0.0721327660181,428.5,261,124
277,562,0.0,428.5,261,124
278,563,0.183498138596,425.0,261,124
279,564,0.118849737461,423.5,261,124
280,565,0.0964584556206,424.5,261,124
281,566,0.267422990909,422.5,261,123
282,567,0.104328913841,423.5,261,123
283,568,0.25536370994,420.0,261,124
284,569,0.155120759631,421.5,261,124
285,570,0.193286581663,422.5,261,124
286,571,0.279142261427,426.5,261,124
287,572,0.0111368277675,427.0,261,124
288,573,0.242826287167,424.5,261,124
289,574,0.0721760707687,424.5,261,124
290,575,0.232053748845,422.0,261,124
291,576,0.312051472511,423.5,261,123
292,577,0.138921984043,423.5,261,123
293,578,0.249075336251,422.0,261,123
294,579,0.0684153315612,421.0,261,123
295,580,0.308602901723,424.5,261,123
296,581,0.222439880329,425.5,261,123
297,582,0.245159658293,424.5,261,123
298,583,0.183796171222,425.5,261,123
299,584,0.258088199464,425.5,261,123
300,585,0.44807675123,425.5,261,123
301,586,0.0700421097384,425.5,261,123
302,587,0.318137197133,420.0,260,123
303,588,0.183796920988,420.0,260,123
304,589,0.232466268631,425.5,260,123
305,590,0.181950895671,423.5,260,123
306,591,0.0855156900213,423.5,260,123
307,592,0.214902634277,423.5,260,123
308,593,0.302352253418,425.5,261,123
309,594,0.159955312001,425.5,261,123
310,595,0.285348340183,421.5,261,123
311,596,0.290812358692,424.0,260,123
312,597,0.130265824184,424.0,260,123
313,598,0.189797297247,427.5,260,123
314,599,0.153708804265,425.5,260,123
