,index,labDelta,area,center_x,center_y,eucDist
0,206,0.00252505287911,318.5,163,102,1.34423184
1,207,0.0240023131233,328.0,163,102,1.6180408
2,208,0.0241535480086,328.0,163,102,1.43008912
3,209,0.136391112901,328.0,163,102,1.52273888
4,210,0.146668731389,327.0,162,102,1.2821208
5,211,0.107549381681,327.0,162,102,1.00021856
6,212,0.114753735092,326.0,162,102,1.29747024
7,213,0.000611435290983,326.0,162,102,1.08307664
8,214,0.000850611794775,326.0,162,102,1.54407648
9,215,0.132347314314,326.0,162,102,1.21433472
10,216,0.124183423058,326.5,162,102,1.57953472
11,217,0.0328161561755,326.5,162,102,1.1917184
12,218,0.0710745574934,325.5,162,102,1.66656272
13,219,1.84805197405e-06,325.0,162,102,1.16152472
14,220,0.117485526585,324.0,162,102,1.69136144
15,221,0.127721576165,325.0,162,101,1.18063768
16,222,2.00771327359e-06,325.0,162,101,1.5041904
17,223,0.105662809963,329.5,163,101,1.02032864
18,224,0.0819637299516,329.5,163,101,1.20539512
19,225,0.0,329.5,163,101,1.37258128
20,226,0.0766278342577,327.5,163,101,1.29954352
21,227,0.155421584432,328.5,163,101,1.3353148
22,228,0.00167069599189,328.5,163,101,1.2051008
23,229,0.0869745497366,328.5,163,101,1.5926616
24,230,0.0528549469093,328.5,163,101,1.77466496
25,231,0.117598716797,327.5,163,101,1.66217072
26,232,0.0515385383924,329.5,163,101,1.61448576
27,233,0.000407119815482,329.5,163,101,1.6614952
28,234,0.0943092395654,328.5,163,101,1.44483232
29,235,0.000934794250823,328.5,163,101,1.21545752
30,236,0.0770300194181,327.5,163,101,1.53105536
31,237,0.096633767992,326.5,163,101,1.23221632
32,238,0.00070666654688,326.5,163,101,1.38502528
33,239,0.0995716484014,328.5,163,101,1.4606504
34,240,0.151448744028,335.0,163,101,1.54206928
35,241,0.137323700018,340.0,163,101,1.49183312
36,242,0.0425060364978,340.0,163,101,1.4637624
37,243,0.116035328353,346.0,163,101,1.78364496
38,244,0.0767009112786,346.0,163,101,1.15276424
39,245,0.00420111311654,342.0,163,101,1.51087968
40,246,2.76352266989e-06,342.0,163,101,1.247738
41,247,0.00475329929081,344.0,163,101,1.7616304
