,index,labDelta,area,center_x,center_y
0,194,0.244288138918,464.5,249,96
1,195,0.194938077613,463.5,249,96
2,196,0.329067672947,461.5,249,96
3,197,0.389773691406,461.5,249,96
4,198,0.363605801415,461.5,249,96
5,199,0.354320020009,466.5,249,96
6,200,0.337059088228,468.5,249,96
7,201,0.0444126901968,468.5,249,96
8,202,0.31625713776,474.5,249,96
9,203,0.355857617232,474.0,249,95
10,204,0.281944396513,471.5,249,95
11,205,0.415307230923,471.5,249,95
12,206,0.14824862557,473.5,249,95
13,207,0.151273801594,473.5,249,95
14,208,0.086881093464,474.5,249,95
15,209,0.592977773067,482.5,249,95
16,210,0.0804631156151,482.5,249,95
17,211,0.364809698576,481.5,249,95
18,212,0.430313206878,480.5,249,95
19,213,0.268701989197,482.0,249,95
20,214,0.558941653336,479.0,249,94
21,215,0.184943135776,478.0,249,94
22,216,0.191175745504,481.0,249,94
23,217,0.207888776705,480.0,249,94
24,218,0.206652225424,476.5,249,95
25,219,0.266206464352,476.5,249,94
26,220,0.0202692977302,476.5,249,94
27,221,0.395706049999,482.0,248,94
28,222,0.202401229048,483.0,248,94
29,223,0.0942855072188,483.5,248,94
30,224,0.484348821899,483.5,248,95
31,225,0.0093340852033,483.5,248,95
32,226,0.186832678405,487.0,248,95
33,227,0.190348736548,485.0,248,95
34,228,0.0927192190158,484.5,248,95
35,229,0.0951331592651,482.0,248,95
36,230,0.146233721117,480.0,249,95
37,231,0.0149914870833,480.0,249,95
38,232,0.304699087351,479.0,248,94
39,233,0.277496723894,482.0,248,94
40,234,0.245649281358,484.5,248,94
41,235,0.261400102601,483.0,248,94
42,236,0.0581799115962,483.0,248,94
43,237,0.521379295454,489.5,248,94
44,238,0.378480904706,485.5,248,94
45,239,0.364906648955,486.5,248,94
46,240,0.0844622804532,485.5,248,94
47,241,0.486317150388,485.5,248,94
48,242,0.204958804211,480.0,248,94
49,243,0.383198809378,483.0,249,94
50,244,0.406004678545,481.0,249,94
51,245,0.299148969443,479.0,249,94
52,246,0.0549659158092,478.0,249,94
53,247,0.220600979016,480.0,249,94
54,248,0.233224691154,476.0,249,94
55,249,0.210595481844,478.0,249,95
56,250,0.289672160443,481.0,249,95
57,251,0.0164727132643,481.0,249,95
58,252,0.36383419549,474.5,249,95
59,253,0.236285555265,479.5,249,95
60,254,0.429942074148,484.0,249,95
61,255,0.225167304875,486.0,249,95
62,256,0.136493232644,483.0,249,95
63,257,0.122616457155,483.5,249,95
64,258,0.0666899408314,483.5,249,95
65,259,0.406041233818,480.5,249,95
66,260,0.310033809686,481.5,249,95
67,261,0.191583764555,482.5,249,95
68,262,0.219447760823,482.5,249,95
69,263,0.254224199039,483.0,249,95
70,264,0.4438902908,484.0,249,95
71,265,0.242612274709,479.5,249,95
72,266,0.290615673852,482.0,249,95
73,267,0.3425890599,480.0,249,95
74,268,0.294117412164,477.5,249,95
75,269,0.338364740736,477.0,249,94
76,270,0.397350076106,477.0,249,95
77,271,0.113731888759,477.0,249,95
78,272,0.530091730905,482.5,249,95
79,273,0.173899349585,482.5,249,95
80,274,0.307679334886,484.0,249,95
81,275,0.0685935942442,484.0,249,95
82,276,0.543871972476,480.0,249,94
83,277,0.208929098246,481.0,249,94
84,278,0.265518390964,479.5,249,94
85,279,0.0376003438956,479.5,249,94
86,280,0.209374942775,479.0,249,94
87,281,0.0796807166654,479.0,249,94
88,282,0.165392587829,480.5,249,94
89,283,0.374327027509,483.5,249,94
90,284,0.0350142630436,482.5,249,94
91,285,0.178130747199,481.5,249,94
92,286,0.244886133308,480.0,249,94
93,287,0.225294675118,481.0,249,94
94,288,0.0369577909395,481.0,249,94
95,289,0.190059346771,480.5,249,94
96,290,0.155306665458,482.0,249,94
97,291,0.149564423615,479.0,249,94
98,292,0.261788568812,482.5,249,94
99,293,0.314281843954,479.0,249,94
100,294,0.28039643125,480.5,249,94
101,295,0.28965073053,481.5,249,94
102,296,0.422290806153,481.5,249,94
103,297,0.109765279891,481.5,249,94
104,298,0.294863465458,481.0,249,94
105,299,0.336929862437,476.0,249,94
106,300,0.406487372082,477.5,249,94
107,301,0.315169888289,481.0,249,94
108,302,0.0480590666084,481.0,249,94
109,303,0.197706037881,479.0,249,94
110,304,0.160724850237,479.0,249,94
111,305,0.235526434024,478.0,249,94
112,306,0.078111193804,478.0,249,94
113,307,0.196499338976,480.5,250,94
114,308,0.179403912676,480.5,250,94
115,309,0.307881321771,483.5,250,94
116,310,0.275717383045,483.5,250,94
117,311,0.438885462704,486.5,250,94
118,312,0.30177151286,489.0,250,94
119,313,0.090834989693,488.0,250,94
120,314,0.172334981366,486.5,250,94
121,315,0.320369815426,485.5,250,94
122,316,0.377940060228,482.5,250,94
123,317,0.296655645447,482.0,250,94
124,318,0.394551542113,482.0,250,94
125,319,0.269289393445,485.0,250,94
126,320,0.511340342075,485.0,250,94
127,321,0.287830267777,485.0,250,94
128,322,0.500803131228,481.0,250,94
129,323,0.514437566596,481.5,250,94
130,324,0.423524098739,481.5,251,95
131,325,0.400092392716,481.5,251,94
132,326,0.290829992542,480.0,251,94
133,327,0.486261395261,481.5,251,95
134,328,0.185446148627,481.5,251,95
135,329,0.124139610339,481.5,251,95
136,330,0.405570544316,480.5,250,95
137,331,0.200056558333,482.0,250,95
138,332,0.269492135347,478.0,250,94
139,333,0.107038276315,478.0,250,94
140,334,0.117927893699,479.0,250,94
141,335,0.278455450164,478.5,250,95
142,336,0.260888420522,481.5,250,95
143,337,0.0211446675782,481.5,250,95
144,338,0.372643161542,480.0,250,94
145,339,0.220222034014,480.0,250,94
146,340,0.198921302757,480.0,250,94
147,341,0.248944611042,481.0,250,94
148,342,0.197266151986,480.0,250,94
149,343,0.284072250095,481.0,250,94
150,344,0.268086411618,479.0,250,94
151,345,0.0741126065369,479.0,250,94
152,346,0.324537504298,480.5,250,94
153,347,0.398263302157,482.0,250,94
154,348,0.0984954516007,482.0,250,94
155,349,0.531847370018,482.5,250,94
156,350,0.150339017883,482.5,250,94
157,351,0.417581527619,483.0,250,94
158,352,0.301892700528,482.0,250,94
159,353,0.226696323001,483.0,250,94
160,354,0.100151178096,483.0,250,94
161,355,0.0835763249659,483.0,250,94
162,356,0.19909102504,480.0,250,94
163,357,0.111642929465,481.0,250,94
164,358,0.364891340302,480.5,250,94
165,359,0.438452364152,484.5,250,94
166,360,0.169842281465,484.5,250,94
167,361,0.256559747456,482.5,250,94
168,362,0.215917740386,483.5,250,94
169,363,0.279064475032,484.5,250,94
170,364,0.0663937495329,484.5,250,94
171,365,0.223374863669,484.5,250,94
172,366,0.255486946602,486.0,250,94
173,367,0.0664113799782,486.0,250,94
174,368,0.154518493657,487.0,250,94
175,369,0.201960728736,486.5,250,94
176,370,0.0546291987577,486.5,250,94
177,371,0.298002562123,485.0,250,94
178,372,0.448550715688,485.5,250,94
179,373,0.356603167061,484.5,251,94
180,374,0.0533781912399,484.5,251,94
181,375,0.25159586962,486.5,251,94
182,376,0.328388958767,483.5,251,94
183,377,0.371563085991,478.0,250,94
184,378,0.29566297801,480.5,250,94
185,379,0.221036760263,482.0,250,94
186,380,0.256704656328,481.0,250,94
187,381,0.0547063506696,481.0,250,94
188,382,0.230872272962,480.0,250,94
189,383,0.487993923468,482.5,250,94
190,384,0.138104967676,482.5,250,94
191,385,0.509252108472,485.0,250,94
192,386,0.238448936984,482.5,250,94
193,387,0.172522296006,483.5,250,94
194,388,0.266799427921,487.0,250,94
195,389,0.41573555157,480.0,250,94
196,390,0.252330350378,481.0,250,94
197,391,0.0631712316866,480.0,250,94
198,392,0.118968320208,482.0,250,94
199,393,0.353076702186,477.0,250,94
200,394,0.338485946315,478.5,251,94
201,395,0.316158431503,477.0,251,95
202,396,0.0564023609522,477.0,251,95
203,397,0.165381642168,476.0,251,95
204,398,0.279023937734,478.0,250,94
205,399,0.447257148631,479.0,250,95
206,400,0.404641867725,480.5,250,94
207,401,0.0314052652214,480.5,250,94
208,402,0.371894737587,480.0,250,94
209,403,0.462368868214,480.5,250,94
210,404,0.379787341112,476.5,251,94
211,405,0.12659498709,477.5,251,94
212,406,0.399505895622,478.5,251,94
213,407,0.341188762476,477.5,251,94
214,408,0.530824272819,479.0,250,95
215,409,0.442441276698,484.0,250,95
216,410,0.270993057056,485.0,250,95
217,411,0.452467616568,482.0,250,95
218,412,0.313125915148,478.0,250,95
219,413,0.27887481559,479.5,250,94
220,414,0.201050208248,478.5,250,94
221,415,0.327043741062,478.0,250,94
222,416,0.22698915274,478.0,250,94
223,417,0.0235812913127,478.0,250,94
224,418,0.235850533962,478.0,251,94
225,419,0.200744777347,476.0,251,94
226,420,0.276391343625,478.0,251,94
227,421,0.262834639926,477.5,251,95
228,422,0.164452260677,479.5,251,95
229,423,0.236387732511,479.0,251,95
230,424,0.475981556244,477.5,250,94
231,425,0.419988912226,478.5,250,94
232,426,0.140178109325,478.5,250,94
233,427,0.365476107589,478.5,250,94
234,428,0.429482243715,481.0,250,94
235,429,0.355025177371,489.0,250,94
236,430,0.386283452981,488.5,250,94
237,431,0.0806602190022,489.0,250,94
238,432,0.474911900073,478.5,251,94
239,433,0.272914585193,483.0,251,94
240,434,0.189372828455,481.0,251,94
241,435,0.35672313117,480.0,251,94
242,436,0.366559569402,481.5,251,95
243,437,0.0540900562857,481.5,251,95
244,438,0.306795303869,484.5,251,95
245,439,0.177647258092,480.5,251,95
246,440,0.221332493981,483.5,251,95
247,441,0.0859028699465,483.5,251,95
248,442,0.357301588383,482.0,251,95
249,443,0.407135972878,479.5,250,95
250,444,0.220497300907,477.5,250,95
251,445,0.265933221586,476.0,250,95
252,446,0.000689723043302,476.0,250,95
253,447,0.321833261036,481.0,251,95
254,448,0.145334352109,484.0,251,95
255,449,0.297552078257,484.0,251,95
256,450,0.348139111744,481.5,251,95
257,451,0.170765008175,481.0,251,95
258,452,0.165090284011,481.5,251,95
259,453,0.361159446064,483.0,251,95
260,454,0.0389709407456,483.0,251,95
261,455,0.279575105164,484.0,251,95
262,456,0.345588201542,484.5,251,95
263,457,0.480780148246,479.5,252,95
264,458,0.215464721068,479.5,252,95
265,459,0.438715542709,484.0,251,95
266,460,0.221947647956,485.0,252,95
267,461,0.385820778958,480.5,252,95
268,462,0.00573087383435,480.5,252,95
269,463,0.248420623875,482.5,252,95
270,464,0.449197546771,483.0,252,95
271,465,0.445433472006,481.5,251,95
272,466,0.428023312405,484.0,252,95
273,467,0.037619236664,484.0,252,95
274,468,0.45245428963,480.5,251,95
275,469,0.172803242122,481.0,251,95
276,470,0.424601681256,478.0,251,94
277,471,0.143399845688,478.0,251,94
278,472,0.308819579388,477.5,251,94
279,473,0.246986315467,477.5,251,94
280,474,0.087154214197,477.5,251,94
281,475,0.326482246455,479.0,251,94
282,476,0.109704447069,479.0,251,94
283,477,0.323779034885,480.0,251,94
284,478,0.296897389118,479.0,251,94
285,479,0.20298347875,480.0,251,94
286,480,0.308392341371,483.0,251,94
287,481,0.258438176323,480.0,251,94
288,482,0.0633969586561,480.0,251,94
289,483,0.19425535648,480.5,251,94
290,484,0.447708858515,482.0,251,94
291,485,0.377002754773,482.5,251,94
292,486,0.474244528123,477.5,251,94
293,487,0.231447080183,481.0,251,94
294,488,0.275661468288,480.0,251,94
295,489,0.28365228646,480.5,251,94
296,490,0.0440057841624,480.5,251,94
297,491,0.358774011075,483.0,251,95
298,492,0.416753411536,478.5,251,94
299,493,0.147533154521,478.5,251,94
300,494,0.335001927999,477.5,251,94
301,495,0.323952604066,478.0,251,95
302,496,0.404818374632,484.0,251,95
303,497,0.170609406492,484.0,251,95
304,498,0.342715822853,480.0,251,94
305,499,0.163210189076,480.0,251,94
306,500,0.313902856552,481.0,251,94
307,501,0.127567778893,482.0,251,94
308,502,0.276838616297,480.0,251,94
309,503,0.124802419924,480.0,251,94
310,504,0.0541011002195,481.0,251,94
311,505,0.107178552928,483.0,251,94
312,506,0.265536677988,480.0,251,94
313,507,0.0295227323116,480.0,251,94
314,508,0.166651977326,482.0,251,94
315,509,0.21289448285,482.5,251,94
316,510,0.419396082231,484.5,251,94
317,511,0.0398867348667,484.5,251,94
318,512,0.121205136179,482.5,251,94
319,513,0.131535586451,482.5,251,94
320,514,0.289541979877,485.0,251,94
321,515,0.425100130561,487.0,252,94
322,516,0.192871555688,486.5,252,94
323,517,0.275383935325,484.5,252,94
324,518,0.385605391515,482.5,252,94
325,519,0.149765435224,483.5,252,94
326,520,0.117439288637,483.0,252,94
327,521,0.173100573379,482.5,252,94
328,522,0.165483710886,483.0,252,94
329,523,0.0986012854039,482.0,252,94
330,524,0.0146083894053,481.0,252,94
331,525,0.0759609754224,482.5,252,94
332,526,0.139950660386,482.5,252,94
333,527,0.0225109106445,482.0,252,94
334,528,0.139032937392,483.5,252,94
335,529,0.0270589755807,483.0,252,94
336,530,0.312535609267,483.0,252,94
337,531,0.195176071486,480.5,252,94
338,532,0.096714835146,480.5,252,94
339,533,0.0889243230235,479.5,252,94
340,534,0.000987721483577,479.5,252,94
341,535,0.219493352018,482.5,252,94
342,536,0.2633214391,482.5,251,94
343,537,0.157624382874,482.0,252,94
344,538,0.120834843015,483.0,252,94
345,539,0.395045381221,488.0,252,94
346,540,0.14101207702,488.0,252,94
347,541,0.228965949951,487.0,252,94
348,542,0.384742104393,483.0,252,94
349,543,0.297686947946,489.0,252,94
350,544,0.213174997521,489.5,252,94
351,545,0.282263479132,489.5,252,94
352,546,0.363700404411,482.5,252,94
353,547,0.021607266074,482.5,252,94
354,548,0.303961604771,481.5,252,94
355,549,0.330182039427,483.0,252,94
356,550,0.138097974167,483.0,252,94
357,551,0.355949131156,481.5,252,94
358,552,0.450648863687,481.5,252,95
359,553,0.595854426318,475.5,252,95
360,554,0.398618575211,470.5,253,96
361,555,0.0971360818796,469.5,253,96
362,556,0.314798442861,472.0,253,96
363,557,0.246907642995,473.0,253,96
364,558,0.0664255017554,472.0,253,96
365,559,0.000395431820499,472.0,253,96
366,560,0.291433997775,474.0,253,96
367,561,0.241365693518,471.5,253,96
368,562,0.339260227984,472.5,253,97
369,563,0.131096122525,472.5,253,97
370,564,0.370981895491,470.5,253,97
371,565,0.394451833734,476.5,253,97
372,566,0.153587043734,474.5,253,97
373,567,0.405706607357,471.0,253,97
374,568,0.234477590733,468.0,253,97
375,569,0.112264840586,470.0,253,97
