,index,labDelta,area,center_x,center_y
0,390,0.000185047163378,357.5,200,144
1,391,0.000286519006379,379.0,199,143
2,392,2.74435965444e-06,379.0,199,143
3,393,0.000137433173669,379.0,199,143
4,394,0.0,379.0,199,143
5,395,0.000175542252631,387.5,200,143
6,396,3.0887827823e-07,387.5,200,143
7,397,4.31995045453e-05,386.5,200,143
8,398,7.2273023296e-05,385.0,200,143
9,399,0.0,385.0,200,143
10,400,0.000322515476073,366.0,200,143
11,401,0.0,366.0,200,143
12,402,0.000262619107962,363.0,200,143
13,403,0.0,363.0,200,143
14,404,5.59979235228e-05,366.0,199,142
15,405,0.000107392714732,374.5,199,142
16,406,0.0,374.5,199,142
17,407,0.000174088398861,376.0,200,142
18,408,0.0,376.0,200,142
19,409,0.000302049967312,360.5,200,142
20,410,0.000118840426406,359.0,200,142
21,411,0.0,359.0,200,142
22,412,0.000101508917021,363.0,200,141
23,413,5.39238124188e-07,363.0,200,141
24,414,5.86093211138e-05,360.0,200,141
25,415,0.0,360.0,200,141
26,416,4.64194922987e-05,361.5,200,142
27,417,1.30491031206e-05,361.5,200,142
28,418,0.0,361.5,200,142
29,419,0.000101118249372,367.0,199,141
30,420,0.0,367.0,199,141
31,421,0.000168793348122,371.5,200,141
32,422,6.18129474508e-05,369.5,200,141
33,423,6.95965201354e-05,372.5,200,141
34,424,0.0,372.5,200,141
35,425,0.000181480238166,364.0,201,142
36,426,0.0,364.0,201,142
37,427,6.45538568946e-05,366.5,200,141
38,428,0.000111904535186,370.5,200,141
39,429,0.0,370.5,200,141
40,430,6.76713713883e-05,368.0,200,141
41,431,0.000122131665612,376.5,200,141
42,432,0.0,376.5,200,141
43,433,0.0,376.5,200,141
44,434,0.000116083794195,369.5,200,141
45,435,0.000152144784214,373.5,200,141
46,436,3.55013227706e-07,373.5,200,141
47,437,0.000151903794263,377.5,200,141
48,438,4.88442572072e-07,377.5,200,141
49,439,0.000125812098455,385.5,200,141
50,440,4.45105627141e-07,385.5,200,141
51,441,8.15090084697e-05,388.0,200,141
52,442,6.88314240838e-05,386.5,200,141
53,443,0.0,386.5,200,141
54,444,0.00013709374425,385.5,201,141
55,445,0.0,385.5,201,141
56,446,0.000252139035046,383.0,200,141
