,index,labDelta,area,center_x,center_y
0,404,0.114888461594,22.5,221,89
1,405,0.107048339404,21.5,221,89
2,406,0.105545967916,21.5,221,89
3,407,0.04196583098,21.5,221,89
4,408,0.0926788442293,21.5,221,89
5,409,0.107796311829,21.0,221,89
6,410,0.0434019545334,22.0,221,89
7,411,0.0816328311791,22.0,221,89
8,412,0.0,22.0,221,89
9,413,0.138199781083,22.0,222,89
10,414,0.105676516788,22.5,222,89
11,415,0.0085306639314,22.0,222,89
12,416,0.00418295246216,22.0,222,89
13,417,0.156809644092,22.0,221,89
14,418,0.0406299759597,22.0,221,89
15,419,0.133443988798,23.0,222,89
16,420,0.102734599051,21.0,222,89
17,421,0.0653272013613,19.5,222,88
18,422,0.0214919624192,19.5,222,88
19,423,0.122734623485,21.5,222,89
20,424,0.00198948482258,21.5,222,89
21,425,0.0522655501588,22.0,222,89
22,426,0.0724930843409,22.0,222,89
23,427,0.0348368515891,22.5,222,89
24,428,0.0702637602069,20.5,222,89
25,429,9.01085707651e-05,20.5,222,89
26,430,0.142581512628,20.0,222,88
27,431,0.111368073802,20.5,222,88
28,432,0.00284003204434,20.5,222,88
29,433,0.144435352134,21.0,222,88
30,434,0.00227448681184,21.0,222,88
31,435,0.135807980233,20.5,222,88
32,436,0.0684409188867,21.0,222,88
33,437,0.000154219632602,21.0,222,88
34,438,0.10655399452,20.5,222,88
35,439,0.000571371030839,20.5,222,88
36,440,0.205756638456,23.0,222,88
37,441,0.210148357055,20.0,222,88
38,442,0.00188897740615,20.0,222,88
39,443,0.0653042187237,21.0,222,89
40,444,0.0112150391338,21.0,222,89
41,445,0.00909808263198,21.0,222,89
42,446,0.041844619354,20.5,222,89
43,447,0.13307090516,20.5,222,88
44,448,0.102786149697,20.5,222,88
45,449,0.121579448459,22.5,222,88
46,450,0.19362342133,22.5,222,88
47,451,0.00108617915392,22.5,222,88
48,452,0.186553261352,23.5,222,88
49,453,0.0224060803159,25.0,223,88
50,454,0.151449421467,22.0,222,88
51,455,1.06405625177e-05,22.0,222,88
52,456,0.144757356998,20.5,222,88
53,457,0.0,20.5,222,88
54,458,0.219081284881,23.0,223,88
55,459,0.0179379188917,23.0,223,88
56,460,0.139411534245,22.0,223,88
57,461,0.130822060149,23.0,223,88
58,462,0.0977820925474,21.0,223,89
59,463,0.00730014311767,21.0,223,89
60,464,0.0,21.0,223,89
61,465,0.141363810194,22.0,222,88
62,466,0.156207323513,22.5,222,88
63,467,8.56480217396e-05,22.5,222,88
64,468,0.187365630554,22.5,222,88
65,469,0.103506769962,22.0,222,88
66,470,0.0264805560106,22.0,222,88
67,471,0.0739231502658,22.5,222,88
68,472,0.081852134181,22.5,222,88
69,473,0.0795249196148,22.5,222,88
70,474,0.16299307662,23.5,222,88
71,475,0.00662041174605,23.5,222,88
72,476,0.150535280503,22.5,222,88
73,477,0.196045406574,23.0,222,88
74,478,0.116056773063,23.0,222,88
75,479,0.19009912615,22.0,222,88
76,480,0.0103771623188,22.0,222,88
77,481,0.137326850959,22.5,222,88
78,482,0.152911031544,23.5,223,88
79,483,0.101442534394,23.5,223,88
80,484,0.000795597060451,23.5,223,88
81,485,0.145579358638,24.0,222,88
82,486,0.0507634740654,24.0,222,88
83,487,0.156818057881,23.0,222,88
84,488,0.019656081036,23.0,222,88
85,489,0.0860450277423,23.0,222,88
86,490,0.0645101052326,23.0,222,88
87,491,0.0803473661207,22.0,222,88
88,492,0.134728311957,24.0,222,88
89,493,0.0384884020177,24.0,222,88
90,494,0.0863971136343,23.0,223,88
91,495,0.0193304321308,23.0,223,88
92,496,0.1290403293,23.0,222,88
93,497,0.126811490558,24.0,222,88
94,498,0.00738297694667,24.0,222,88
95,499,0.125191387939,24.0,223,88
96,500,0.122337949708,24.0,223,88
97,501,0.0,24.0,223,88
98,502,0.127393462238,25.0,223,88
99,503,0.00257468135673,25.0,223,88
100,504,0.14286887871,24.0,222,88
101,505,0.151608498416,23.0,223,88
102,506,0.0515719988086,23.0,223,88
103,507,0.136208500142,25.0,223,88
104,508,0.132175741483,25.0,223,88
105,509,0.0350198123077,25.0,223,88
106,510,0.239544091045,24.0,223,87
107,511,0.0128249065599,24.0,223,87
108,512,0.112469364943,22.5,223,87
109,513,0.259892544204,24.0,223,88
110,514,0.06116449794,24.0,223,88
111,515,0.155911571348,24.0,223,88
112,516,0.25906120993,23.5,223,88
113,517,0.178233205781,23.0,223,88
114,518,0.00482935913891,23.0,223,88
115,519,0.264149279247,22.5,223,88
116,520,0.275633751828,23.0,224,88
117,521,0.064789501329,23.0,224,88
118,522,0.217002306519,19.5,224,89
119,523,0.146159320471,20.5,224,89
120,524,0.0254416489735,20.5,224,89
121,525,0.235961531529,21.5,224,89
122,526,0.200251465991,22.5,224,89
123,527,0.0705487061019,22.5,224,89
124,528,0.220614538871,22.0,224,89
125,529,0.119192722034,19.5,224,89
126,530,0.00317400481196,19.5,224,89
127,531,0.0515583546517,19.5,224,89
128,532,0.0120694188521,18.5,224,89
129,533,0.00296308205655,18.5,224,89
130,534,0.128917302523,20.5,224,89
131,535,0.000619278824303,20.5,224,89
132,536,0.210047298705,20.0,224,88
133,537,0.0955047541896,20.5,224,88
134,538,0.111162263501,20.5,224,88
135,539,0.281638777867,21.0,224,88
136,540,0.043566573904,21.0,224,88
137,541,0.00146151642372,21.0,224,88
138,542,0.18003533373,21.5,224,88
139,543,0.000168579857916,21.5,224,88
140,544,0.142621045169,22.0,224,88
141,545,0.202400824185,23.0,224,88
142,546,0.0604933349134,23.0,224,88
143,547,0.166819213231,22.0,224,88
144,548,0.00509634152182,22.0,224,88
145,549,0.26371459928,23.5,224,88
146,550,0.209964504371,23.5,224,88
147,551,0.271791467061,21.5,224,88
148,552,0.0415172276182,21.5,224,88
149,553,0.22483572433,22.5,224,88
150,554,0.266148476468,23.5,224,88
151,555,0.149308732235,23.5,224,88
152,556,0.248543013241,24.0,225,88
153,557,0.175503451127,24.0,224,88
154,558,0.000881707758349,24.0,224,88
155,559,0.0626311292347,22.0,224,88
156,560,0.0538455374635,21.0,224,88
157,561,0.0505063335563,21.0,224,88
158,562,0.153854279844,22.5,224,88
159,563,0.149015763201,22.5,224,88
160,564,0.00369256834792,22.5,224,88
161,565,0.0879312542624,22.5,224,88
162,566,0.207513065635,23.0,225,88
163,567,9.55145515485e-05,23.0,225,88
164,568,0.154600136123,21.0,225,88
165,569,0.11434919862,23.5,224,88
166,570,0.00173512271836,23.5,224,88
167,571,0.154469140334,23.0,225,89
168,572,0.000565811298634,23.0,225,89
169,573,0.137697625738,20.0,225,88
170,574,0.0523268613573,21.0,225,88
171,575,0.00479613339582,21.0,225,88
172,576,0.132220929,21.0,225,88
173,577,0.00170554094612,21.0,225,88
174,578,0.11683586374,21.5,225,89
175,579,0.0121358625327,20.5,225,89
176,580,0.0214980161522,20.5,225,89
177,581,0.140974443693,23.0,225,89
178,582,0.00149314126095,23.0,225,89
179,583,0.16561529748,22.0,225,88
180,584,0.0795755453791,21.0,225,88
181,585,0.12612023704,19.5,225,88
182,586,0.00633526606202,19.5,225,88
183,587,0.0843903377918,24.0,225,88
184,588,0.162247008692,20.5,225,89
185,589,0.00158490043979,20.5,225,89
186,590,0.117604487503,22.0,225,89
187,591,0.144315056618,23.0,225,89
188,592,0.0429898268514,23.0,225,89
189,593,0.35590670879,21.5,224,90
190,594,0.362197588343,22.0,223,91
191,595,9.54306877127e-07,21.5,223,91
192,596,3.83011439228e-05,21.0,223,91
193,597,3.31421126502e-06,21.0,223,91
194,598,1.16677679721e-05,19.5,223,91
