,index,labDelta,area,center_x,center_y,eucDist
0,251,0.120625828233,474.5,248,168,0.95926984
1,252,0.0628143981644,473.5,248,167,0.90662328
2,253,0.00411719578782,473.5,248,167,0.99762384
3,254,0.0965793342106,473.5,248,167,1.14070688
4,255,0.123043623428,471.5,248,167,1.016948
5,256,0.0961382302163,473.0,248,167,0.99402608
6,257,0.11287129497,472.5,248,167,1.0881072
7,258,0.0112094885939,472.5,248,167,1.02611944
8,259,0.106313405209,471.5,248,167,0.97492224
9,260,0.157254745063,474.0,248,168,1.02588256
10,261,0.114746966416,474.0,248,168,1.04416856
11,262,0.100957092623,474.5,248,168,1.01731264
12,263,0.00400611814823,474.5,248,168,1.01305112
13,264,0.194635913149,476.0,248,168,1.03288992
14,265,0.155642782148,476.5,248,168,1.0859556
15,266,0.0410477807431,475.0,248,168,0.98261592
16,267,0.181533389352,471.5,248,167,1.0048136
17,268,0.164265916373,471.5,248,167,1.0198688
18,269,0.0906332030355,471.5,248,167,1.11394904
19,270,0.0776066817428,472.5,248,167,1.09479656
20,271,0.011381667256,472.5,248,167,1.00328064
21,272,0.0760682251685,473.5,248,168,1.0943464
22,273,0.121530296619,471.5,248,167,0.92514392
23,274,0.0551209543514,473.5,248,167,1.11435928
24,275,0.0740613477676,472.5,248,167,0.92729104
25,276,0.015227151139,472.5,248,167,1.26854576
26,277,0.092934221718,472.5,248,167,0.86776792
27,278,0.0268911974208,472.5,248,167,0.92152696
28,279,0.107362844534,474.5,248,168,0.91384568
29,280,0.130710714125,474.0,248,167,1.08919624
30,281,0.131750115048,472.5,248,167,0.9287168
31,282,0.0681644052713,474.0,248,167,1.00018352
32,283,0.0753054746254,474.0,248,167,1.09141808
33,284,0.15122328553,474.0,248,167,1.04542928
34,285,0.118479924457,472.0,248,167,0.96721528
35,286,0.15345876801,476.0,248,167,1.00566264
36,287,0.172501286952,475.5,249,168,0.97967696
37,288,0.191286614416,475.5,249,168,1.02372088
38,289,0.0259437298392,475.5,249,168,1.10728288
39,290,0.182329032702,474.5,248,167,1.00901072
40,291,0.161359915452,472.5,248,167,1.09299824
41,292,0.0952907784845,475.5,248,167,1.10584768
42,293,0.0323845832165,475.5,248,167,0.96895928
43,294,0.0394339559162,474.0,248,167,1.27746488
44,295,0.0985088081543,475.5,248,167,0.98339328
45,296,0.0545502071581,474.5,248,167,1.26294336
46,297,0.0238612773683,474.5,248,167,1.12223584
47,298,0.0449924617105,474.5,248,167,1.25946336
48,299,0.169520172507,474.5,248,167,1.08694584
49,300,0.133561905004,474.0,248,166,1.29894032
50,301,0.0106690704286,474.0,248,166,1.11692568
51,302,0.124396199964,472.5,248,167,1.1444712
52,303,0.120003669159,473.0,248,167,1.16192416
53,304,0.103806046721,474.5,248,167,1.19956144
54,305,0.10361711449,475.5,248,167,1.04429504
55,306,0.153743559868,470.5,248,166,1.10547312
56,307,0.123882621633,469.0,247,166,0.96454496
57,308,0.142715484384,468.0,247,166,1.20068944
58,309,0.167042682753,475.5,248,166,1.1205104
59,310,0.0986812797055,475.5,248,166,1.11371016
60,311,0.16774063843,477.0,248,167,1.05058624
61,312,0.108134002004,475.5,248,167,1.13789224
62,313,0.128722826726,475.0,248,167,1.12265552
63,314,0.0376419697998,475.0,248,167,1.21003144
64,315,0.0976344025241,476.5,248,167,1.17032952
65,316,0.0760415285957,474.0,248,166,1.16663712
66,317,0.0642673850161,473.0,248,166,1.13975776
67,318,0.160628846013,470.5,248,166,1.14488008
68,319,0.0867639444355,470.5,248,166,1.12168184
69,320,0.0346799203716,470.5,248,166,1.04959928
70,321,0.147788095899,473.5,248,167,1.0750952
71,322,0.134895627378,474.0,248,167,1.20735424
72,323,0.151158132076,473.5,248,167,1.03634576
73,324,0.0344362643537,473.5,248,167,1.24890192
74,325,0.113687000937,472.0,248,167,1.08395744
75,326,0.154004914847,473.5,248,167,1.122836
76,327,0.0729843925251,475.0,249,167,1.21798592
77,328,0.0273519122774,475.0,249,167,1.09840792
78,329,0.109908250323,473.5,249,167,1.06112976
79,330,0.189838225064,473.5,249,167,1.23134
80,331,0.137569166722,474.0,249,167,1.04790448
81,332,0.125268083093,474.0,249,167,1.24568656
82,333,0.182537336998,473.0,249,167,1.13992448
83,334,0.20572729249,475.5,249,167,1.19440888
84,335,0.156040035078,476.0,249,168,1.25785696
85,336,0.00134070186749,476.0,249,168,1.12436888
86,337,0.122539408486,475.5,249,168,1.22008624
87,338,0.197325117538,474.0,249,167,1.12835312
88,339,0.159275240174,472.0,249,167,1.23144728
89,340,0.104613978036,474.0,249,167,1.18593904
90,341,0.0815901480405,474.0,249,167,1.16173056
91,342,0.143901323495,473.0,249,167,1.15458224
92,343,0.0790324058957,475.0,249,167,1.16299208
93,344,0.0402427795748,475.0,249,167,0.99849424
94,345,0.110285179944,475.0,249,167,1.24336224
95,346,0.156869254183,472.5,249,167,1.10089664
96,347,0.0769995960063,474.5,249,167,1.26606048
97,348,0.124542827659,476.0,248,167,1.18581792
98,349,0.0385404476069,476.0,248,167,1.1519264
99,350,0.0743923565144,474.5,248,167,1.33735088
100,351,0.0880038961436,475.0,248,167,1.07057112
101,352,0.116746691284,473.0,248,167,1.1857936
102,353,0.138471940382,471.0,248,167,1.12693856
103,354,0.0998727287785,473.5,248,167,1.3103492
104,355,0.061634811287,473.5,248,167,1.09019296
105,356,0.113731280144,475.0,248,167,1.2346696
106,357,0.148219375928,475.0,248,167,1.14031488
107,358,0.123595481078,475.5,248,167,1.23839432
108,359,0.101555529313,472.5,248,167,1.12614768
109,360,0.0813234829314,472.5,248,167,1.2178032
110,361,0.0595002837167,474.0,248,167,1.12977488
111,362,0.0576514382684,474.5,248,167,1.20456936
112,363,0.104195157022,474.0,248,167,1.17491808
113,364,0.0328512218787,474.0,248,167,1.31587056
114,365,0.0741267141888,474.5,248,167,1.01776272
115,366,0.116755188322,472.5,248,167,1.34209496
116,367,0.134362233308,473.5,248,167,1.204572
117,368,0.00132573872824,473.5,248,167,1.1827144
118,369,0.149579910524,474.5,248,167,1.24851848
119,370,0.00266251424476,474.5,248,167,1.28893192
120,371,0.12674014649,475.5,248,167,1.31900184
121,372,0.139194619463,477.0,248,167,1.5513184
122,373,0.146344090647,475.5,248,167,1.30916552
123,374,0.179554398365,475.5,248,167,1.36216112
124,375,0.146760570959,474.0,248,167,1.21072872
125,376,0.0673231980276,474.0,248,167,1.44964112
126,377,0.165229867513,475.0,249,167,1.07310016
127,378,0.0850734897337,474.5,249,167,1.06127704
128,379,0.0602105217267,475.5,249,167,1.0604908
129,380,0.0954752947747,476.5,249,167,1.13506128
130,381,0.0474842806787,476.5,249,167,1.16758112
131,382,0.125387051239,473.0,248,166,1.0163272
132,383,0.0666830572588,473.5,248,166,1.10264184
133,384,0.149946868706,473.5,248,166,1.04705784
134,385,0.0110064150997,473.5,248,166,0.98218184
135,386,0.157289155488,476.5,249,166,1.04011736
136,387,0.177571150429,479.5,249,167,0.91391104
137,388,0.107864825911,476.5,249,167,1.0062968
138,389,0.0865001205541,474.5,249,166,0.94971856
139,390,0.0990931547902,473.0,249,166,0.94661336
140,391,0.0572519085845,473.0,249,166,1.05365384
141,392,0.107849093236,477.5,249,167,1.0648356
142,393,0.065659362247,476.5,249,167,0.95159016
143,394,0.105593272955,477.5,249,167,1.07095928
144,395,0.143215993563,475.0,248,166,1.0381476
145,396,0.0539087093015,476.0,248,166,0.96389544
146,397,0.109526498549,476.5,248,166,0.95602536
147,398,0.126971565175,474.5,248,166,0.94988208
148,399,0.158326594132,475.5,248,166,1.0028956
149,400,0.150236819707,475.0,249,166,0.94466032
150,401,0.138094401868,475.0,249,166,1.0180684
151,402,0.147085350088,477.0,249,166,1.14248712
152,403,0.165456832937,475.0,249,166,1.06481192
153,404,0.0831987706107,475.5,249,166,1.23130704
154,405,0.101093503313,475.5,249,166,1.0381916
155,406,0.164045247549,476.0,249,166,1.20028896
156,407,0.118586769971,474.0,248,166,1.00704536
157,408,0.114453230898,474.5,249,166,1.16874136
158,409,0.0301721072277,476.5,249,166,0.92401432
159,410,0.204600878466,476.0,249,166,1.20539424
160,411,0.228789547858,476.0,249,166,0.98503888
161,412,0.133082680198,475.0,249,166,1.13591848
162,413,0.0922251503718,478.0,249,166,1.08871024
163,414,0.0686476055512,475.0,249,166,1.2248804
164,415,0.157020361167,477.5,249,167,0.9613624
165,416,0.0787989766346,476.5,249,167,1.16224096
166,417,0.182296304207,477.5,249,167,1.0073576
167,418,0.00274527146274,477.5,249,167,1.02018024
168,419,0.141659215166,474.0,249,166,1.0033208
169,420,0.135172510401,476.0,249,166,1.06843968
170,421,0.159880567617,473.0,249,166,1.07651976
171,422,0.189028372234,473.5,249,167,1.11068408
172,423,0.106298754919,476.5,249,167,1.04581416
173,424,0.0979140955488,479.5,249,167,1.21828792
174,425,0.0451244413928,480.5,249,167,1.20287768
175,426,0.106746067268,478.5,249,167,1.07871624
176,427,0.0455021229911,479.0,249,167,1.17217424
177,428,0.0880128889813,478.0,249,167,1.15471712
178,429,0.0957934006595,480.0,249,167,1.11331352
179,430,0.107199070911,480.0,249,167,1.03855008
180,431,0.113683724076,480.5,249,167,1.17234008
