,index,labDelta,area,center_x,center_y
0,287,0.0965105551264,30.5,198,155
1,288,0.000604640236308,29.5,198,155
2,289,0.18699583197,27.5,199,155
3,290,0.00495180420405,27.5,199,155
4,291,0.190749375806,28.5,198,155
5,292,0.135796376367,30.5,198,155
6,293,0.000315780833988,30.5,198,155
7,294,0.130364054421,26.0,198,156
8,295,0.0015082192596,26.0,198,156
9,296,0.12993472759,29.0,197,155
10,297,0.101225425841,25.0,198,155
11,298,0.0377487609599,25.0,198,155
12,299,0.150584208375,31.0,198,155
13,300,0.00505889324896,30.0,198,155
14,301,0.193428859273,29.0,199,155
15,302,0.0838908041888,29.0,199,155
16,303,0.099821908426,30.0,199,156
17,304,0.0933080012762,35.0,199,156
18,305,0.0918607700973,29.5,198,156
19,306,0.0880498665959,31.5,198,156
20,307,0.0568905922787,29.5,198,155
21,308,0.00598075217548,29.5,198,155
22,309,0.105778850821,28.5,199,155
23,310,0.0164802008952,28.5,199,155
24,311,0.104435629269,28.0,198,156
25,312,0.113650267331,27.0,198,156
26,313,0.11199566446,28.0,199,156
27,314,0.179226177885,26.5,198,156
28,315,0.0454040483899,28.0,199,156
29,316,0.186631477871,33.0,199,156
30,317,0.159888700551,26.5,199,156
31,318,0.158580112853,28.0,199,156
32,319,0.141315915369,30.5,199,156
33,320,0.000517019721212,30.5,199,156
34,321,0.128397187965,31.5,199,157
35,322,0.126747432291,33.0,199,156
36,323,0.135470681826,28.0,198,157
37,324,0.226459041566,25.5,199,157
38,325,0.00723894712768,25.5,199,157
39,326,0.16273994776,27.5,199,157
40,327,0.150256307242,25.0,198,157
41,328,0.188451008286,27.5,199,157
42,329,0.294020446619,28.0,199,158
43,330,0.19011530876,28.0,199,158
44,331,0.186606808381,28.0,199,158
45,332,0.100171176386,28.0,199,158
46,333,0.23943305177,27.5,199,158
47,334,0.225499416214,26.5,200,158
48,335,0.190924014766,26.5,199,158
49,336,0.00387768865539,26.5,199,158
50,337,0.208864032351,25.0,200,158
51,338,0.268702246925,28.0,199,158
52,339,0.108958149579,28.5,199,158
53,340,0.0751737395063,28.5,199,158
54,341,0.284612427995,25.5,200,158
55,342,0.19700257598,26.5,199,158
56,343,0.214401022498,25.5,199,157
57,344,0.159834426705,25.0,200,158
58,345,0.241541019289,25.0,200,158
59,346,0.227903821851,27.5,200,158
60,347,0.242421841478,32.0,199,157
61,348,0.0887041434911,32.0,199,157
62,349,0.208682712641,28.5,200,157
63,350,0.231578500603,31.0,200,157
64,351,0.250332970277,28.5,200,157
65,352,0.268771829021,31.0,200,158
66,353,0.199700091678,25.5,200,158
67,354,0.0489085599702,25.5,200,158
68,355,0.217737927062,25.5,200,158
69,356,0.19948849432,24.0,200,158
70,357,0.11445840113,28.5,200,158
71,358,0.151045353036,30.0,200,158
72,359,0.000774952969183,30.0,200,158
73,360,0.208299985695,29.5,200,157
74,361,0.214732130657,25.5,201,158
75,362,0.183742520314,25.5,200,158
76,363,0.00076401729946,25.5,200,158
77,364,0.190038249312,27.0,200,158
78,365,0.198511146517,26.0,200,158
79,366,0.00184411868181,26.0,200,158
80,367,0.217171441938,23.5,200,158
81,368,0.231106644253,26.5,200,158
82,369,0.147217126041,33.0,200,157
83,370,0.00105551716182,33.0,200,157
84,371,0.206925301168,31.5,200,157
85,372,0.0213287899313,31.5,200,157
86,373,0.246021901263,29.5,200,158
87,374,0.215104656302,24.5,201,158
88,375,0.127262872187,26.0,201,158
89,376,0.076658609771,26.0,201,158
90,377,0.260852456023,25.0,200,158
91,378,0.226151410643,24.5,200,158
92,379,0.213015493351,27.0,200,158
93,380,0.131027053597,28.0,200,158
94,381,0.202307725475,26.0,200,158
95,382,0.186016160189,25.0,200,158
96,383,0.216007025201,27.0,200,158
97,384,0.199035287941,27.0,201,158
98,385,0.00215724907957,27.0,201,158
99,386,0.133686678713,25.5,201,158
100,387,0.191386925775,24.5,201,158
101,388,0.237613064348,24.0,200,158
102,389,0.192765786258,25.0,201,158
103,390,0.23026577978,26.5,201,158
104,391,0.187674770131,26.5,201,158
105,392,0.0824678458041,25.5,201,158
106,393,0.292035035394,28.5,200,157
107,394,0.219584074808,29.0,200,158
108,395,0.260120981972,27.5,201,158
109,396,0.00073686999763,27.5,201,158
110,397,0.208835957513,26.0,201,158
111,398,0.279621531815,24.5,201,158
112,399,0.268227299679,25.5,201,158
113,400,0.228692192689,26.0,200,158
114,401,0.234773934754,24.5,201,158
115,402,0.0448329322015,23.5,201,158
116,403,0.218883534039,25.0,201,158
117,404,0.145478325438,23.5,201,158
118,405,0.0878733988888,24.0,201,158
119,406,0.143358390282,23.5,201,158
120,407,0.0572720408716,23.5,201,158
121,408,0.271258892603,26.5,200,158
122,409,0.286166446386,25.0,201,157
123,410,0.298571674851,29.0,201,155
124,411,0.263803058818,19.5,202,154
125,412,8.18746131252e-05,16.0,201,151
126,413,5.55314992088e-05,18.5,201,151
127,414,3.9346272333e-05,14.0,201,150
128,415,5.51198741386e-05,18.0,201,149
129,657,0.00011737026468,31.5,258,127
