,index,labDelta,area,center_x,center_y
0,380,0.0538686659649,24.5,241,160
1,381,0.13101142208,27.0,242,160
2,382,0.138291896126,25.5,242,161
3,383,0.215379750182,26.5,242,160
4,384,0.231079276395,26.5,243,160
5,385,0.0715309876681,25.5,243,160
6,386,0.0407717684443,28.5,243,160
7,387,0.227066259386,25.0,244,160
8,388,0.172952833143,25.5,245,160
9,389,0.180409062859,25.5,246,160
10,390,0.131209938423,29.5,248,160
11,391,0.166324334225,27.5,250,160
12,392,0.149258014311,27.5,252,161
13,393,0.155262186162,26.0,252,161
14,394,0.137423717985,26.5,253,161
15,395,0.0123150737002,26.5,253,161
16,396,0.367433644197,28.5,254,161
17,397,0.288335240736,28.5,255,161
18,398,0.296447328641,24.5,255,161
19,399,0.161168761444,25.5,255,161
20,400,0.165699811389,27.0,255,161
21,401,0.164082340603,25.0,255,161
22,402,0.231084632697,25.0,255,161
23,403,0.28850553587,26.0,255,161
24,404,0.000773153260799,26.0,255,161
25,405,0.251178713943,28.5,256,161
26,406,0.0990124988999,26.0,256,161
27,407,0.00159447450864,26.0,256,161
28,408,0.102294729342,26.0,256,161
29,409,0.102622532606,25.5,256,161
30,410,0.268258666004,27.0,256,161
31,411,0.237867656455,26.5,256,161
32,412,0.0932370094847,27.0,256,161
33,413,0.0793460723781,27.5,256,161
34,414,0.109037399209,27.5,256,161
35,415,0.0304407364063,26.0,256,161
36,416,0.00384340069732,25.5,256,161
37,417,0.0105687320013,29.5,256,161
38,418,0.106345994416,29.5,256,161
39,419,0.00169417188514,29.5,256,161
40,420,0.1186701896,31.0,256,161
41,421,0.15532890897,29.5,256,161
42,422,0.12635660103,28.5,256,161
43,423,0.00412835564736,27.5,256,161
44,424,0.0511602030907,26.5,256,161
45,425,0.00806395635847,26.5,256,161
46,426,0.0470698249703,27.5,256,161
47,427,0.209812423579,28.5,256,161
48,428,0.208344029266,29.5,256,161
49,429,0.0011539445892,29.5,256,161
50,430,0.0481126725719,29.5,256,161
51,431,0.00296643987725,28.5,256,161
52,432,0.0283481723838,28.5,256,161
53,433,0.00253919655551,29.0,256,161
54,434,1.90954223443e-06,29.0,256,161
55,435,0.0277910137816,29.0,256,161
56,436,0.009543614597,28.0,256,160
57,437,0.0693822199444,27.0,256,160
58,438,0.216972725758,27.0,256,160
59,439,0.24924078144,28.0,255,160
60,440,0.157533171281,28.5,256,160
61,441,0.326659835521,25.5,256,160
62,442,0.31003910301,27.0,256,160
63,443,0.261005495791,28.0,256,160
64,444,0.171803464435,30.0,256,161
65,445,0.110665135592,29.5,255,160
66,446,0.313183184962,28.5,255,160
67,447,0.0966296904422,28.5,255,160
68,448,0.121827470796,25.5,255,160
69,449,0.142862212531,26.5,255,160
70,450,0.215839330081,27.5,255,160
71,451,0.00310553748107,28.5,255,160
72,452,0.029468676099,28.5,255,160
73,453,0.241214216858,28.5,255,160
74,454,0.000676977495729,28.5,255,160
75,455,0.173622937123,29.5,255,160
76,456,0.170971789928,30.0,255,160
77,457,0.0052288828203,30.0,255,160
78,458,0.00625377615532,29.5,255,160
79,459,0.370968127346,26.5,255,160
80,460,0.133222508386,27.5,255,160
81,461,0.117310584443,28.5,255,160
82,462,0.148823882481,28.0,256,160
83,463,0.00594510301154,28.5,256,161
84,464,0.00388519449647,28.5,256,161
85,465,7.67375972603e-07,28.5,256,161
86,466,0.116487862025,29.5,256,161
87,467,0.129971934343,28.5,256,161
88,468,0.0356501497714,28.5,256,161
89,469,0.125077417623,29.5,256,161
90,470,0.00265400840706,30.0,256,161
91,471,0.00443489815675,30.0,255,160
92,472,0.00334175434128,31.0,256,161
93,473,0.0022354452045,30.0,256,161
94,474,0.0041768304336,29.0,256,161
95,475,7.0386420929e-05,29.0,256,161
96,476,0.0048787941557,30.0,256,161
97,477,0.004765277297,30.0,255,160
98,478,0.00306843387114,27.5,255,160
99,479,0.0228368840037,29.0,255,160
100,480,0.236159178751,26.5,256,160
101,481,0.21356181376,26.5,256,160
102,482,0.26434179739,25.5,256,160
103,483,0.140553926256,28.5,256,160
104,484,0.188358255332,25.5,256,160
105,485,0.270659473735,25.5,256,160
106,486,0.314424357417,26.0,256,160
107,487,0.215579565309,27.0,256,160
108,488,0.201201408227,27.0,256,161
109,489,0.124947305036,27.5,256,161
110,490,0.00603542384119,27.0,256,161
111,491,0.113437894054,29.0,256,160
112,492,0.0831292737729,29.5,256,160
113,493,0.00298901801229,29.5,256,160
114,494,0.114472643151,27.0,256,160
115,495,0.10807268106,27.0,256,160
116,496,0.196406456983,28.5,256,160
117,497,0.132364508418,26.5,256,160
118,498,0.0914667847467,27.5,256,160
119,499,0.0108976071644,27.5,256,160
120,500,0.278271344254,25.5,256,160
121,501,0.166351121228,24.5,256,160
122,502,0.0586239185204,25.5,256,160
123,503,0.070497892646,27.5,256,160
124,504,0.0687884123634,27.5,256,160
125,505,0.300915073583,24.5,255,159
