,index,labDelta,area,center_x,center_y
0,289,0.00903547254834,488.5,257,105
1,290,0.186214495845,483.0,256,105
2,291,0.332177580381,492.0,257,105
3,292,0.237200321324,488.0,256,105
4,293,0.059956850943,488.0,256,105
5,294,0.154475878525,480.0,257,105
6,295,0.132688118501,474.5,256,105
7,296,0.00716036443998,474.5,256,105
8,297,0.327180350304,483.0,256,105
9,298,0.0938832700462,485.5,256,105
10,299,0.0435784432031,485.5,256,105
11,300,0.176426019624,486.0,256,105
12,301,0.0130764403021,486.0,256,105
13,302,0.291079232427,473.5,256,105
14,303,0.197573896886,476.5,257,105
15,304,0.254936515222,483.0,256,105
16,305,0.159757795016,483.0,256,105
17,306,0.352498647387,487.5,257,105
18,307,0.0514994245473,486.5,257,105
19,308,0.160261039194,490.5,257,105
20,309,0.137216086221,493.5,257,105
21,310,0.218344460148,489.5,257,105
22,311,0.130141346742,489.5,257,105
23,312,0.34466843699,487.0,257,105
24,313,0.180870529378,491.0,257,105
25,314,0.0554551004032,491.0,257,105
26,315,0.0631824788787,489.0,257,105
27,316,0.333856933289,482.5,257,105
28,317,0.0919653409143,482.5,257,105
29,318,0.187901979376,489.5,257,105
30,319,0.0567850205247,489.5,257,105
31,320,0.296860186302,493.5,257,105
32,321,0.0665938330462,490.5,257,105
33,322,0.224061717853,483.5,257,105
34,323,0.109645193072,483.5,257,105
35,324,0.195852977858,483.0,257,105
36,325,0.0266468145104,483.0,257,105
37,326,0.326064997205,477.0,257,105
38,327,0.237207643394,494.5,257,105
39,328,0.113751647912,492.5,257,105
40,329,0.293653746083,488.5,257,105
41,330,0.215135084795,488.5,257,105
42,331,0.0957078215295,488.5,257,105
43,332,0.187650762699,493.5,257,105
44,333,0.286514009795,481.0,257,105
45,334,0.0101097491522,481.0,257,105
46,335,0.346356910057,492.0,257,106
47,336,0.131476397123,491.5,257,105
48,337,0.0644591150022,491.5,257,105
49,338,0.287837536477,484.0,257,105
50,339,0.100632593856,484.0,257,105
51,340,0.271458200192,487.5,257,105
52,341,0.1196083099,489.5,257,105
53,342,0.157112048761,485.5,257,105
54,343,0.0337572770934,485.5,257,105
55,344,0.244688440437,486.0,257,105
56,345,0.101784243246,482.5,256,105
57,346,0.287657447206,486.5,257,105
58,347,0.14155183362,486.5,257,105
59,348,0.339653449596,494.5,257,105
60,349,0.0274858780292,493.5,257,105
61,350,0.27206643022,486.0,256,105
62,351,0.379118906322,483.5,256,105
63,352,0.235502445113,483.5,256,105
64,353,0.351851277441,490.5,257,105
65,354,0.28811465037,482.0,257,105
66,355,0.188141434672,482.0,257,105
67,356,0.279422676909,484.5,256,105
68,357,0.144981461701,484.5,256,105
69,358,0.309583009903,486.5,256,105
70,359,0.0464443895445,488.5,256,105
71,360,0.0407624198716,488.5,256,105
72,361,0.283548667788,483.5,256,105
73,362,0.120233085178,483.5,256,105
74,363,0.21525523798,485.5,256,105
75,364,0.189583046723,487.0,257,105
76,365,0.0234310409738,487.0,257,105
77,366,0.237838036344,490.0,257,105
78,367,0.255041788453,491.5,257,106
79,368,0.281515660115,491.0,257,106
80,369,0.308883036695,490.5,256,106
81,370,0.516778251621,498.5,257,106
82,371,0.0156716237678,498.5,257,106
83,372,0.323704216907,496.0,257,106
84,373,0.337284430142,496.0,257,106
85,374,0.480943600769,484.5,256,105
86,375,0.445353335777,491.5,256,106
87,376,0.189402153534,491.5,256,106
88,377,0.584048424881,504.5,257,106
89,378,0.454695878219,498.0,257,106
90,379,0.363050394211,503.0,256,106
91,380,0.103785921126,503.0,256,106
92,381,0.480952817226,502.0,256,106
93,382,0.515607357578,484.5,256,106
94,383,0.278213791908,490.5,256,107
95,384,0.142627308795,490.5,256,107
96,385,0.743934872322,488.5,254,107
97,386,0.0486032547211,489.0,254,107
98,387,0.536283317747,479.0,252,107
99,388,0.930444327614,466.5,250,107
100,389,0.275052737803,466.5,250,107
101,390,0.701925153252,465.0,248,107
102,391,0.893449943015,464.0,245,107
103,392,0.255099952251,464.0,245,107
104,393,0.512595484471,453.0,244,107
105,394,0.690184515314,450.5,242,107
106,395,0.218580325592,450.5,242,107
107,396,0.864504313684,439.0,242,107
108,397,0.00169818657551,440.0,242,107
