,index,labDelta,area,center_x,center_y
0,312,9.26827140133e-05,3.5,192,112
1,313,8.30970351685e-05,12.5,189,112
2,314,2.49237364566e-06,12.5,189,112
3,315,8.74122071335e-05,11.5,190,112
4,316,6.56553682453e-05,7.0,192,112
5,317,8.92205043503e-05,5.0,191,112
6,318,1.40474833777e-05,5.0,191,112
7,319,5.38169930587e-05,8.0,192,112
8,320,3.48839135688e-05,8.0,192,112
9,321,3.26634528638e-06,8.0,192,112
10,322,2.54472804636e-05,8.0,192,112
11,323,8.19794130444e-05,7.5,192,112
12,324,1.70256314233e-05,7.5,192,112
13,325,6.69306962637e-05,7.5,192,112
14,326,6.46038942161e-05,7.5,192,112
15,327,5.7488508907e-06,7.5,192,112
16,328,8.88867245791e-05,5.5,192,112
17,329,8.95151945188e-05,9.0,192,112
18,330,6.93533754504e-05,8.5,192,112
19,331,1.04284500928e-06,8.5,192,112
20,332,0.000105547705236,10.5,191,112
21,333,7.53095132301e-05,6.5,192,113
22,334,2.16090921892e-05,6.5,192,113
23,335,8.17732739422e-07,6.5,192,113
24,336,0.000128709696309,12.0,189,112
25,337,9.15282225374e-05,8.0,192,112
26,338,7.62999429063e-05,7.0,192,112
27,339,6.53595908917e-05,9.5,192,112
28,340,7.45642418951e-05,9.0,192,112
29,341,8.11874584209e-05,10.5,190,112
30,342,0.0,10.5,190,112
31,343,0.000124983978997,10.5,190,112
32,344,0.000109162363506,7.0,192,112
33,345,0.000106747029967,7.5,192,112
34,346,1.61953807239e-05,7.5,192,112
35,347,0.000103521077613,9.5,192,112
36,348,3.17310471374e-06,9.5,192,112
37,349,7.67663495624e-05,4.5,191,112
38,350,9.62044491678e-05,7.0,192,112
39,351,8.31414619952e-05,7.0,192,111
40,352,0.000104876769394,13.5,191,111
41,353,6.7155678588e-06,13.5,191,111
42,354,8.1312210601e-05,11.0,190,111
43,355,6.76467438514e-05,5.0,188,110
44,356,5.96027356187e-05,4.0,193,112
45,357,5.50525901735e-05,7.0,191,111
46,358,4.53181622914e-06,7.0,191,111
47,359,9.98373425533e-05,15.5,191,111
48,360,8.52329816546e-05,7.0,192,111
49,361,3.54665526784e-06,7.0,192,111
50,362,7.61970216576e-05,4.0,192,111
51,363,5.25338165849e-05,7.0,191,111
52,364,4.43458386748e-05,5.0,192,111
53,365,4.75756781494e-06,5.0,192,111
54,366,9.59975193499e-05,13.0,190,111
55,367,8.8723232196e-05,9.5,192,112
56,368,0.00010829182823,13.5,191,111
57,369,3.72325830323e-06,13.5,191,111
58,370,3.09659295617e-05,12.5,191,111
59,371,7.3361040439e-05,11.0,192,111
60,372,0.000104139773259,12.5,191,111
61,373,3.99382433225e-06,12.5,191,111
62,374,9.87098691202e-05,6.0,193,111
63,375,0.000128794796438,15.5,190,111
64,376,9.52665655261e-05,9.0,192,111
65,377,7.62123030703e-05,8.0,192,111
66,378,4.17082031426e-05,8.5,192,111
67,379,4.83559061795e-06,8.5,192,111
68,380,5.42146578848e-05,8.0,192,111
69,381,0.000112455247581,11.0,191,111
70,382,7.43743054151e-05,15.5,192,110
71,383,7.82867642076e-05,13.0,192,110
72,384,7.77763333469e-05,13.0,192,111
73,385,0.000134633933145,16.0,191,111
74,386,0.000116459521757,7.5,192,111
75,387,4.38994243532e-06,7.5,192,111
76,388,0.000102062713325,8.5,192,111
77,389,0.000143991604385,13.0,192,111
78,390,0.000171869931849,14.5,191,111
79,391,0.000102271423283,16.5,191,111
80,392,4.97849927299e-06,16.5,191,111
81,393,0.00010469004262,13.0,191,111
82,394,5.61627233063e-05,16.0,191,111
83,395,0.00014497389316,11.0,193,111
84,396,2.3531571478e-06,11.0,193,111
85,397,4.35988206148e-05,10.0,193,111
86,398,5.47139041976e-05,12.0,193,111
87,399,3.03141306399e-05,11.0,193,111
88,400,4.34839931417e-05,12.0,193,111
89,401,9.2382434182e-05,11.0,193,111
90,402,4.54856078524e-05,9.0,193,111
91,403,7.41686460077e-06,9.0,193,111
92,404,9.61631848559e-05,8.0,193,111
93,405,0.000157526814596,9.0,192,111
94,406,8.87831714461e-05,9.0,192,111
95,407,8.52107577825e-05,17.5,190,110
96,408,3.85693920692e-06,17.5,190,110
97,409,0.000151437336713,8.5,192,110
98,410,0.000139196727986,17.5,192,110
99,411,8.75251526301e-05,14.0,192,110
100,412,2.76702938934e-06,14.0,192,110
101,413,7.81131871155e-05,17.0,192,110
102,414,5.09991486487e-05,21.5,191,110
103,415,6.40907531541e-05,19.5,190,110
104,416,6.34987679532e-05,20.0,191,110
105,417,1.35910397106e-06,20.0,191,110
106,418,0.000130833315544,17.0,191,110
107,419,4.12827509918e-05,16.0,190,110
108,420,0.000138715866518,7.5,194,110
109,421,4.60772005894e-05,9.0,194,110
110,422,2.76679274936e-05,9.0,194,110
111,423,8.47604933506e-05,13.0,191,110
112,424,4.67771973492e-06,13.0,191,110
113,425,9.13305364497e-05,14.5,192,110
114,426,9.29978041313e-05,12.5,192,110
115,427,9.47669594307e-05,19.5,190,110
116,428,4.56932547492e-06,19.5,190,110
117,429,8.86664383486e-05,15.5,191,109
118,430,0.00016740621251,10.5,194,110
119,431,7.05171969996e-05,15.0,193,110
120,432,9.26692267984e-05,19.5,191,110
121,433,2.89679199877e-06,19.5,191,110
122,434,0.000150727367073,11.5,193,110
123,435,0.000140053115895,11.5,193,110
124,436,0.000194113220034,20.0,191,110
125,437,0.000109673770926,18.5,191,109
126,438,5.31695682648e-05,17.5,191,109
127,439,3.12845869181e-05,18.0,190,109
128,440,3.25235539328e-06,10.0,193,110
129,441,9.37109805997e-05,12.5,193,110
130,442,9.69772308646e-05,18.5,190,109
131,443,5.05441276339e-06,18.5,190,109
132,444,4.93493603758e-05,17.5,190,109
133,445,0.000111119169665,13.0,192,110
134,446,0.00012454204737,10.0,193,110
135,447,0.000141874572754,12.5,193,110
136,448,0.000667537739461,13.5,192,110
137,449,6.46520794808e-05,14.0,192,110
138,450,0.000604259880422,13.5,189,109
139,451,9.98421564479e-05,13.5,191,110
140,452,0.000154484579035,17.5,192,110
141,453,6.57289931681e-05,14.0,191,110
142,454,0.0001715745848,12.0,193,111
143,455,0.00031376431671,15.5,193,112
144,456,2.17211568662e-06,15.5,193,112
145,457,0.000326087380118,12.0,195,112
146,458,4.48697435513e-05,12.0,195,112
147,459,0.000129923156033,14.0,194,112
148,460,4.87631767708e-06,14.0,194,112
149,461,0.00021820350784,11.0,194,111
150,462,0.000322824954811,10.5,193,113
151,463,0.000325368920858,18.0,192,113
152,464,0.000425349087213,7.0,192,113
153,465,1.15229544038e-05,7.0,192,113
154,466,0.000568695534449,9.0,191,113
155,467,7.55623785697e-06,9.0,191,113
156,468,0.000748838592432,17.0,191,113
157,469,0.000575842346465,17.0,191,113
158,470,0.000500998132225,10.0,192,113
159,471,0.000653380089159,11.0,191,112
160,472,1.62878503852e-05,11.0,191,112
161,473,0.000458272798415,8.5,189,111
162,474,0.00077577307789,17.0,191,111
163,475,0.000208013446439,25.5,190,111
164,476,0.000127001297219,19.5,192,112
165,477,4.39025752406e-06,19.5,192,112
166,478,0.000214860071204,27.5,189,111
167,479,0.000268995595537,19.5,192,111
168,480,0.00029983759312,22.0,191,111
169,481,0.00014667336,14.5,193,111
170,482,7.75056828045e-06,14.5,193,111
171,483,0.000144229877183,19.5,192,111
172,484,0.000136015982285,24.0,190,111
173,485,0.000131783558884,15.5,192,111
174,486,0.000102469314264,8.0,192,110
175,487,0.0001691515795,26.0,190,111
176,488,0.000108763887551,20.5,192,111
177,489,8.53852688719e-05,23.5,191,111
178,490,7.46891603554e-06,23.5,191,111
179,491,0.000109776636388,20.5,191,111
180,492,0.000146252238819,15.0,192,111
181,493,6.74404709226e-05,13.5,192,111
182,494,0.000122083173173,14.0,192,111
183,495,0.000158547311309,15.5,193,111
184,496,2.08420790059e-06,15.5,193,111
185,497,0.000131516951237,9.0,192,110
186,498,4.03843001568e-05,9.0,192,110
187,499,8.9101821258e-05,10.0,192,110
188,500,0.000189782969941,21.0,192,111
189,501,0.0,21.0,192,111
190,502,0.000389702743074,20.5,189,111
191,503,0.000314435157684,17.5,190,112
192,504,0.00035812262342,25.5,187,112
193,505,0.000335781137842,25.5,185,111
194,506,0.000375587609727,14.5,186,112
195,507,8.09519893592e-06,14.5,186,112
196,508,0.000325683466265,22.5,183,112
197,509,0.000360263230095,18.5,183,112
198,510,0.000722643241566,16.0,183,112
199,511,0.00100179721224,23.5,180,113
200,512,0.000929320528588,18.5,181,112
201,513,0.000768062995164,27.5,180,112
202,514,0.000534323892045,25.5,180,112
203,515,0.000156214991821,25.5,180,112
204,516,0.000268463788772,11.5,183,112
205,517,0.000714686877822,17.0,179,111
206,518,0.000719599415941,12.0,184,112
207,519,0.000254151321484,28.0,182,111
208,520,7.61254210456e-06,28.0,182,111
209,521,0.000322032777809,13.5,185,112
210,522,0.000712879631005,17.5,186,111
211,523,0.000653455399807,14.5,186,111
212,524,0.000670714851439,13.5,188,111
213,525,7.82033186183e-06,13.5,188,111
214,526,0.000737891795667,17.5,189,110
215,527,0.000196965620153,18.0,189,110
216,528,0.000138149254954,17.0,189,111
217,529,0.00026510756432,17.5,190,111
218,530,0.000158975510068,11.0,189,111
219,531,0.000165990213464,16.0,190,111
220,532,4.17051490805e-06,16.0,190,111
221,533,0.000132034868038,14.5,191,111
222,534,0.00127290345639,14.0,190,111
223,535,0.000857303217881,19.0,190,111
224,536,0.000769654595247,24.0,187,110
225,537,0.000845097204358,15.0,190,111
226,538,0.000466237332392,15.0,190,111
227,539,0.000901076419595,10.0,190,111
228,540,0.000749011618882,24.5,186,110
229,541,0.00074707704208,19.5,188,110
230,542,0.000534707165801,15.0,188,110
231,543,1.09524323694e-05,15.0,188,110
232,544,0.000422271176736,22.5,185,110
233,545,0.00104588349648,15.0,187,110
234,546,0.000531154580015,14.0,186,110
235,547,0.0011431305232,13.0,186,110
