,index,labDelta,area,center_x,center_y
0,230,0.308127208042,483.5,266,116
1,231,0.299450257048,486.5,266,116
2,232,0.373445977627,480.0,266,116
3,233,0.338770584095,477.0,266,116
4,234,0.407298441234,483.0,266,116
5,235,0.0432236111138,484.5,266,116
6,236,0.431908627328,480.5,266,116
7,237,0.226265079641,470.5,266,116
8,238,0.393138855158,468.5,266,116
9,239,0.320693474805,465.5,266,116
10,240,0.131711753625,469.0,266,116
11,241,0.350123608463,474.0,266,116
12,242,0.299356912469,469.0,266,116
13,243,0.162856286791,468.0,266,116
14,244,0.211731827651,464.0,266,116
15,245,0.553563838202,471.0,266,116
16,246,0.321614147914,474.5,266,116
17,247,0.218173126423,478.5,265,116
18,248,0.161479090005,481.0,265,116
19,249,0.0198014319733,480.0,265,116
20,250,0.247659814804,484.5,265,116
21,251,0.0821928089122,481.5,265,115
22,252,0.251636017755,461.5,265,115
23,253,0.0831051392819,463.0,265,115
24,254,0.430190528671,451.5,265,115
25,255,0.231338950224,452.5,265,115
26,256,0.439567117121,460.5,265,115
27,257,0.401011268407,458.5,265,115
28,258,0.151669722221,462.0,265,115
29,259,0.230083414011,463.0,265,115
30,260,0.167661750284,468.0,265,115
31,261,0.266466005481,472.0,265,115
32,262,0.138546697994,471.0,265,115
33,263,0.268327333848,467.0,265,115
34,264,0.172141149265,464.5,265,115
35,265,0.381375672389,467.0,265,115
36,266,0.289578926104,467.0,265,115
37,267,0.109001928316,468.0,265,115
38,268,0.138154871427,470.0,265,115
39,269,0.140999304376,469.0,265,115
40,270,0.212347701716,471.5,265,115
41,271,0.179493936061,466.5,266,115
42,272,0.216597631436,463.5,266,115
43,273,0.129361317801,462.5,266,115
44,274,0.141236370839,459.5,266,115
45,275,0.436368940173,485.0,265,115
46,276,0.437082776315,472.5,266,116
47,277,0.377782166838,476.5,265,116
48,278,0.210330855421,480.5,265,116
49,279,0.198486530121,480.0,265,116
50,280,0.149662487057,478.0,265,116
51,281,0.211601767337,466.5,266,116
52,282,0.357806545142,466.0,266,116
53,283,0.320506334884,460.5,266,116
54,284,0.147986980403,459.5,266,116
55,285,0.285870838017,452.0,266,116
56,286,0.0558057995335,452.0,266,116
57,287,0.398421670695,470.5,265,116
58,288,0.427900759356,456.0,265,116
59,289,0.522844052329,464.0,263,116
60,290,0.609917664984,448.0,259,117
61,291,0.183330589559,449.0,259,117
62,292,0.806337578325,425.5,251,118
63,293,1.07463862063,385.5,247,118
64,294,0.0996859096816,380.5,244,118
65,295,0.0736828708184,379.5,242,118
66,296,0.0543766524612,378.0,241,118
67,297,0.0530103017344,371.5,241,118
68,298,0.0,371.5,241,118
69,719,0.0457992084499,39.5,266,94
70,720,0.0833621006064,41.0,266,94
71,721,0.0298604637953,43.5,266,94
72,722,0.167953330036,41.5,266,94
73,723,0.00926217245673,42.5,266,94
74,724,0.00175483127588,42.5,266,94
75,725,0.0537380991406,42.5,266,94
76,726,0.146989207635,40.5,267,94
77,727,0.0841846802161,42.0,267,94
78,728,0.152039952462,41.5,267,94
79,729,0.000353159443442,41.5,267,94
80,730,0.153669756067,40.0,267,94
81,731,0.131115837833,41.0,267,94
82,732,0.0610854271692,40.5,267,94
83,733,0.0967492438456,41.0,267,94
84,734,0.125613426064,40.0,267,94
85,735,0.000310817115094,40.0,267,94
86,736,0.10511768074,38.0,267,94
87,737,0.0146167059053,39.0,267,94
88,738,0.114174506626,41.5,267,94
89,739,0.126262561917,39.5,267,94
90,740,0.059725419585,39.5,267,94
91,741,0.124255333781,41.5,267,94
92,742,0.152734847965,41.5,267,94
93,743,0.0985653439181,41.5,267,94
94,744,0.160172288634,41.5,267,94
95,745,0.125476360963,41.5,267,94
96,746,0.154368678153,42.0,267,94
97,747,0.160242960231,39.5,267,94
98,748,0.16639753515,41.5,267,94
99,749,0.121255025401,41.5,267,94
100,750,0.0640420891302,40.5,267,94
101,751,0.0,40.5,267,94
102,752,0.106512546658,40.5,267,94
103,753,0.106663228357,40.5,267,94
104,754,0.177537069052,39.5,267,94
105,755,0.243952516363,40.5,267,94
106,756,0.243821503501,38.5,267,94
107,757,0.127738566838,41.5,267,93
108,758,0.136688740644,40.5,267,93
109,759,0.19043527697,40.5,267,93
110,760,0.0722057530266,39.5,267,93
111,761,0.0154987516952,39.5,267,93
112,762,0.136067641895,41.5,267,93
113,763,0.106536538214,38.5,267,93
114,764,0.100452196119,37.0,267,94
115,765,0.0984057291188,38.5,267,93
116,766,0.10316089307,41.5,267,93
117,767,0.0725008132909,41.5,267,93
118,768,0.0315038172356,41.5,267,93
119,769,0.091212546999,40.5,267,93
120,770,0.091222368815,40.0,267,93
121,771,0.126968891953,41.5,267,93
122,772,0.103364035349,41.5,267,93
123,773,0.0901035718231,43.5,267,93
124,774,0.201912019353,39.0,266,93
125,775,0.0745466358947,39.0,266,93
126,776,0.0983096928601,39.5,266,93
127,777,0.204203854725,38.0,266,93
128,778,0.284612010911,41.0,266,93
129,779,0.222411454095,40.0,266,93
130,780,0.174041976195,39.5,266,93
131,781,0.090480628761,39.0,266,93
132,782,0.0674507486601,40.0,266,93
133,783,0.0897242374612,39.5,266,93
134,784,0.000320729051453,39.5,266,93
135,785,0.153396408578,39.5,266,93
136,786,0.165516783874,38.5,266,93
137,787,0.125467089205,39.5,266,93
138,788,0.103342388741,40.5,266,93
139,789,0.0770159602303,40.5,266,93
140,790,0.122898142073,40.0,266,93
141,791,0.228544958902,41.5,266,93
142,792,0.0458504255902,41.5,266,93
143,793,0.0775727170265,41.5,266,93
144,794,0.0597084189293,41.5,266,93
145,795,0.156254596619,42.5,266,93
146,796,0.171716256434,41.5,266,93
147,797,0.226865555476,41.0,266,93
148,798,0.135254503996,40.0,266,93
149,799,0.00247487511884,40.0,266,93
150,800,0.122668061348,39.0,266,93
151,801,0.191214111696,41.5,266,93
152,802,0.0814286808289,40.5,266,93
153,803,0.0989657663186,41.0,266,93
154,804,0.211586093877,38.5,266,93
155,805,0.120678704721,37.0,266,94
156,806,0.229141599735,39.5,266,93
157,807,0.200047636498,41.0,266,93
158,808,0.182866789218,41.0,266,93
159,809,0.125036546253,40.5,266,93
160,810,0.10534582864,41.5,266,93
161,811,0.215231642205,41.5,266,93
162,812,0.0915361398373,43.5,266,93
163,813,0.0744517498063,41.5,266,93
164,814,0.182084331436,42.5,267,93
165,815,0.0166356506485,42.5,267,93
166,816,0.0935036529497,40.5,266,93
167,817,0.253949075985,41.5,266,93
168,818,0.160206566112,41.5,266,93
169,819,0.197506825205,42.5,266,93
170,820,8.72831076384e-05,42.5,266,93
171,821,0.27881163178,43.0,267,93
172,822,0.228822651579,41.5,267,93
173,823,0.083894872444,42.5,267,93
174,824,0.0991575352216,43.0,267,93
175,825,0.124841295712,43.0,267,93
176,826,0.221657310181,40.0,267,94
177,827,0.166221022839,41.5,267,93
178,828,0.124726624098,40.0,267,94
179,829,0.117072380802,41.0,266,93
180,830,0.113176870014,42.5,267,93
181,831,0.079071369959,40.0,267,93
182,832,0.217330757185,40.5,267,93
183,833,0.119063903573,39.5,267,93
184,834,0.136594671337,40.0,267,93
185,835,0.0984842432858,39.5,267,93
186,836,0.266842987278,39.0,267,93
187,837,0.300070269614,41.0,267,93
188,838,0.226222885954,42.5,267,93
189,839,0.179439359547,42.5,267,93
190,840,0.228338794107,41.0,267,93
191,841,0.178464727612,41.5,267,93
192,842,0.209480910916,41.5,267,93
193,843,0.147973512553,41.5,267,93
194,844,0.0726974130923,41.5,267,93
195,845,0.136858572661,42.5,267,93
196,846,0.314934892819,40.0,267,93
197,847,0.181438459871,39.5,267,93
198,848,0.174208744106,41.0,267,93
199,849,0.194684622334,39.5,267,93
200,850,0.061202986424,39.5,267,93
201,851,0.0967229056745,40.5,267,93
202,852,0.184026050053,40.5,267,93
203,853,0.179814526091,38.5,267,93
204,854,0.215850476048,39.5,267,93
205,855,0.236917441011,40.5,267,93
206,856,0.289874210118,42.5,267,93
207,857,0.297107906522,38.5,267,93
208,858,0.000394128148865,39.0,267,93
209,859,0.267006418463,38.5,267,93
210,860,0.0280444061379,38.5,267,93
211,861,0.197354988342,39.0,267,93
212,862,0.221407354221,39.5,267,93
213,863,0.172678858252,39.5,267,93
214,864,0.0616248749247,39.5,267,93
215,865,0.167145746142,39.5,267,93
216,866,0.21752006429,41.0,267,93
217,867,0.0631373821042,40.5,267,93
218,868,0.201847380467,38.5,267,92
219,869,0.236204736714,40.5,267,92
220,870,0.249257035389,42.5,267,92
221,871,0.0228385971032,43.0,267,92
222,872,0.176801430256,41.0,267,92
223,873,0.081880790445,41.0,267,92
224,874,0.113871732044,41.0,267,92
225,875,0.108778523863,41.5,267,92
226,876,0.0516345020563,41.5,267,92
227,877,0.251823176934,41.0,267,92
228,878,0.288712201377,42.5,266,92
229,879,0.164735796219,40.5,266,92
230,880,0.311626691044,39.5,265,94
231,881,0.325645656123,39.5,263,96
232,882,0.309057723196,37.5,260,97
233,883,0.526933013772,38.5,257,97
234,884,0.510572320854,35.5,252,98
235,885,0.478803111119,23.5,248,98
236,886,0.00715835899152,20.5,245,99
