,index,labDelta,area,center_x,center_y
0,310,0.206478422368,43.0,160,87
1,311,0.0980760174504,43.0,160,87
2,312,0.0433931601142,43.0,160,87
3,313,0.225016827701,43.5,160,87
4,314,0.244591360645,45.5,160,87
5,315,0.00383758269088,45.5,160,87
6,316,0.29179365295,42.0,160,87
7,317,0.11693928256,42.0,160,87
8,318,0.297210695809,43.0,160,87
9,319,0.176196087278,45.0,161,87
10,320,0.165363976206,44.5,161,87
11,321,0.100553793762,44.5,161,87
12,322,0.307913377668,43.0,161,87
13,323,0.0591656988568,44.0,161,87
14,324,0.207712379809,43.5,161,87
15,325,0.258079841063,45.0,161,87
16,326,0.0175801766764,45.0,161,87
17,327,0.293597462064,44.0,161,87
18,328,0.273836467287,43.5,160,87
19,329,0.0766831698662,43.5,160,87
20,330,0.212255648789,43.0,160,87
21,331,0.00518227546821,43.0,160,87
22,332,0.320652471909,43.5,161,87
23,333,0.15266982102,44.5,161,87
24,334,0.033085707749,44.5,161,87
25,335,0.222360102772,43.5,160,87
26,336,0.239022479769,44.5,160,87
27,337,0.0490482230946,44.5,160,87
28,338,0.153669650732,41.0,160,87
29,339,0.0194644153246,41.0,160,87
30,340,0.156622765771,41.5,160,87
31,341,0.14987098268,40.5,160,86
32,342,0.0156645348492,40.5,160,86
33,343,0.303150730931,41.5,161,87
34,344,0.34849498843,43.5,161,87
35,345,0.0230383013975,43.5,161,87
36,346,0.176427935125,42.5,166,90
37,347,0.180905443396,39.0,169,92
38,348,0.0338146713228,39.0,169,92
39,349,0.64353035763,38.5,176,96
40,350,0.0697560531144,37.5,176,96
41,351,0.751136344995,41.0,179,97
42,352,0.135522467858,39.0,180,97
43,353,0.0504647727968,39.0,180,97
44,354,0.1673566655,35.5,182,97
45,355,0.130086765508,35.5,182,98
46,356,0.0180247490405,35.5,182,98
47,357,0.116060689784,36.5,182,98
48,358,0.0792406299988,36.5,182,98
49,359,0.139536513466,34.5,182,99
50,360,0.000733612082182,34.5,182,99
51,361,0.130003306673,35.0,182,99
52,362,0.124583417956,34.5,182,99
53,363,0.0108498570301,34.0,182,99
54,364,0.116884688674,36.5,183,99
55,365,0.0853805318566,37.0,183,99
56,366,0.000705113356745,37.0,183,99
57,367,0.123152926374,34.0,183,99
58,368,0.0754354023055,34.0,183,99
59,369,0.137823501737,35.5,182,99
60,370,0.0173155337997,34.5,182,99
61,371,0.025421918408,34.5,182,99
62,372,0.105973314753,36.5,182,99
63,373,0.0999535935248,36.5,182,99
64,374,0.00216061727144,36.5,182,99
65,375,0.107663178827,37.0,182,99
66,376,0.0678083247194,38.0,182,99
67,377,0.0865519751436,38.0,182,99
68,378,0.204176854388,35.5,182,99
69,379,0.0759372657491,36.0,182,99
70,380,0.00579235022997,36.0,182,99
71,381,0.00831768489875,35.0,182,99
72,382,0.00778146953336,37.0,182,99
73,383,0.087169586588,37.0,182,99
74,773,3.40369155594e-06,27.0,197,98
75,774,3.63891348982e-05,25.5,197,98
76,775,1.55098085651e-05,25.5,197,98
77,776,8.46152340683e-07,25.5,197,98
78,777,2.47495468858e-05,27.0,197,98
79,778,1.34266836409e-06,27.0,197,98
80,779,4.6409247819e-05,26.5,197,98
81,780,2.79930648974e-05,27.5,197,98
82,781,3.30719749023e-06,27.5,197,98
83,782,8.47830843794e-06,27.5,197,98
84,783,3.37345221162e-06,27.5,197,98
85,784,4.53361753668e-05,26.0,197,98
86,785,0.000114605315037,27.5,197,98
87,786,4.92656441461e-07,27.5,197,98
88,787,7.6095041667e-05,30.0,197,98
89,788,3.37004976016e-06,30.0,197,98
90,789,0.000103003486577,28.0,197,98
91,790,3.8345644232e-05,30.0,197,98
92,791,0.0,30.0,197,98
93,792,8.1798688354e-05,30.0,197,98
94,793,0.000513085676211,28.5,197,98
95,794,0.000496575832689,28.5,197,98
96,795,3.63813072936e-05,28.5,197,97
97,796,0.00047844423717,28.5,197,97
98,797,0.00023942275992,29.0,197,97
99,798,0.000499461724653,29.0,197,97
100,799,0.000496131512362,28.5,197,97
101,800,0.0,28.5,197,97
102,801,0.000519842214417,26.0,197,97
103,802,2.04839918688e-06,26.0,197,97
104,803,6.53456813618e-05,26.5,197,97
105,804,9.36182506612e-06,26.5,197,97
106,805,2.37392396662e-06,26.5,197,97
107,806,6.29755827312e-05,27.0,197,97
108,807,0.000106495084047,28.0,197,97
109,808,4.7863186058e-06,28.0,197,97
110,809,7.93118158238e-05,31.5,197,97
111,810,2.87115028619e-06,31.5,197,97
112,811,6.88608835553e-05,30.5,197,96
113,812,5.15083593386e-05,30.0,197,96
114,813,2.60773835937e-06,30.0,197,96
115,814,8.34157410056e-05,31.0,197,97
116,815,2.8952507588e-05,31.0,197,97
117,816,7.20318436842e-07,31.0,197,97
118,817,3.6516972769e-05,30.5,197,97
119,818,4.4199586446e-06,30.5,197,97
120,819,5.52386842168e-05,29.0,197,97
121,820,3.61233334131e-07,29.0,197,97
122,821,6.18507581734e-05,30.0,197,96
123,822,2.70404996667e-05,31.0,197,96
124,823,0.0,31.0,197,96
125,824,0.000105112596036,30.5,197,96
126,825,8.15398098207e-06,30.5,197,96
127,826,2.4364118751e-06,30.5,197,96
128,827,0.0,30.5,197,96
129,828,0.000127120341084,28.0,197,96
130,829,6.18115540013e-05,29.0,197,96
131,830,2.02459760576e-06,29.0,197,96
132,831,0.000581738617742,28.0,197,96
133,832,0.000226246515613,31.5,198,96
134,833,2.91074281546e-05,30.5,198,96
135,834,0.000222684304505,31.0,198,96
136,835,0.000512950397853,32.0,198,96
137,836,2.81014805762e-05,30.0,198,96
138,837,6.32809021373e-07,30.0,198,96
139,838,3.82818857819e-05,30.5,198,96
140,839,3.01895924118e-06,30.0,198,96
141,840,3.0477843806e-05,29.5,198,96
142,841,0.000167509628097,30.0,198,96
143,842,2.5229099245e-06,30.0,198,96
144,843,0.000559559680263,31.0,199,96
145,844,4.74821578549e-05,31.0,199,96
146,845,0.00057488121208,30.0,199,96
147,846,0.000539208342237,29.5,199,97
148,847,4.79004892484e-05,29.5,199,97
149,848,0.0,29.5,199,97
150,849,0.00018297250675,29.5,199,97
151,850,0.000296526345831,31.0,198,97
152,851,0.000775826655937,31.0,198,97
153,852,0.000514049543174,31.0,198,97
154,853,8.44849010026e-05,29.0,199,96
155,854,4.65778323422e-06,29.0,199,96
156,855,4.35118431486e-05,30.0,199,96
157,856,1.96778926351e-05,30.0,199,96
158,857,2.89085916798e-06,30.0,199,96
159,858,6.08180836162e-05,27.0,198,96
160,859,4.93651531e-06,27.0,198,96
161,860,5.17091924791e-05,27.5,198,96
162,861,4.42512343966e-06,27.5,198,96
163,862,2.40059116988e-05,28.0,198,96
164,863,2.66223745015e-05,28.0,199,96
165,864,1.77760494188e-07,28.0,199,96
166,865,3.59759116869e-05,30.0,198,96
167,866,4.97300125729e-05,31.0,198,96
168,867,4.73312915359e-05,32.0,199,96
169,868,4.27869975763e-06,32.0,199,96
170,869,7.61616910995e-05,29.0,199,96
171,870,2.26450666284e-06,30.0,199,96
172,871,7.8247367401e-05,31.0,199,96
173,872,0.000564444059817,31.0,199,96
174,873,0.000944755906706,30.5,198,96
175,874,0.000811947383568,30.5,198,96
176,875,0.000884315832179,32.0,198,96
177,876,4.04977466039e-05,32.0,198,96
178,877,0.000923648283329,30.5,198,96
179,878,0.000229676809562,30.5,198,96
180,879,2.82273386041e-05,30.5,198,96
181,880,0.000238363733228,28.5,198,96
182,881,4.65352904714e-05,28.5,198,96
183,882,0.000251732876628,31.5,198,96
184,883,0.000163725867809,32.0,198,96
185,884,9.50826030195e-06,32.0,198,96
186,885,0.000240865676274,32.0,198,96
187,886,5.94200056286e-05,32.0,198,96
188,887,0.000513432498963,31.0,198,96
189,888,4.54923460076e-05,31.0,198,96
190,889,5.5068391688e-06,31.0,198,96
191,890,1.90079861888e-05,31.0,198,96
192,891,4.81567207957e-05,31.0,198,96
193,892,5.11835616951e-06,31.0,198,96
194,893,0.000599778501584,31.5,198,95
195,894,0.000541439294483,30.5,198,95
196,895,4.8363724648e-06,30.5,198,95
197,896,7.30780307942e-05,30.0,198,95
198,897,3.69997873111e-06,30.0,198,95
199,898,5.33352200052e-05,28.0,198,95
200,899,3.32575394332e-05,27.0,198,95
201,900,4.64854679768e-06,27.0,198,95
202,901,1.62427731197e-05,27.0,198,95
203,902,2.42847327264e-05,27.0,198,95
204,903,4.78910615924e-06,27.0,198,95
205,904,4.32201153532e-05,29.0,198,95
206,905,0.000376341736247,28.0,198,95
207,906,3.81057046384e-05,28.0,198,95
208,907,0.000181638634946,29.5,198,95
209,908,0.000159741865659,29.5,198,95
210,909,5.24976306789e-05,29.5,198,95
211,910,0.000441048233793,28.5,198,95
212,911,2.90563778607e-05,29.5,198,95
213,912,1.16814930903e-06,29.5,198,95
214,913,2.45997006156e-05,28.5,198,95
215,914,0.0,28.5,198,95
216,915,3.54847446997e-05,29.5,198,95
217,916,5.39560645654e-05,28.0,198,95
218,917,0.0,28.0,198,95
219,918,5.95621491702e-05,28.0,198,95
220,919,2.30362171489e-06,28.0,198,95
221,920,4.26210478643e-05,27.0,197,95
222,921,5.10552777308e-05,29.0,198,95
223,922,3.79852577243e-06,29.0,198,95
224,923,6.83123193075e-05,27.0,198,95
225,924,1.17574995609e-06,27.0,198,95
226,925,2.13618557366e-05,28.0,198,95
227,926,5.40823545873e-07,28.0,198,95
228,927,0.000573490910512,29.0,198,95
229,928,0.000569405521289,27.0,198,95
230,929,3.66068831856e-06,27.0,198,95
231,930,0.000474029242666,27.5,198,95
232,931,0.000455284828331,27.5,198,95
233,932,5.55878388359e-06,27.5,198,95
234,933,6.56031354185e-05,26.5,198,95
235,934,3.70194570502e-06,26.5,198,95
236,935,6.83333261412e-05,28.5,198,95
237,936,1.97502502413e-05,28.0,198,95
238,937,3.47586626949e-06,28.0,198,95
239,938,0.000386154917871,30.0,198,95
240,939,0.000321011286056,30.5,198,95
241,940,0.000581633531612,30.5,198,95
242,941,3.4353237793e-06,30.5,198,95
243,942,8.62358592327e-05,30.5,198,95
244,943,5.99582633486e-06,30.5,198,95
245,944,3.52526392231e-05,29.5,198,95
246,945,5.47341581979e-05,28.0,198,95
247,946,3.56872508982e-06,28.0,198,95
248,947,4.65393871559e-05,27.0,198,95
249,948,8.5652920531e-05,26.5,198,95
250,949,4.4361677368e-06,26.5,198,95
251,950,4.00822164562e-05,26.5,198,95
252,951,3.89640257553e-06,26.5,198,95
253,952,6.90200109156e-05,27.5,198,95
254,953,0.000467320029597,29.0,198,95
255,954,0.000423293208716,29.0,198,95
256,955,3.11059927268e-05,30.0,198,95
257,956,0.000456204352973,30.0,198,95
258,957,0.000422710883936,30.0,198,95
259,958,6.32285494559e-05,30.0,198,95
260,959,3.21228653489e-06,30.0,198,95
261,960,5.95226425853e-05,30.0,198,95
262,961,5.44965208553e-05,30.0,198,95
263,962,4.37884761417e-06,30.0,198,95
264,963,1.92708347241e-05,30.0,198,95
265,964,9.47870117716e-07,30.0,198,95
266,965,3.61683024104e-05,30.0,198,95
267,966,0.000442257091209,28.5,198,95
268,967,3.28585582583e-05,28.5,198,95
269,968,0.000162488604195,28.0,198,95
270,969,0.000212272951808,30.0,198,95
271,970,1.38685619607e-05,30.0,198,95
272,971,0.000237314260502,28.0,198,94
273,972,0.000226784684257,30.0,198,95
274,973,0.000328596633035,29.5,198,95
275,974,5.27932706431e-05,29.5,198,95
276,975,0.000347450842939,28.5,198,95
277,976,3.44333344874e-05,28.5,198,95
278,977,0.000145765160027,30.0,198,94
279,978,7.86791650172e-05,30.0,198,94
280,979,6.25093006611e-06,30.0,198,94
281,980,0.000233715049843,27.5,198,94
282,981,0.000576286500065,30.0,198,95
283,982,8.0091085799e-06,30.0,198,95
284,983,3.56612244752e-05,29.0,198,95
285,984,5.28119405756e-06,29.0,198,95
286,985,0.000500269423888,30.0,198,95
287,986,0.0003817847537,29.5,198,95
288,987,1.4131370814e-05,29.5,198,95
289,988,0.000373773157774,29.0,198,95
290,989,0.000254126049101,28.5,197,94
291,990,1.12769954399e-06,28.5,197,94
292,991,0.000174024290344,28.0,198,95
293,992,0.000423309155711,28.5,198,94
294,993,3.51830336845e-05,28.5,198,94
295,994,0.000375727794182,27.0,198,94
296,995,7.8045744715e-06,27.0,198,94
297,996,0.000162530425623,28.0,198,94
298,997,6.74175578301e-05,28.0,198,94
299,998,1.45127160234e-05,28.0,198,94
300,999,0.000192257518888,28.0,198,94
301,1000,9.11204495495e-05,28.0,198,94
302,1001,0.000488664337766,27.5,198,94
303,1002,2.99368744618e-05,28.5,198,94
304,1003,2.66683699237e-06,28.5,198,94
305,1004,2.96920414134e-05,29.0,198,94
306,1005,3.77969778944e-05,29.0,198,94
307,1006,2.66779983639e-05,30.0,198,94
308,1007,2.93916115788e-06,30.0,198,94
309,1008,5.11968508487e-05,29.0,198,94
310,1009,3.92489903772e-06,29.0,198,94
311,1010,2.3876947708e-05,29.0,198,94
312,1011,9.86603328885e-05,30.0,198,94
313,1012,1.94626913246e-06,30.0,198,94
314,1013,6.2797234795e-05,28.0,198,94
315,1014,2.52070476139e-05,28.5,198,93
316,1015,1.26306080518e-06,28.5,198,93
317,1016,5.75777686348e-05,29.5,198,93
318,1017,3.33697846974e-06,29.5,198,93
319,1018,4.12697186156e-05,29.0,198,93
320,1019,2.98983258753e-05,29.0,198,93
321,1020,2.39987803751e-06,29.0,198,93
322,1021,5.10441267404e-05,27.0,198,93
323,1022,4.25258330399e-06,27.0,198,93
324,1023,7.10895581179e-05,27.5,198,93
325,1024,2.09663525879e-05,27.5,198,93
326,1025,3.0250702462e-06,27.5,198,93
327,1026,6.84100053519e-05,27.5,198,93
328,1027,4.16824154798e-05,27.0,198,93
329,1028,3.52668878716e-06,27.0,198,93
330,1029,3.05440143019e-05,27.0,198,93
331,1030,5.26363338778e-05,28.0,198,93
332,1031,1.62079343267e-06,28.0,198,93
333,1032,5.00808247908e-05,28.5,199,93
334,1033,0.000433120078464,27.5,198,93
335,1034,0.000328081818223,27.5,198,93
336,1035,0.000337639985073,27.5,198,93
337,1036,0.0,27.5,198,93
338,1037,0.073431252497,28.5,199,93
339,1038,0.0730851782437,27.5,198,93
340,1039,0.0730175997299,27.5,198,93
341,1040,0.0730312606749,27.5,198,93
342,1041,2.31224517879e-05,28.5,198,93
343,1042,4.37462012743e-06,28.5,198,93
344,1043,4.51880989445e-05,28.5,198,93
345,1044,3.69151018268e-05,26.5,198,93
346,1045,2.50764705878e-06,26.5,198,93
347,1046,4.2498653302e-05,27.0,198,93
348,1047,4.27560091065e-05,29.5,199,93
349,1048,2.40953388329e-06,29.5,199,93
350,1049,1.06822116131e-05,29.0,199,93
351,1050,3.52936902053e-06,29.5,199,93
352,1051,3.47402446927e-05,29.5,199,93
353,1052,5.67243383385e-05,27.0,198,93
354,1053,4.41126396786e-06,27.0,198,93
355,1054,3.68615615383e-05,28.5,199,93
356,1055,0.000159110143971,27.0,198,93
357,1056,0.000363090024546,27.0,198,93
358,1057,0.000231425998153,27.5,198,93
359,1058,6.54680202387e-06,27.5,198,93
360,1059,0.000403705572238,28.0,198,93
361,1060,2.17531411357e-05,27.5,198,93
362,1061,2.03488540966e-06,27.5,198,93
363,1062,3.70369118332e-05,29.5,198,93
364,1063,4.19833761539e-06,29.5,198,93
365,1064,5.23263453689e-05,28.5,198,93
366,1065,0.00036706618256,27.5,198,93
367,1066,0.000390328735025,30.0,198,93
368,1067,4.32114656919e-06,30.0,198,93
369,1068,0.000364698028788,29.5,198,93
370,1069,2.37321316025e-05,29.5,198,93
371,1070,0.000182968829204,30.0,198,93
372,1071,3.31259470053e-05,30.0,198,93
373,1072,0.000222885507911,30.0,198,93
374,1073,0.000212458894707,30.0,198,93
375,1074,1.34972920682e-05,30.0,198,93
376,1075,0.000235507925248,30.0,198,93
377,1076,0.00013565825306,29.5,198,93
378,1077,0.000277673265164,30.0,198,93
379,1078,1.72773414585e-05,29.5,198,93
380,1079,0.000295696253666,30.0,198,93
381,1080,0.000332871098282,30.0,198,93
382,1081,0.000372799660262,29.0,198,93
383,1082,0.000350300241151,32.0,198,93
384,1083,1.74036862297e-05,32.0,198,93
385,1084,0.000171109031524,31.0,198,93
386,1085,0.000550258367329,30.0,198,93
387,1086,2.44366911812e-06,30.0,198,93
388,1087,3.42168111272e-05,29.0,198,93
389,1088,4.19691419349e-05,29.0,198,93
390,1089,0.0,29.0,198,93
391,1090,4.67550864267e-05,28.5,198,92
392,1091,0.000388031103323,28.5,198,92
393,1092,1.31130675313e-05,28.5,198,92
394,1093,0.000381577383818,28.5,198,92
395,1094,3.10943715698e-06,28.5,198,92
396,1095,0.000382547830105,29.0,198,92
397,1096,0.000124271772199,28.0,198,92
398,1097,3.31927250057e-07,28.0,198,92
399,1098,0.000132092974788,29.0,198,92
400,1099,3.3760170397e-05,29.0,198,92
401,1100,0.000115544807752,27.0,198,92
402,1101,1.10367237751e-05,27.0,198,92
403,1102,0.000196982301738,30.0,198,92
404,1103,0.000429949838071,27.5,198,92
405,1104,3.91141961391e-06,27.5,198,92
406,1105,5.63931032431e-05,28.0,198,92
407,1106,0.000370830617338,27.5,198,92
408,1107,5.52824596966e-07,27.0,198,92
409,1108,0.000193892390502,28.5,198,92
410,1109,0.000147757207886,29.5,198,92
411,1110,8.99844083424e-05,30.0,198,92
412,1111,0.000441708489501,28.0,198,92
413,1112,0.000395480315869,28.0,198,92
414,1113,0.000417364448185,28.5,198,92
415,1114,1.74176558254e-05,29.0,198,92
416,1115,1.25497307408e-06,29.0,198,92
417,1116,7.08397495653e-05,31.0,198,92
418,1117,0.000429161530921,29.0,198,92
419,1118,0.000395633548286,29.0,198,92
420,1119,0.000440486982601,28.0,198,92
421,1120,0.000115192832452,28.0,198,92
422,1121,0.000260204665868,31.0,198,92
423,1122,4.47501382668e-05,31.0,198,92
424,1123,0.00045862530838,30.5,198,92
425,1124,0.000581221401085,31.0,198,92
426,1125,5.82853686921e-05,31.0,198,92
427,1126,0.000276299153811,31.0,198,92
428,1127,0.000645118247113,31.0,198,92
429,1128,2.42501077429e-06,31.0,198,92
430,1129,0.000670408876111,32.0,198,92
431,1130,0.000396817076993,31.0,198,92
432,1131,6.06400683868e-05,31.0,198,92
433,1132,0.000621255062426,30.5,198,92
434,1133,2.16264490459e-06,30.5,198,92
435,1134,0.000568649455526,27.0,198,92
436,1135,0.000583207507157,29.0,198,93
437,1136,2.4771341157e-06,29.0,198,93
438,1137,0.000146025327261,29.5,199,93
439,1138,4.95815116863e-06,29.5,199,93
440,1139,8.90995032276e-05,28.0,199,94
441,1140,5.11804257805e-05,30.0,199,93
442,1141,3.17674882976e-06,30.0,199,93
443,1142,0.00059807961502,27.0,199,94
444,1143,0.000547580795277,28.0,199,94
445,1144,7.37509490025e-05,29.0,199,94
446,1145,2.57262625291e-06,29.0,199,94
447,1146,0.000116613442469,29.5,199,95
448,1147,0.000474654304943,27.5,199,95
449,1148,8.11841842684e-07,27.5,199,95
450,1149,0.000282441884957,28.0,199,95
451,1150,0.0892011543297,27.5,199,95
452,1151,0.00669972262004,27.5,199,95
453,1152,0.0583690113502,26.0,199,95
454,1153,0.00526420871399,26.0,199,95
455,1154,0.0186440342023,26.5,199,95
456,1155,0.071255085485,27.5,199,94
457,1156,0.0410335868148,27.5,199,94
458,1307,3.76853697926e-06,31.0,273,107
459,1308,8.54491817461e-05,28.5,273,106
460,1309,1.71936893909e-05,28.5,273,106
461,1310,2.79817296401e-06,28.5,273,106
462,1311,3.94637843326e-05,27.5,274,106
463,1312,6.03934654923e-05,29.0,274,106
464,1313,4.93114743945e-07,29.0,274,106
465,1314,0.000169693515633,29.5,274,106
466,1315,6.09230348168e-06,29.5,274,106
467,1316,9.62001869253e-05,30.5,274,106
468,1317,0.000165562474555,30.5,274,106
469,1318,2.01539354618e-06,30.5,274,106
470,1319,8.98796123369e-05,27.5,274,106
471,1320,1.7104696499e-06,27.5,274,106
472,1321,0.000105826260419,31.0,273,106
473,1322,4.62530180003e-05,29.0,273,106
474,1323,0.000102379209431,30.0,274,107
475,1324,5.16803961603e-06,30.0,274,107
476,1325,0.0,30.0,274,107
477,1326,6.6610295867e-05,27.5,273,107
478,1327,2.54610604765e-05,28.0,273,107
479,1328,3.06345008595e-06,28.0,273,107
480,1329,3.29971740828e-05,29.0,273,107
481,1330,1.75013607834e-06,29.0,273,107
482,1331,7.94189575924e-05,29.0,273,106
483,1332,9.48974733457e-05,28.5,273,106
484,1333,2.7718919024e-06,27.5,273,106
485,1334,3.94814867997e-05,28.5,274,106
486,1335,4.22853814583e-06,28.0,274,106
487,1336,4.22697537012e-05,29.0,274,106
488,1337,4.61790899637e-06,29.0,274,106
489,1338,2.00974328531e-06,29.0,274,106
490,1339,4.55402829276e-06,29.0,274,106
491,1340,0.000119967437513,26.5,273,106
492,1341,1.39049962995e-06,26.5,273,106
493,1342,3.59074315346e-05,28.5,273,106
494,1343,3.24436319975e-05,28.5,273,106
495,1344,1.5081654013e-06,28.5,273,106
496,1345,0.00020670430315,28.0,274,106
497,1346,0.000174466757624,29.0,273,106
498,1347,0.000140553668901,29.0,273,106
499,1348,0.000103229267089,26.5,273,106
500,1349,1.02496034002e-05,26.5,273,106
501,1350,0.000168039859299,28.5,273,106
502,1351,0.000196864245795,29.5,273,106
503,1352,0.00014745779577,29.5,273,106
504,1353,5.16527756502e-06,29.5,273,106
505,1354,0.000217616838878,29.5,273,106
506,1355,5.6435780319e-05,30.0,273,106
507,1356,5.6054972937e-06,30.0,273,106
508,1357,7.86667464282e-05,28.5,273,106
509,1358,0.00019008292041,29.5,274,106
510,1359,3.14294882026e-06,29.5,274,106
511,1360,2.67211941253e-05,30.0,274,106
512,1361,2.95240015525e-06,30.0,274,106
513,1362,0.000283776918023,30.0,274,105
514,1363,0.000396735401392,28.5,273,105
515,1364,4.79629208726e-05,28.5,273,105
516,1365,0.00049766732765,28.5,273,105
517,1366,4.44819811259e-06,28.5,273,105
518,1367,0.000153906894708,30.0,274,105
519,1368,5.85366853228e-05,32.5,274,105
520,1369,4.06769811747e-06,32.5,274,105
521,1370,5.21167801394e-05,30.5,274,105
522,1371,1.97539221237e-06,30.5,274,105
523,1372,7.80340711015e-05,28.0,273,105
524,1373,0.000586611413103,31.5,273,105
525,1374,8.16930280807e-06,31.5,273,105
526,1375,0.000275824290515,29.5,273,105
527,1376,0.000539953051458,30.0,273,105
528,1377,1.1218065715e-06,30.0,273,105
529,1378,2.30563735081e-05,30.0,273,105
530,1379,2.82298418887e-05,29.5,273,105
531,1380,3.23775070263e-06,29.5,273,105
532,1381,3.45320870523e-05,30.0,273,105
533,1382,3.30403911655e-05,30.0,273,105
534,1383,4.05596283142e-07,30.0,273,105
535,1384,0.000632459841831,29.5,273,104
536,1385,0.000223074864905,32.0,273,104
537,1386,4.29869602914e-05,32.0,273,104
538,1387,0.000243927272805,33.0,273,104
539,1388,0.000191042804519,32.0,273,104
