,index,labDelta,area,center_x,center_y,eucDist
0,335,0.0305762867054,371.0,149,126,0.9401808
1,336,0.476721410145,373.0,148,122,0.81211264
2,337,0.0711035767558,373.0,148,122,0.8929768
3,338,0.524382871501,355.0,152,119,0.89503336
4,339,0.358554546021,373.5,154,117,1.01109928
5,340,0.465833081396,340.5,157,117,0.8615448
6,341,0.00196151058428,342.5,157,117,0.83683488
7,342,0.390431119773,324.0,163,115,0.87839352
8,343,0.167914017106,324.0,163,115,0.89084496
9,344,0.323661904006,336.5,167,114,0.92057536
10,345,0.245062269438,338.5,168,115,0.78656944
11,346,0.279461441833,348.0,168,114,0.85816304
12,347,0.113948578456,348.0,168,114,0.85067464
13,348,0.246417011087,334.5,167,113,0.87012048
14,349,0.305131523505,338.0,166,112,0.87109024
15,350,0.00216883456109,338.0,166,112,0.95490632
16,351,0.451773614044,335.5,163,110,0.94139808
17,352,0.170680091536,335.5,163,110,0.76492368
18,353,0.398730731916,349.5,160,111,1.19192288
19,354,0.107966418234,349.5,160,111,0.77042248
20,355,0.47853738006,361.0,158,114,0.89827368
21,356,0.273310975499,367.5,158,114,0.68027832
22,357,0.0762477602713,367.5,158,114,0.77568384
23,358,0.376376067919,368.0,157,117,0.8840784
24,359,0.104838469344,367.0,157,117,0.85392912
25,360,0.185258059834,374.5,157,118,0.87400736
26,361,0.0880143475839,359.0,157,118,1.01790656
27,362,0.0543892957258,359.0,157,118,0.79441976
28,363,0.231610427947,352.0,158,118,0.86882352
29,364,0.127471146186,352.0,158,118,0.94297432
30,365,0.212074761528,346.5,158,118,0.80621888
31,366,0.186207303907,343.5,158,118,0.84349336
32,367,0.166928626876,343.5,158,118,0.82279408
33,368,0.246287147374,346.0,158,118,0.74522944
34,369,0.0791308444239,346.0,158,118,1.0113752
35,370,0.182581066369,342.5,157,118,1.07526392
36,371,0.239632974798,343.5,157,118,1.1105056
37,372,0.0543920260054,343.5,157,118,0.81136816
38,373,0.195241160969,349.0,157,119,1.20559232
39,374,0.0753665807984,349.0,157,119,0.86183472
40,375,0.196522240758,348.5,158,119,1.47520384
41,376,0.125368132197,352.0,158,119,0.94262656
42,377,0.21416862536,352.5,158,119,0.91335712
43,378,0.250579400402,359.5,159,119,1.0067792
44,379,0.0602940839673,359.5,159,119,0.92003952
45,380,0.272493430097,340.5,160,118,0.76529216
46,381,0.0781025141944,340.5,160,118,0.8106312
47,382,0.298321483838,359.5,159,119,1.00751368
48,383,0.184594678749,345.5,159,119,0.90394744
49,384,0.113200807765,345.5,159,119,0.86939944
50,385,0.294776375006,352.0,159,120,0.95338368
51,386,0.271394855696,341.5,159,119,0.92790976
