,index,labDelta,area,center_x,center_y
0,251,0.19143418004,35.5,234,190
1,252,0.150369045905,34.5,234,190
2,253,0.265704767498,32.5,234,190
3,254,0.186709498984,32.5,234,190
4,255,0.208965635382,34.5,233,190
5,256,0.242766769217,36.0,233,190
6,257,0.292229528604,37.0,233,191
7,258,0.00195878244607,37.0,233,191
8,259,0.115355154491,37.0,233,191
9,260,0.156178060296,38.5,233,191
10,261,0.186679114949,37.5,233,191
11,262,0.257429645503,38.0,233,191
12,263,0.245329497633,37.0,233,191
13,264,0.00223584682694,37.0,233,191
14,265,0.172547734498,36.0,233,192
15,266,0.0573614240051,37.0,233,192
16,267,0.151422586344,37.0,233,192
17,268,0.178731904494,38.5,233,192
18,269,0.00359490806466,38.5,233,192
19,270,0.241757653067,38.5,233,192
20,271,0.129534175819,37.0,233,192
21,272,0.241899826518,38.5,233,192
22,273,0.147904782977,35.0,233,192
23,274,0.000917685363787,35.0,233,192
24,275,0.109316029084,38.0,233,192
25,276,0.244998044286,36.5,233,192
26,277,0.239597890264,30.5,233,192
27,278,0.22945939901,33.5,233,192
28,279,0.0789755282163,33.5,233,192
29,280,0.247824694846,38.0,233,192
30,281,0.189202133032,38.0,233,192
31,282,0.240501249667,30.0,233,192
32,283,0.0777279168851,30.0,233,192
33,284,0.278855542789,35.5,233,192
34,285,0.0033172655133,35.5,233,192
35,286,0.248176662456,33.5,233,191
36,287,0.116266304824,33.5,233,191
37,288,0.233417444766,32.5,232,191
38,289,0.251575268539,37.0,232,191
39,290,0.252736326637,37.0,232,191
40,291,0.00462798624871,37.0,232,191
41,292,0.247562311983,35.5,232,190
42,293,0.279677422222,31.0,232,189
43,294,0.219728660046,35.0,231,189
44,295,0.000101352501601,35.0,231,189
45,296,0.30682553092,33.5,231,187
46,297,0.216767289176,31.0,230,187
47,298,0.227591674624,35.0,230,186
48,299,0.157571665919,30.5,229,185
49,300,0.127727661529,31.5,229,185
50,301,0.114728532217,33.5,229,185
51,302,0.000242402615836,33.5,229,185
52,303,0.0965065461144,31.0,228,185
53,304,0.0646402166271,29.5,228,185
54,305,0.118117568467,32.5,228,185
55,306,0.124980110912,28.5,228,184
56,307,0.126372756447,30.5,228,184
57,308,0.0121183954645,30.5,228,184
58,309,0.129361519057,29.0,228,183
59,310,0.101790273723,28.0,228,184
60,311,0.0398282671736,33.0,228,183
61,312,0.111727067562,31.5,228,184
62,313,0.121441697664,34.0,228,184
63,314,0.121336617357,29.5,228,185
