,index,labDelta,area,center_x,center_y
0,188,1.68090386342e-06,27.5,159,128
1,189,0.456045163704,29.0,159,127
2,190,0.546715128493,28.0,160,127
3,191,0.0108288614236,28.0,160,127
4,192,0.362206359496,28.0,159,127
5,193,0.269194017923,28.0,159,127
6,194,0.00122073270703,28.0,159,127
7,195,0.460400756112,27.5,159,127
8,196,0.325563229832,29.0,159,128
9,197,0.0368881024779,29.0,159,128
10,198,0.117029957324,29.0,159,128
11,199,0.232973465503,30.0,158,127
12,200,0.00201568948453,30.0,158,127
13,201,0.460990140798,30.0,158,127
14,202,0.370662558806,28.0,158,127
15,203,0.0534150084228,28.0,158,127
16,204,0.363497223279,30.0,158,127
17,205,0.00102903179203,30.0,158,127
18,206,0.425217334736,26.5,158,127
19,207,0.391879181684,28.0,158,127
20,208,0.106686517128,28.0,158,127
21,209,0.196180594502,28.5,157,127
22,210,0.416615741452,28.0,158,127
23,211,0.0882453086476,28.0,158,127
24,212,0.172039083567,28.0,158,127
25,213,0.015441799834,28.0,158,127
26,214,0.32114059053,29.0,158,128
27,215,0.00155305255939,29.0,158,128
28,216,0.295779949392,28.0,158,128
29,217,0.00131301970188,28.0,158,128
30,218,0.122484699108,27.0,158,128
31,219,0.294635432004,30.0,158,128
32,220,0.0,30.0,158,128
33,221,0.174967698233,28.0,158,128
34,222,0.407239851817,27.5,158,128
35,223,0.032005417667,27.5,158,128
36,224,0.170683860523,27.5,158,128
37,225,0.058687524933,27.5,158,128
38,226,0.262455384547,27.5,158,128
39,227,0.278204425486,31.0,158,128
40,228,0.0615276710231,31.0,158,128
41,229,0.256136416165,30.0,158,129
42,230,0.00329322288953,30.0,158,129
43,231,0.290439914291,28.5,158,129
44,232,0.201018831483,26.0,159,129
45,233,0.109784505085,26.0,159,129
46,234,0.12628905019,26.5,158,129
47,235,0.300780013784,28.5,159,128
48,236,6.246861304e-05,28.5,159,128
49,237,0.113495957788,27.5,159,128
50,238,0.0553523562183,27.5,159,128
51,239,0.0,27.5,159,128
52,240,0.231851077173,28.5,159,128
53,241,0.000768561493605,28.5,159,128
54,242,0.0390637282961,28.5,159,128
55,243,0.0127079744178,28.5,159,128
56,244,0.09117725082,27.5,159,128
57,245,0.0652501451746,27.5,159,128
58,246,0.320670211809,26.5,159,128
59,247,6.44476379968e-05,26.5,159,128
60,248,0.482635006166,29.0,159,128
61,249,0.00139422589401,29.0,159,128
62,250,0.263132636263,29.0,159,128
63,251,0.0,29.0,159,128
64,252,0.379222582806,27.5,159,128
65,253,0.000768863573948,27.5,159,128
66,254,0.320073037962,28.5,158,128
67,255,0.272258517585,28.0,158,127
68,256,0.00197772094831,28.0,158,127
69,257,0.357364589045,31.0,158,127
70,258,0.39118850736,28.0,158,127
71,259,0.00590144319055,28.0,158,127
72,260,0.391337191449,30.0,158,127
73,261,0.0252508883763,30.0,158,127
74,262,0.1396627738,30.0,158,127
75,263,0.232636975859,29.0,157,127
76,264,0.39403041913,27.5,157,126
77,265,0.00634467633816,27.5,157,126
78,266,0.237706811365,29.0,157,126
79,267,0.0100588397523,29.0,157,126
80,268,0.123693670109,29.5,157,126
81,269,0.29541346387,29.5,157,126
82,270,0.00621526137251,29.5,157,126
83,271,0.196070382249,30.0,158,126
84,272,0.0233781274685,31.0,158,126
85,273,0.00497326548784,31.0,158,126
86,274,0.161427295732,31.5,157,126
87,275,0.179317639209,29.0,157,126
88,276,0.0216064836403,29.0,157,126
89,277,0.0698213953266,30.0,157,126
90,278,0.0630165186869,30.0,157,126
91,279,0.140433160769,29.5,157,126
