,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y
0,0,209,2.507652997970581,3.2361369132995605,0,0.0,0.0,0.0,0.0
1,1,210,2.7759904861450195,3.2361369132995605,0,3.9456404081e-07,235.0,207.0,207.0
2,2,211,2.3230302333831787,3.34368109703064,0,0.000104583352539,235.0,207.0,207.0
3,3,212,2.8657054901123047,4.065081596374512,0,9.62055167761e-05,237.5,207.0,207.0
4,4,213,2.295527935028076,3.473757266998291,0,0.000169850382286,238.5,208.0,208.0
5,5,214,2.594054937362671,3.473757266998291,0,1.28186709429e-05,238.5,208.0,208.0
6,6,215,2.2450239658355717,3.473757266998291,0,5.88045440323e-06,238.5,208.0,208.0
7,7,216,2.6324737071990967,3.984164714813232,0,0.000198973921437,237.0,207.0,207.0
8,8,217,2.383892059326172,3.984164714813232,0,8.09814382718e-06,237.0,207.0,207.0
9,9,218,2.711495876312256,4.834306716918945,0,0.000375444436591,235.0,207.0,207.0
10,10,219,2.636953830718994,5.18963098526001,0,5.95363122925e-05,235.0,207.0,207.0
11,11,220,2.210723400115967,5.18963098526001,0,6.49511499524e-06,235.0,207.0,207.0
12,12,221,2.600656032562256,5.101124286651611,0,9.60956507314e-05,237.0,207.0,207.0
13,13,222,2.320908546447754,4.811234474182129,0,0.000264927968969,238.5,207.0,207.0
14,14,223,2.24174427986145,4.811234474182129,0,9.38479175084e-06,238.5,207.0,207.0
15,15,224,2.0739028453826904,4.960318088531494,0,0.000206547019036,237.0,208.0,208.0
16,16,225,1.9189298152923584,5.012773036956787,0,0.000667743404388,244.5,207.0,207.0
17,17,226,1.682744026184082,5.012773036956787,0,5.7669182982e-06,244.5,207.0,207.0
18,18,227,1.6056033372879028,5.513396739959717,0,0.000508089830305,235.0,207.0,207.0
19,19,228,1.8058637380599976,5.513396739959717,0,5.49585300923e-06,235.0,207.0,207.0
20,20,229,1.894481539726257,5.627542018890381,0,0.000586067266049,228.5,207.0,207.0
21,21,230,1.7959306240081787,5.770669937133789,0,0.176710013734,233.0,207.0,207.0
22,22,231,1.6544451713562012,5.770669937133789,0,0.0671499570546,233.0,207.0,207.0
23,23,232,1.4158142805099487,5.7103471755981445,0,0.143535850524,231.5,208.0,208.0
24,24,233,1.0594635009765625,5.943915843963623,0,0.077950732915,230.5,207.0,207.0
25,25,234,0.980013906955719,5.943915843963623,0,0.0747222896223,230.5,207.0,207.0
26,26,235,1.1839622259140017,6.064754962921143,0,0.0767395826975,231.0,207.0,207.0
27,27,236,1.3308755159378052,6.0033159255981445,0,0.0766784584054,228.5,207.0,207.0
28,28,237,0.930574119091034,6.0033159255981445,0,0.000404882336934,228.5,207.0,207.0
29,29,238,0.7356662750244141,5.814181327819824,0,0.00289753255811,230.0,207.0,207.0
30,30,239,1.0359786748886108,5.711143970489502,0,0.0696311813049,228.5,207.0,207.0
31,31,240,1.2837183475494385,5.619898319244385,0,0.0337351446526,226.0,207.0,207.0
32,32,241,1.5063467025756836,5.619898319244385,0,0.000718130227299,226.0,207.0,207.0
33,33,242,1.968851447105408,5.312439918518066,0,0.125417900446,241.0,208.0,208.0
34,34,243,2.4804906845092773,4.959593296051025,0,0.0993515811023,232.0,207.0,207.0
35,35,244,2.641940832138061,4.959593296051025,0,0.00127759389922,232.0,207.0,207.0
36,36,245,2.434834241867065,4.735779762268066,0,0.123268436641,232.5,208.0,208.0
37,37,246,2.5143959522247314,4.735779762268066,0,0.0298405122019,232.5,208.0,208.0
38,38,247,2.853498935699463,4.367947101593018,0,0.187830607583,234.5,208.0,208.0
39,39,248,2.431052923202514,4.367125511169434,0,0.114732919279,233.5,208.0,208.0
40,40,249,3.5085020065307617,4.876605987548828,0,0.333801163628,246.0,208.0,208.0
