,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y
0,0,295,2.1759727001190186,6.352401256561279,0,0.0,0.0,0.0,0.0
1,1,296,3.201498508453369,6.352401256561279,0,0.0822438441381,32.5,194.0,194.0
2,2,297,2.038154363632202,6.457075119018555,0,0.558192083483,28.0,195.0,195.0
3,3,298,2.998425245285034,6.697639465332031,0,0.639029133915,26.0,195.0,195.0
4,4,299,1.782625436782837,7.059660911560059,0,0.519633707151,33.5,195.0,195.0
5,5,300,3.062650442123413,7.25471019744873,0,0.417316415584,27.5,195.0,195.0
6,6,301,2.175908088684082,7.047407150268555,0,0.546263687014,25.5,195.0,195.0
7,7,302,2.349102735519409,7.665943145751953,0,0.629246066896,27.5,195.0,195.0
8,8,303,2.277698040008545,7.665943145751953,0,0.0404482417532,27.5,195.0,195.0
9,9,304,2.356909275054932,7.543253898620605,0,0.639728430901,27.5,195.0,195.0
10,10,305,2.5411343574523926,7.616017818450928,0,0.582462427151,24.5,195.0,195.0
11,11,306,2.385838031768799,8.09589672088623,0,0.607130530801,28.0,195.0,195.0
12,12,307,2.739687919616699,7.301651000976562,0,0.480946066127,31.0,194.0,194.0
13,13,308,2.847447156906128,6.700850009918213,0,0.594732575107,31.0,194.0,194.0
14,14,309,2.37693452835083,6.666022300720215,0,0.550844366773,24.5,194.0,194.0
15,15,310,3.398141384124756,6.814731597900391,0,0.658712020599,30.5,192.0,192.0
16,16,311,3.1418797969818115,6.814731597900391,0,0.168221853618,30.5,192.0,192.0
17,17,312,3.246878862380981,6.915586948394775,0,0.618799519312,30.0,192.0,192.0
18,18,313,2.6966466903686523,6.864224433898926,0,0.703132309754,30.5,190.0,190.0
19,19,314,3.4933290481567383,7.049710273742676,0,0.612515418223,30.5,189.0,189.0
20,20,315,3.4056079387664795,7.049710273742676,0,0.0120068704091,30.5,189.0,189.0
21,21,316,3.9794845581054688,7.420819759368896,0,0.504038805786,28.5,189.0,189.0
22,22,317,2.83646821975708,7.048995971679688,0,0.461164604644,31.0,188.0,188.0
23,23,318,4.25959062576294,6.764023780822754,0,0.401043874094,27.0,187.0,187.0
24,24,319,3.235211133956909,6.719139575958252,0,0.315174879846,33.0,186.0,186.0
25,25,320,3.668593883514404,6.490286350250244,0,0.326876200491,31.0,185.0,185.0
26,26,321,2.840921640396118,6.207502841949463,0,0.222365073275,30.0,185.0,185.0
27,27,322,3.891939878463745,6.207502841949463,0,6.84422887079e-05,30.0,185.0,185.0
28,28,323,2.9426229000091557,6.450725555419922,0,0.1294843262,29.5,185.0,185.0
29,29,324,3.66689395904541,6.037929058074951,0,0.125634750813,35.0,184.0,184.0
30,30,325,3.023716926574707,6.295676708221436,0,0.128808129794,29.0,185.0,185.0
31,31,326,4.1214776039123535,6.17547607421875,0,0.142194001031,33.5,185.0,185.0
32,32,327,3.4045772552490234,7.086744785308838,0,0.136264131311,32.0,186.0,186.0
33,33,328,3.656399726867676,7.111648082733154,0,0.00845605077934,33.0,186.0,186.0
34,34,329,3.744444370269776,7.146320343017578,0,0.127958356981,30.5,185.0,185.0
35,35,330,3.86117959022522,7.151141166687012,0,0.135578410379,31.5,186.0,186.0
36,36,331,3.581881523132324,7.205905914306641,0,0.130661815603,31.5,185.0,185.0
37,37,332,3.6256818771362314,6.933318138122559,0,0.136495191087,32.0,185.0,185.0
38,38,333,3.265669345855713,6.933318138122559,0,0.0696122447458,32.0,185.0,185.0
39,39,334,3.983439683914185,5.4752516746521,0,0.126468913099,30.5,185.0,185.0
40,40,335,3.369791030883789,6.173886299133301,0,0.140839314558,31.5,185.0,185.0
41,41,336,3.81270694732666,5.419071674346924,0,0.106035955356,31.0,184.0,184.0
42,42,337,2.921891212463379,5.543187141418457,0,0.135301560017,31.0,184.0,184.0
43,43,338,3.789319515228272,5.714951038360596,0,0.120042080332,34.0,184.0,184.0
44,44,339,3.294567823410034,5.71154260635376,0,0.0364215394856,34.5,184.0,184.0
45,45,340,3.851893663406372,5.555924415588379,0,0.122780597824,29.5,184.0,184.0
46,46,341,3.032858371734619,4.814659118652344,0,0.151136732852,25.5,183.0,183.0
47,47,342,4.055495262145996,6.042901992797852,0,0.30652254733,29.0,181.0,181.0
48,48,343,4.056486129760742,5.287528038024902,0,0.353928097047,33.0,174.0,174.0
49,49,344,5.219887733459473,5.358241558074951,0,0.429956494534,36.0,168.0,168.0
50,50,345,4.608413696289063,5.343062400817871,0,0.0798376107003,37.5,168.0,168.0
51,51,346,6.79656457901001,5.231673717498779,0,0.946986602613,34.0,160.0,160.0
52,52,347,7.170580387115479,5.258002281188965,0,1.13225551094,54.0,146.0,146.0
53,53,348,8.13493824005127,4.922148704528809,0,0.343030627997,43.0,145.0,145.0
54,54,349,7.670017242431641,5.228579044342041,0,0.319819384904,43.5,144.0,144.0
55,55,350,8.17526626586914,5.228579044342041,0,0.0450653754256,43.5,144.0,144.0
56,56,351,7.823189735412598,5.704029560089111,0,0.279815228952,47.0,144.0,144.0
57,57,352,8.208317756652832,7.466670989990234,0,0.303149071151,46.0,145.0,145.0
58,58,353,7.799339294433594,8.004487037658691,0,0.29895307567,32.5,146.0,146.0
59,59,354,7.794218063354492,6.771938800811768,0,0.299968976218,45.5,148.0,148.0
60,60,355,6.650485515594482,3.813653469085693,0,0.641511872825,39.5,151.0,151.0
61,61,356,6.416654109954834,4.013509750366211,0,0.784298063419,35.5,156.0,156.0
62,62,357,5.159322738647461,4.70604133605957,0,0.811788860397,34.5,161.0,161.0
63,63,358,5.6142096519470215,4.70604133605957,0,0.0519857039938,34.5,161.0,161.0
64,64,359,4.361660957336426,4.392766952514648,0,0.703990525367,31.5,170.0,170.0
65,65,360,4.335302829742432,5.283859252929688,0,0.30654549528,32.5,174.0,174.0
66,66,361,3.543052196502685,3.707565546035767,0,0.382113495407,28.5,179.0,179.0
67,67,362,3.3932149410247803,5.7172064781188965,0,0.37719653998,30.5,182.0,182.0
68,68,363,3.05570387840271,5.7172064781188965,0,0.060102995723,30.5,182.0,182.0
69,69,364,3.311322927474976,6.3407392501831055,0,0.29582973142,27.5,186.0,186.0
70,70,365,2.3441412448883057,5.531285285949707,0,0.36563644344,26.0,191.0,191.0
71,71,366,2.447765350341797,5.425353527069092,0,0.322589840008,29.0,192.0,192.0
72,72,367,2.353771448135376,5.765852928161621,0,0.342751727888,30.0,193.0,193.0
73,73,368,3.040107727050781,5.765852928161621,0,0.116751669051,30.0,193.0,193.0
74,74,369,1.6514190435409546,5.773987293243408,0,0.518495217357,26.0,193.0,193.0
75,75,370,2.906146287918091,5.939311981201172,0,0.709365645105,27.5,192.0,192.0
76,76,371,1.899665594100952,5.903379440307617,0,0.597953004324,29.0,192.0,192.0
77,77,372,3.1687211990356445,5.907726287841797,0,0.172443162041,28.0,192.0,192.0
78,78,373,2.2095558643341064,5.398406505584717,0,0.683968221681,30.0,191.0,191.0
79,79,374,2.8436946868896484,5.502941131591797,0,0.570202178462,27.5,190.0,190.0
80,80,375,1.7632534503936768,5.398130416870117,0,0.618781494148,31.0,190.0,190.0
81,81,376,3.107787847518921,5.398130416870117,0,0.035024916062,31.0,190.0,190.0
82,82,377,2.2946717739105225,6.180355072021484,0,0.580606835228,31.0,190.0,190.0
83,83,378,2.407387971878052,7.209377765655518,0,0.582111495396,32.5,190.0,190.0
84,84,379,2.490240335464477,7.17804765701294,0,0.519684615434,28.0,191.0,191.0
85,85,380,2.274641513824463,6.924858093261719,0,0.515527581814,26.0,190.0,190.0
86,86,381,2.252338171005249,6.841534614562988,0,0.597901842622,26.5,191.0,191.0
87,87,382,2.287728071212769,6.826835632324219,0,0.463859382128,26.0,191.0,191.0
88,88,383,2.24279522895813,6.756505489349365,0,0.499212618476,32.5,190.0,190.0
89,89,384,2.6499547958374023,8.750235557556152,0,0.507978341959,29.0,191.0,191.0
90,90,385,2.457245111465454,8.750235557556152,0,0.0908833008015,29.0,191.0,191.0
91,91,386,2.5491745471954346,8.683042526245117,0,0.509962319258,30.0,191.0,191.0
92,92,387,2.577688217163086,8.7147798538208,0,0.595497461038,30.0,191.0,191.0
93,93,388,2.400052070617676,5.081716060638428,0,0.564349335584,30.5,191.0,191.0
94,94,389,2.3250555992126465,3.0740649700164795,0,0.536550784242,29.0,191.0,191.0
95,95,390,2.4324450492858887,3.069199085235596,0,0.0910809840039,29.5,191.0,191.0
96,96,391,2.721067428588867,5.233657836914063,0,0.523081240853,31.0,191.0,191.0
97,97,392,2.214420318603516,4.761488914489746,0,0.530687034304,30.5,191.0,191.0
98,98,393,2.95467209815979,5.399003028869629,0,0.47453573096,30.5,191.0,191.0
