,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y
0,0,191,0.0,5.022976398468018,0,0.0,0.0,0.0,0.0
1,1,192,7.148730754852295,6.0660719871521,0,0.133799268996,17.5,254.0,254.0
2,2,193,6.553575038909912,6.8557844161987305,0,0.0398136884441,19.0,254.0,254.0
3,3,194,7.013896942138672,7.928771018981934,0,0.166992761984,19.0,254.0,254.0
4,4,195,6.987366676330566,7.929591178894043,0,0.232199305034,18.0,255.0,255.0
5,5,196,6.347799777984619,7.8410797119140625,0,0.258310142729,20.0,255.0,255.0
6,6,197,7.98340892791748,7.8712286949157715,0,0.283168829108,19.0,256.0,256.0
7,7,198,6.546244621276856,7.861156463623047,0,0.250178244529,18.0,256.0,256.0
8,8,199,9.447683334350586,7.954639911651611,0,0.143527254788,18.5,255.0,255.0
9,9,200,6.048760414123535,7.911722183227539,0,0.353375841224,18.5,255.0,255.0
10,10,201,8.826464653015137,7.911722183227539,0,0.0411775779054,18.5,255.0,255.0
11,11,202,6.767385959625244,7.878142833709717,0,0.539059548511,21.5,256.0,256.0
12,12,203,8.930717468261719,7.85738468170166,0,0.17715793302,23.0,257.0,257.0
13,13,204,6.890093803405762,8.997974395751953,0,0.171349632494,18.5,260.0,260.0
14,14,205,7.598355770111084,8.67292594909668,0,0.130327699285,22.0,261.0,261.0
15,15,206,7.809800148010254,7.590949058532715,0,0.126987195329,20.0,262.0,262.0
16,16,207,8.500606536865234,6.944733619689941,0,0.147908468266,19.5,262.0,262.0
17,17,208,8.434287071228027,6.273438930511475,0,0.125757847388,22.5,263.0,263.0
18,18,209,8.140178680419922,8.518575668334961,0,0.131188486418,22.0,264.0,264.0
19,19,210,9.472701072692873,7.478265285491943,0,0.125077405698,21.0,263.0,263.0
20,20,211,7.608018398284912,8.047015190124512,0,0.165967550406,24.0,264.0,264.0
21,21,212,9.37143898010254,6.8536481857299805,0,0.12494798993,24.0,264.0,264.0
22,22,213,7.969410896301269,6.8536481857299805,0,0.000646093245502,24.0,264.0,264.0
23,23,214,9.078805923461914,6.832255363464356,0,0.102914252161,27.0,264.0,264.0
24,24,215,7.680668354034424,6.832255363464356,0,0.000617369815054,27.0,264.0,264.0
