,name,label,strength,frequency,location
0,0002.png,0,0.02,1.1625744047619047e-05,"[0.4695616883116883, 0.5546085858585859]"
1,0003.png,0,0.0,2.3251488095238094e-05,"[0.47010281385281383, 0.5549242424242424]"
2,0004.png,0,0.0,2.3251488095238094e-05,"[0.4699317226890756, 0.5546875]"
3,0005.png,0,0.0,0.0,"[0.4699317226890756, 0.5546875]"
4,0006.png,0,0.0,3.487723214285714e-05,"[0.4706439393939394, 0.5540561868686869]"
5,0007.png,0,0.0,0.0,"[0.4706439393939394, 0.5540561868686869]"
6,0008.png,0,0.0,0.00011625744047619047,"[0.47154017857142855, 0.5542805989583334]"
7,0009.png,0,0.0,9.300595238095238e-05,"[0.4722377232142857, 0.5545247395833334]"
8,0010.png,0,0.0,0.0,"[0.4722377232142857, 0.5545247395833334]"
9,0011.png,0,0.0,2.3251488095238094e-05,"[0.47279575892857145, 0.5546875]"
10,0012.png,0,0.0,5.8128720238095235e-05,"[0.4719967532467533, 0.555239898989899]"
11,0013.png,0,0.0,0.0,"[0.4719967532467533, 0.555239898989899]"
12,0014.png,0,0.0,4.650297619047619e-05,"[0.4713421658986175, 0.5558635752688171]"
13,0015.png,0,0.0,0.0,"[0.4713421658986175, 0.5558635752688171]"
14,0016.png,0,0.0,2.3251488095238094e-05,"[0.4717261904761905, 0.5559895833333334]"
15,0017.png,0,0.0,4.650297619047619e-05,"[0.47098214285714285, 0.5559895833333334]"
16,0018.png,0,0.0,2.3251488095238094e-05,"[0.47056361607142855, 0.5555826822916666]"
17,0019.png,0,0.0,0.0,"[0.47056361607142855, 0.5555826822916666]"
18,0020.png,0,0.0,5.8128720238095235e-05,"[0.47042410714285715, 0.5550944010416666]"
19,0021.png,0,0.0,4.650297619047619e-05,"[0.4701450892857143, 0.55517578125]"
20,0022.png,0,0.0,0.0,"[0.4701450892857143, 0.55517578125]"
21,0023.png,0,0.0,3.487723214285714e-05,"[0.4701530612244898, 0.5544642857142857]"
22,0024.png,0,0.0,9.300595238095238e-05,"[0.47154017857142855, 0.5542805989583334]"
23,0025.png,0,0.0,1.1625744047619047e-05,"[0.47154017857142855, 0.5542805989583334]"
24,0026.png,0,0.0,0.0,"[0.47154017857142855, 0.5542805989583334]"
25,0027.png,0,0.0,3.487723214285714e-05,"[0.47154017857142855, 0.5542805989583334]"
26,0028.png,0,0.0,6.975446428571428e-05,"[0.4722377232142857, 0.5545247395833334]"
27,0029.png,0,0.0,1.1625744047619047e-05,"[0.47263824884792627, 0.5544354838709677]"
28,0030.png,0,0.0,0.0,"[0.47263824884792627, 0.5544354838709677]"
29,0031.png,0,0.0,3.487723214285714e-05,"[0.4732142857142857, 0.5541487068965517]"
30,0032.png,0,0.0,0.0,"[0.4732142857142857, 0.5541487068965517]"
31,0033.png,0,0.0,8.138020833333333e-05,"[0.4713421658986175, 0.5535114247311829]"
32,0034.png,0,0.0,0.0,"[0.4713421658986175, 0.5535114247311829]"
33,0035.png,0,0.0,3.487723214285714e-05,"[0.4713421658986175, 0.5535114247311829]"
34,0036.png,0,0.0,8.138020833333333e-05,"[0.4717261904761905, 0.5533854166666666]"
35,0037.png,0,0.0,0.0,"[0.4717261904761905, 0.5533854166666666]"
36,0038.png,0,0.0,1.1625744047619047e-05,"[0.4717261904761905, 0.5533854166666666]"
37,0039.png,0,0.0,0.0,"[0.4717261904761905, 0.5533854166666666]"
38,0040.png,0,0.0,6.975446428571428e-05,"[0.4713421658986175, 0.5535114247311829]"
39,0041.png,0,0.0,0.0,"[0.4713421658986175, 0.5535114247311829]"
40,0042.png,0,0.0,3.487723214285714e-05,"[0.4713203463203463, 0.5540561868686869]"
41,0043.png,0,0.0,9.300595238095238e-05,"[0.4722377232142857, 0.5545247395833334]"
42,0044.png,0,0.0,0.0,"[0.4722377232142857, 0.5545247395833334]"
43,0045.png,0,0.0,1.1625744047619047e-05,"[0.47235023041474655, 0.5547715053763441]"
44,0046.png,0,0.0,1.1625744047619047e-05,"[0.4722377232142857, 0.5545247395833334]"
45,0047.png,0,0.0,0.0,"[0.4722377232142857, 0.5545247395833334]"
46,0048.png,0,0.0,0.0,"[0.4722377232142857, 0.5545247395833334]"
47,0049.png,0,0.0,3.487723214285714e-05,"[0.4732142857142857, 0.5546875]"
48,0050.png,0,0.0,0.0,"[0.4732142857142857, 0.5546875]"
49,0051.png,0,0.0,2.3251488095238094e-05,"[0.47293526785714285, 0.554931640625]"
50,0052.png,0,0.0,4.650297619047619e-05,"[0.4727822580645161, 0.5551915322580645]"
51,0053.png,0,0.0,0.0,"[0.4727822580645161, 0.5551915322580645]"
52,0054.png,0,0.0,0.0,"[0.4727822580645161, 0.5551915322580645]"
53,0055.png,0,0.0,5.8128720238095235e-05,"[0.4732142857142857, 0.5546875]"
54,0056.png,0,0.0,0.0,"[0.4732142857142857, 0.5546875]"
55,0057.png,0,0.0,0.0,"[0.4732142857142857, 0.5546875]"
56,0058.png,0,0.0,3.487723214285714e-05,"[0.4732142857142857, 0.5546875]"
57,0059.png,0,0.0,0.0,"[0.4732142857142857, 0.5546875]"
58,0060.png,0,0.0,3.487723214285714e-05,"[0.4729166666666667, 0.5554687500000001]"
59,0061.png,0,0.0,2.3251488095238094e-05,"[0.4729166666666667, 0.5554687500000001]"
60,0062.png,0,0.0,0.0,"[0.4729166666666667, 0.5554687500000001]"
61,0063.png,0,0.0,0.0,"[0.4729166666666667, 0.5554687500000001]"
62,0064.png,0,0.0,4.650297619047619e-05,"[0.47335829493087556, 0.5554435483870968]"
63,0065.png,0,0.0,1.1625744047619047e-05,"[0.4729166666666667, 0.5554687500000001]"
64,0066.png,0,0.0,0.0,"[0.4729166666666667, 0.5554687500000001]"
65,0067.png,0,0.0,0.0,"[0.4729166666666667, 0.5554687500000001]"
66,0068.png,0,0.0,1.1625744047619047e-05,"[0.4729166666666667, 0.5554687500000001]"
67,0069.png,0,0.0,4.650297619047619e-05,"[0.47407834101382484, 0.555695564516129]"
68,0070.png,0,0.0,0.0,"[0.47407834101382484, 0.555695564516129]"
69,0071.png,0,0.0,6.975446428571428e-05,"[0.4743663594470046, 0.5561995967741936]"
70,0072.png,0,0.0,1.1625744047619047e-05,"[0.4743663594470046, 0.5561995967741936]"
71,0073.png,0,0.0,4.650297619047619e-05,"[0.4735221674876847, 0.55621408045977]"
72,0074.png,0,0.0,6.975446428571428e-05,"[0.4732142857142857, 0.5559895833333334]"
73,0075.png,0,0.0,4.650297619047619e-05,"[0.4732142857142857, 0.556454613095238]"
74,0076.png,0,0.0,0.0,"[0.4732142857142857, 0.556454613095238]"
75,0077.png,0,0.0,4.650297619047619e-05,"[0.4735221674876847, 0.55621408045977]"
76,0078.png,0,0.0,1.1625744047619047e-05,"[0.4735221674876847, 0.55621408045977]"
77,0079.png,0,0.0,0.0,"[0.4735221674876847, 0.55621408045977]"
78,0080.png,0,0.0,6.975446428571428e-05,"[0.4729064039408867, 0.5557650862068966]"
79,0081.png,0,0.0,3.487723214285714e-05,"[0.4720622119815668, 0.5557795698924731]"
80,0082.png,0,0.0,3.487723214285714e-05,"[0.4717261904761905, 0.5559895833333334]"
81,0083.png,0,0.0,0.0,"[0.4717261904761905, 0.5559895833333334]"
82,0084.png,0,0.0,0.0,"[0.4717261904761905, 0.5559895833333334]"
83,0085.png,0,0.0,5.8128720238095235e-05,"[0.4706221198156682, 0.5558635752688171]"
84,0086.png,0,0.0,0.0,"[0.4706221198156682, 0.5558635752688171]"
85,0087.png,0,0.0,0.0,"[0.4706221198156682, 0.5558635752688171]"
86,0088.png,0,0.0,1.1625744047619047e-05,"[0.47056361607142855, 0.5555826822916666]"
87,0089.png,0,0.0,0.0,"[0.47056361607142855, 0.5555826822916666]"
88,0090.png,0,0.0,0.0,"[0.47056361607142855, 0.5555826822916666]"
89,0091.png,0,0.0,2.3251488095238094e-05,"[0.47056361607142855, 0.5555826822916666]"
90,0092.png,0,0.0,0.0,"[0.47056361607142855, 0.5555826822916666]"
91,0093.png,0,0.0,1.1625744047619047e-05,"[0.47056361607142855, 0.5555826822916666]"
92,0094.png,0,0.0,1.1625744047619047e-05,"[0.47056361607142855, 0.5555826822916666]"
93,0095.png,0,0.0,5.8128720238095235e-05,"[0.47023809523809523, 0.5559895833333334]"
94,0096.png,0,0.0,3.487723214285714e-05,"[0.47023809523809523, 0.5559895833333334]"
95,0097.png,0,0.0,8.138020833333333e-05,"[0.4713421658986175, 0.5561155913978495]"
96,0098.png,0,0.0,4.650297619047619e-05,"[0.4713421658986175, 0.5561155913978495]"
97,0099.png,0,0.0,0.0,"[0.4713421658986175, 0.5561155913978495]"
98,0100.png,0,0.0,4.650297619047619e-05,"[0.47098214285714285, 0.5559895833333334]"
99,0101.png,0,0.0,1.1625744047619047e-05,"[0.47098214285714285, 0.5559895833333334]"
100,0102.png,0,0.0,0.0,"[0.47098214285714285, 0.5559895833333334]"
101,0103.png,0,0.0,5.8128720238095235e-05,"[0.4713421658986175, 0.5561155913978495]"
102,0104.png,0,0.0,9.300595238095238e-05,"[0.4716796875, 0.5565592447916666]"
103,0105.png,0,0.0,5.8128720238095235e-05,"[0.4729166666666667, 0.5565104166666667]"
104,0106.png,0,0.0,0.0,"[0.4729166666666667, 0.5565104166666667]"
105,0107.png,0,0.0,0.0,"[0.4729166666666667, 0.5565104166666667]"
106,0108.png,0,0.0,9.300595238095238e-05,"[0.4732142857142857, 0.5559895833333334]"
107,0109.png,0,0.0,2.3251488095238094e-05,"[0.4732142857142857, 0.5559895833333334]"
108,0110.png,0,0.0,1.1625744047619047e-05,"[0.4732142857142857, 0.5559895833333334]"
109,0111.png,0,0.0,0.0,"[0.4732142857142857, 0.5559895833333334]"
110,0112.png,0,0.0,1.1625744047619047e-05,"[0.4732142857142857, 0.5559895833333334]"
111,0113.png,0,0.0,0.0,"[0.4732142857142857, 0.5559895833333334]"
112,0114.png,0,0.0,0.0,"[0.4732142857142857, 0.5559895833333334]"
113,0115.png,0,0.0,6.975446428571428e-05,"[0.4727822580645161, 0.5551915322580645]"
114,0116.png,0,0.0,8.138020833333333e-05,"[0.4736328125, 0.5546875]"
115,0117.png,0,0.0,3.487723214285714e-05,"[0.4743960084033613, 0.5546875]"
116,0118.png,0,0.0,0.0,"[0.4743960084033613, 0.5546875]"
117,0119.png,0,0.0,4.650297619047619e-05,"[0.47465437788018433, 0.5544354838709677]"
118,0120.png,0,0.0,1.1625744047619047e-05,"[0.47425595238095236, 0.5543402777777778]"
119,0121.png,0,0.0,4.650297619047619e-05,"[0.47488839285714285, 0.5546061197916666]"
120,0122.png,0,0.0,0.0,"[0.47488839285714285, 0.5546061197916666]"
121,0123.png,0,0.0,0.00016276041666666666,"[0.47610294117647056, 0.5551470588235294]"
122,0124.png,0,0.0,0.0001976376488095238,"[0.47921316964285715, 0.5552571614583334]"
123,0125.png,0,0.0,0.0,"[0.47921316964285715, 0.5552571614583334]"
124,0126.png,0,0.0,9.300595238095238e-05,"[0.4799107142857143, 0.5559895833333334]"
125,0127.png,0,0.0,0.0,"[0.4799107142857143, 0.5559895833333334]"
126,0128.png,0,0.0,0.00012788318452380953,"[0.48099078341013823, 0.5561995967741936]"
127,0129.png,0,0.0,0.00012788318452380953,"[0.48214285714285715, 0.5567528735632185]"
128,0130.png,0,0.0,0.0,"[0.48214285714285715, 0.5567528735632185]"
129,0131.png,0,0.0,0.00025576636904761906,"[0.4860311059907834, 0.5575436827956989]"
130,0132.png,0,0.0,0.00010463169642857142,"[0.48758370535714285, 0.5576171875]"
131,0133.png,0,0.0,0.00011625744047619047,"[0.4891774891774892, 0.5579229797979798]"
132,0134.png,0,0.0,0.000244140625,"[0.4922235023041475, 0.5588037634408602]"
133,0135.png,0,0.0,0.0,"[0.4922235023041475, 0.5588037634408602]"
134,0136.png,0,0.0,0.0003255208333333333,"[0.4955357142857143, 0.5611979166666666]"
135,0137.png,0,0.0,9.300595238095238e-05,"[0.49510368663594473, 0.5619959677419355]"
136,0138.png,0,0.0,0.0,"[0.49510368663594473, 0.5619959677419355]"
137,0139.png,0,0.0,9.300595238095238e-05,"[0.4939236111111111, 0.5625]"
138,0140.png,0,0.0,0.00016276041666666666,"[0.49107142857142855, 0.5625]"
139,0141.png,0,0.0,1.1625744047619047e-05,"[0.49107142857142855, 0.5625]"
140,0142.png,0,0.0,0.0004185267857142857,"[0.48403679653679654, 0.5631313131313131]"
141,0143.png,0,0.0,0.00015113467261904762,"[0.4819988479262673, 0.5630040322580645]"
142,0144.png,0,0.0,0.0,"[0.4819988479262673, 0.5630040322580645]"
143,0145.png,0,0.0,2.3251488095238094e-05,"[0.48158482142857145, 0.56298828125]"
144,0146.png,0,0.0,6.975446428571428e-05,"[0.48214285714285715, 0.5625]"
145,0147.png,0,0.0,5.8128720238095235e-05,"[0.4829799107142857, 0.56298828125]"
146,0148.png,0,0.0,0.0,"[0.4829799107142857, 0.56298828125]"
147,0149.png,0,0.0,2.3251488095238094e-05,"[0.4825748847926267, 0.5630040322580645]"
148,0150.png,0,0.0,0.0,"[0.4825748847926267, 0.5630040322580645]"
149,0151.png,0,0.0,4.650297619047619e-05,"[0.4819988479262673, 0.5630040322580645]"
150,0152.png,0,0.0,1.1625744047619047e-05,"[0.48228236607142855, 0.563232421875]"
151,0153.png,0,0.0,0.00010463169642857142,"[0.4810267857142857, 0.5633138020833334]"
152,0154.png,0,0.0,0.0,"[0.4810267857142857, 0.5633138020833334]"
153,0155.png,0,0.0,5.8128720238095235e-05,"[0.4799107142857143, 0.563265931372549]"
154,0156.png,0,0.0,0.0,"[0.4799107142857143, 0.563265931372549]"
155,0157.png,0,0.0,8.138020833333333e-05,"[0.4810924369747899, 0.5628063725490197]"
156,0158.png,0,0.0,5.8128720238095235e-05,"[0.48214285714285715, 0.5625]"
157,0159.png,0,0.0,6.975446428571428e-05,"[0.4822916666666667, 0.5627604166666667]"
158,0160.png,0,0.0,0.0,"[0.4822916666666667, 0.5627604166666667]"
159,0161.png,0,0.0,5.8128720238095235e-05,"[0.4829799107142857, 0.56298828125]"
160,0162.png,0,0.0,0.00015113467261904762,"[0.48073979591836735, 0.5627232142857143]"
161,0163.png,0,0.0,6.975446428571428e-05,"[0.48011363636363635, 0.5627367424242424]"
162,0164.png,0,0.0,0.0,"[0.48011363636363635, 0.5627367424242424]"
163,0165.png,0,0.0,4.650297619047619e-05,"[0.4806547619047619, 0.5623421717171717]"
164,0166.png,0,0.0,3.487723214285714e-05,"[0.48024891774891776, 0.5618686868686869]"
165,0167.png,0,0.0,0.0,"[0.48024891774891776, 0.5618686868686869]"
166,0168.png,0,0.0,9.300595238095238e-05,"[0.4799107142857143, 0.5611979166666666]"
167,0169.png,0,0.0,3.487723214285714e-05,"[0.4799107142857143, 0.5611979166666666]"
168,0170.png,0,0.0,9.300595238095238e-05,"[0.47879464285714285, 0.5615234375]"
169,0171.png,0,0.0,0.0,"[0.47879464285714285, 0.5615234375]"
170,0172.png,0,0.0,6.975446428571428e-05,"[0.47726004464285715, 0.5615234375]"
171,0173.png,0,0.0,0.00010463169642857142,"[0.476461038961039, 0.5613162878787878]"
172,0174.png,0,0.0,0.0,"[0.476461038961039, 0.5613162878787878]"
173,0175.png,0,0.0,6.975446428571428e-05,"[0.4758403361344538, 0.5616574754901961]"
174,0176.png,0,0.0,9.300595238095238e-05,"[0.47578463203463206, 0.5618686868686869]"
175,0177.png,0,0.0,0.0,"[0.47578463203463206, 0.5618686868686869]"
176,0178.png,0,0.0,0.00013950892857142856,"[0.47578463203463206, 0.5605271464646465]"
177,0179.png,0,0.0,3.487723214285714e-05,"[0.47610294117647056, 0.5603553921568628]"
178,0180.png,0,0.0,0.0,"[0.47610294117647056, 0.5603553921568628]"
179,0181.png,0,0.0,4.650297619047619e-05,"[0.47544642857142855, 0.5606617647058824]"
180,0182.png,0,0.0,3.487723214285714e-05,"[0.47512755102040816, 0.5604910714285715]"
181,0183.png,0,0.0,0.0,"[0.47512755102040816, 0.5604910714285715]"
182,0184.png,0,0.0,6.975446428571428e-05,"[0.47544642857142855, 0.5611979166666666]"
183,0185.png,0,0.0,0.0,"[0.47544642857142855, 0.5611979166666666]"
184,0186.png,0,0.0,8.138020833333333e-05,"[0.4765264976958525, 0.5609879032258064]"
185,0187.png,0,0.0,6.975446428571428e-05,"[0.47572544642857145, 0.5616048177083334]"
186,0188.png,0,0.0,0.0,"[0.47572544642857145, 0.5616048177083334]"
187,0189.png,0,0.0,2.3251488095238094e-05,"[0.47578463203463206, 0.5618686868686869]"
188,0190.png,0,0.0,3.487723214285714e-05,"[0.47578463203463206, 0.5618686868686869]"
189,0191.png,0,0.0,1.1625744047619047e-05,"[0.47578463203463206, 0.5618686868686869]"
190,0192.png,0,0.0,9.300595238095238e-05,"[0.47544642857142855, 0.5620659722222222]"
191,0193.png,0,0.0,0.00012788318452380953,"[0.47606646825396826, 0.5625]"
192,0194.png,0,0.0,4.650297619047619e-05,"[0.4749503968253968, 0.5628616898148148]"
193,0195.png,0,0.0,0.0,"[0.4749503968253968, 0.5628616898148148]"
194,0196.png,0,0.0,5.8128720238095235e-05,"[0.4743960084033613, 0.5625]"
195,0197.png,0,0.0,1.1625744047619047e-05,"[0.4743960084033613, 0.5625]"
196,0198.png,0,0.0,0.0,"[0.4743960084033613, 0.5625]"
197,0199.png,0,0.0,5.8128720238095235e-05,"[0.4748263888888889, 0.5625]"
198,0200.png,0,0.0,4.650297619047619e-05,"[0.47544642857142855, 0.5625]"
199,0201.png,0,0.0,4.650297619047619e-05,"[0.4749503968253968, 0.5628616898148148]"
200,0202.png,0,0.0,0.0,"[0.4749503968253968, 0.5628616898148148]"
201,0203.png,0,0.0,6.975446428571428e-05,"[0.4744897959183674, 0.5631696428571429]"
202,0204.png,0,0.0,9.300595238095238e-05,"[0.4749503968253968, 0.5647424768518519]"
203,0205.png,0,0.0,2.3251488095238094e-05,"[0.47466216216216217, 0.5645411036036035]"
204,0206.png,0,0.0,0.0,"[0.47466216216216217, 0.5645411036036035]"
205,0207.png,0,0.0,6.975446428571428e-05,"[0.47433035714285715, 0.564670138888889]"
206,0208.png,0,0.0,0.0,"[0.47433035714285715, 0.564670138888889]"
207,0209.png,0,0.0,3.487723214285714e-05,"[0.4749503968253968, 0.5647424768518519]"
208,0210.png,0,0.0,2.3251488095238094e-05,"[0.4749503968253968, 0.5647424768518519]"
209,0211.png,0,0.0,0.00013950892857142856,"[0.4749503968253968, 0.5654658564814815]"
210,0212.png,0,0.0,0.0,"[0.4749503968253968, 0.5654658564814815]"
211,0213.png,0,0.0,0.00018601190476190475,"[0.4718870656370657, 0.5665118243243243]"
212,0214.png,0,0.0,1.1625744047619047e-05,"[0.4718870656370657, 0.5665118243243243]"
213,0215.png,0,0.0,6.975446428571428e-05,"[0.4716457528957529, 0.5666525900900901]"
214,0216.png,0,0.0,8.138020833333333e-05,"[0.47128378378378377, 0.5662302927927928]"
215,0217.png,0,0.0,0.0,"[0.47128378378378377, 0.5662302927927928]"
216,0218.png,0,0.0,1.1625744047619047e-05,"[0.4712301587301587, 0.5659722222222222]"
217,0219.png,0,0.0,2.3251488095238094e-05,"[0.47128378378378377, 0.5662302927927928]"
218,0220.png,0,0.0,0.0,"[0.47128378378378377, 0.5662302927927928]"
219,0221.png,0,0.0,5.8128720238095235e-05,"[0.47126831501831506, 0.5665731837606838]"
220,0222.png,0,0.0,3.487723214285714e-05,"[0.47126831501831506, 0.5665731837606838]"
221,0223.png,0,0.0,0.0,"[0.47126831501831506, 0.5665731837606838]"
222,0224.png,0,0.0,1.1625744047619047e-05,"[0.47126831501831506, 0.5665731837606838]"
223,0225.png,0,0.0,9.300595238095238e-05,"[0.4705122180451128, 0.5668174342105263]"
224,0226.png,0,0.0,1.1625744047619047e-05,"[0.4705122180451128, 0.5668174342105263]"
225,0227.png,0,0.0,5.8128720238095235e-05,"[0.4701597744360902, 0.5668859649122807]"
226,0228.png,0,0.0,3.487723214285714e-05,"[0.4703185328185328, 0.5666525900900901]"
227,0229.png,0,0.0,0.00012788318452380953,"[0.47098214285714285, 0.5677083333333334]"
228,0230.png,0,0.0,0.0,"[0.47098214285714285, 0.5677083333333334]"
229,0231.png,0,0.0,6.975446428571428e-05,"[0.47126831501831506, 0.5675080128205129]"
230,0232.png,0,0.0,3.487723214285714e-05,"[0.47156954887218044, 0.567639802631579]"
231,0233.png,0,0.0,0.0,"[0.47156954887218044, 0.567639802631579]"
232,0234.png,0,0.0,8.138020833333333e-05,"[0.47098214285714285, 0.5677083333333334]"
233,0235.png,0,0.0,1.1625744047619047e-05,"[0.47098214285714285, 0.5677083333333334]"
234,0236.png,0,0.0,0.0,"[0.47098214285714285, 0.5677083333333334]"
235,0237.png,0,0.0,1.1625744047619047e-05,"[0.47098214285714285, 0.5677083333333334]"
236,0238.png,0,0.0,2.3251488095238094e-05,"[0.47098214285714285, 0.5677083333333334]"
237,0239.png,0,0.0,0.0,"[0.47098214285714285, 0.5677083333333334]"
238,0240.png,0,0.0,5.8128720238095235e-05,"[0.471687030075188, 0.5678453947368421]"
239,0241.png,0,0.0,3.487723214285714e-05,"[0.471687030075188, 0.5678453947368421]"
240,0242.png,0,0.0,2.3251488095238094e-05,"[0.471687030075188, 0.5678453947368421]"
241,0243.png,0,0.0,5.8128720238095235e-05,"[0.47243303571428574, 0.5678385416666667]"
242,0244.png,0,0.0,0.0,"[0.47243303571428574, 0.5678385416666667]"
243,0245.png,0,0.0,4.650297619047619e-05,"[0.47299107142857144, 0.5675130208333333]"
244,0246.png,0,0.0,0.0,"[0.47299107142857144, 0.5675130208333333]"
245,0247.png,0,0.0,2.3251488095238094e-05,"[0.4728954081632653, 0.5678323412698413]"
246,0248.png,0,0.0,0.0,"[0.4728954081632653, 0.5678323412698413]"
247,0249.png,0,0.0,2.3251488095238094e-05,"[0.4732142857142857, 0.5677083333333334]"
248,0250.png,0,0.0,8.138020833333333e-05,"[0.47452090592334495, 0.5677083333333334]"
249,0251.png,0,0.0,0.0,"[0.47452090592334495, 0.5677083333333334]"
250,0252.png,0,0.0,2.3251488095238094e-05,"[0.47488839285714285, 0.5677083333333334]"
251,0253.png,0,0.0,2.3251488095238094e-05,"[0.47488839285714285, 0.5677083333333334]"
252,0254.png,0,0.0,0.0,"[0.47488839285714285, 0.5677083333333334]"
253,0255.png,0,0.0,6.975446428571428e-05,"[0.4740155677655678, 0.5673744658119658]"
254,0256.png,0,0.0,5.8128720238095235e-05,"[0.4751602564102564, 0.5675080128205129]"
255,0257.png,0,0.0,1.1625744047619047e-05,"[0.4749765037593985, 0.567297149122807]"
256,0258.png,0,0.0,6.975446428571428e-05,"[0.4752831010452962, 0.5666285569105691]"
257,0259.png,0,0.0,3.487723214285714e-05,"[0.4752831010452962, 0.5666285569105691]"
258,0260.png,0,0.0,0.0,"[0.4752831010452962, 0.5666285569105691]"
259,0261.png,0,0.0,1.1625744047619047e-05,"[0.47544642857142855, 0.5668402777777778]"
260,0262.png,0,0.0,4.650297619047619e-05,"[0.47544642857142855, 0.5673177083333333]"
